"DateTime","Date","Time","precip_mm","WindDir","WindSpeed","GustSpeed","temp_C","RH"
2015-09-15 00:17:00,"2015-09-15","00:17:00",0,154.4,0,0,8.045,99.4
2015-09-15 01:17:00,"2015-09-15","01:17:00",0,154.4,0,0.5,7.72,99.4
2015-09-15 02:17:00,"2015-09-15","02:17:00",0,154.4,0,0.5,8.319,99.1
2015-09-15 03:17:00,"2015-09-15","03:17:00",0,154.4,0,1.01,8.12,98.9
2015-09-15 04:17:00,"2015-09-15","04:17:00",0,154.4,0,0.5,7.87,99.3
2015-09-15 05:17:00,"2015-09-15","05:17:00",0,154.4,0,1.51,7.82,98.4
2015-09-15 06:17:00,"2015-09-15","06:17:00",0,154.4,0,1.01,7.091,99.5
2015-09-15 07:17:00,"2015-09-15","07:17:00",0,154.4,0,2.01,6.737,99.9
2015-09-15 08:17:00,"2015-09-15","08:17:00",0,154.4,0,0,7.619,99.4
2015-09-15 09:17:00,"2015-09-15","09:17:00",0,144.6,0,0.5,10.075,92.4
2015-09-15 10:17:00,"2015-09-15","10:17:00",0,168.5,0,1.51,12.727,74.5
2015-09-15 11:17:00,"2015-09-15","11:17:00",0,262.5,0,3.52,14.864,67.6
2015-09-15 12:17:00,"2015-09-15","12:17:00",0,262.5,0.5,3.02,14.098,73.5
2015-09-15 13:17:00,"2015-09-15","13:17:00",0,332.7,0.5,3.52,16.511,60
2015-09-15 14:17:00,"2015-09-15","14:17:00",0,203.6,0.5,4.53,15.366,61.9
2015-09-15 15:17:00,"2015-09-15","15:17:00",0.2,195.1,0.5,4.03,13.209,76.9
2015-09-15 16:17:00,"2015-09-15","16:17:00",0,242.9,0,2.52,14.673,69
2015-09-15 17:17:00,"2015-09-15","17:17:00",0,210.6,0,2.01,14.721,66.6
2015-09-15 18:17:00,"2015-09-15","18:17:00",0,228.8,0,1.51,13.978,71.6
2015-09-15 19:17:00,"2015-09-15","19:17:00",0,223.2,0,0,12.558,81.8
2015-09-15 20:17:00,"2015-09-15","20:17:00",0,223.2,0,0,11.953,85.7
2015-09-15 21:17:00,"2015-09-15","21:17:00",0,223.2,0,0,11.346,87.2
2015-09-15 22:17:00,"2015-09-15","22:17:00",0,223.2,0,0,11.029,91.9
2015-09-15 23:17:00,"2015-09-15","23:17:00",0,223.2,0,0,10.81,93.7
2015-09-16 00:17:00,"2015-09-16","00:17:00",0,223.2,0,0,10.271,94.3
2015-09-16 01:17:00,"2015-09-16","01:17:00",0,223.2,0,0,9.928,94.8
2015-09-16 02:17:00,"2015-09-16","02:17:00",0,223.2,0,0.5,9.312,95.4
2015-09-16 03:17:00,"2015-09-16","03:17:00",0,223.2,0,0,8.941,96.8
