"month","total_precip_mm","minTemp_C","maxTemp_C","AveTemp_C"
"2012-01",NA,NA,NA,NA
"2012-02",95.4,-4.6,13.5,4.3
"2012-03",NA,NA,NA,NA
"2012-04",59.4,-1.6,20.3,9
"2012-05",NA,NA,NA,NA
"2012-06",42.3,4.7,25.4,13.8
"2012-07",21.5,7.2,30,18.3
"2012-08",8.3,7.9,34.6,18.9
"2012-09",NA,NA,NA,NA
"2012-10",NA,NA,NA,NA
"2012-11",160,NA,NA,NA
"2012-12",189.9,-0.6,10.2,3.6
"2013-01",90.8,-5,11.6,2.5
"2013-02",58,-1.6,11,5
"2013-03",87.6,-1.9,20.9,6.8
"2013-04",56,-0.3,20.1,9
"2013-05",63.7,0.7,30.7,13.5
"2013-06",46.3,6.5,33.5,16.5
"2013-07",6.4,9,33.5,19.7
"2013-08",47.4,8.7,32,19.5
"2013-09",105.5,4.9,33.4,16.4
"2013-10",23.6,-0.9,20.2,10
"2013-11",83.2,-4.9,16.5,6
"2013-12",77.1,-11.5,12.8,2.2
"2014-01",93.4,-4.5,13.8,4.8
"2014-02",158.7,-9.6,12,1.7
"2014-03",135.7,-2.9,14.9,6.2
"2014-04",50,0.2,24.9,9.3
"2014-05",49,4.6,27.7,13.9
"2014-06",22,6.9,26.1,15.8
"2014-07",11,8.5,34.3,19.7
"2014-08",24.5,10.2,35.2,19.8
"2014-09",46.7,4.5,30.2,16.1
"2014-10",162.7,4.6,22.2,12.5
"2014-11",120.7,-9.2,17.4,5.6
"2014-12",172.6,-6.8,15.2,4.5
"2015-01",126.9,-3.5,14.1,5.1
"2015-02",120.5,-1.8,14.7,7.5
"2015-03",100.8,-2.9,18.8,8.4
"2015-04",33.2,0,22.7,8.7
"2015-05",12.9,1.7,27,14.9
"2015-06",9.8,7,33.6,18.5
"2015-07",21.5,9,34.2,20.1
"2015-08",23.3,7.8,33.4,18.8
"2015-09",54.5,3.6,28.2,13.8
"2015-10",87.6,3.4,23,11.6
"2015-11",131.8,-4.3,14.1,4.4
"2015-12",275.6,-4.1,13.7,3.9
"2016-01",195.6,-6.5,12.2,4
"2016-02",141.6,-0.2,15.6,6.2
"2016-03",187.4,-0.5,21.7,7.6
"2016-04",17.2,2.9,27.6,12
"2016-05",8,3.5,28.4,14.7
"2016-06",24.8,4.8,34.6,16.6
"2016-07",21.6,9.7,31.8,18.7
"2016-08",11.6,9.7,36.4,19.5
"2016-09",40.8,3.9,26.5,14.2
"2016-10",256.2,0.2,18.4,9.9
"2016-11",240.8,0.2,15.6,7.9
"2016-12",138.4,-8.8,11,0.6
"2017-01",73,-9.4,11.4,1.2
"2017-02",141.6,-4.3,13.7,2.4
"2017-03",155.6,-1.5,15.9,5.9
"2017-04",108.4,-1.4,17.1,8.5
"2017-05",47.6,1.9,29.9,13
"2017-06",30.4,5.7,31.8,15.7
"2017-07",6.4,8.4,30.2,18.5
"2017-08",9.1,9.5,34.1,20.1
"2017-09",29,4.9,34.8,16.5
"2017-10",117.2,0.2,21.5,9.5
"2017-11",207.5,-5.2,15.6,5.4
"2017-12",123.5,-6.9,10.8,2.1
"2018-01",269.6,-2.4,11.3,4.6
"2018-02",61.6,-5.5,13.6,3.5
"2018-03",35.4,-2.5,17.9,5.7
"2018-04",101.3,-0.7,26.4,9.1
"2018-05",15.8,4.6,30.5,15.2
"2018-06",25.7,4.8,35.2,15.6
"2018-07",6.3,7.5,35.1,20.2
"2018-08",4,9.5,34.8,19.1
"2018-09",69.2,4.6,29.3,14.1
"2018-10",80.2,0,21.3,9.4
"2018-11",158.2,-2.1,16.9,6.8
"2018-12",242.8,-5.8,10.9,4
"2019-01",171,-2.7,10.6,4.3
"2019-02",58.8,-10.5,9.7,0.2
"2019-03",17.6,-6,22.7,5.7
"2019-04",43.8,0.7,20.1,9.7
"2019-05",2.2,4.3,27.8,14.8
"2019-06",27.7,6.3,32.4,16.3
"2019-07",25,8,30,18.2
"2019-08",13.7,8.7,31.9,19.1
