Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Height,Stalk_Height,Leaf.length,No.umbels,umbel.diam,YrTag,Notes
2016,2,3549,7,A,3,8.5,NA,3.1,0,NA,2016,
2016,10,3547,4,F,5,14.5,NA,3.5,0,NA,2016,
2016,14,3575,19,G,3,11.5,NA,3.7,0,NA,2016,
2016,14,3587,19,C,3,10,NA,3.8,0,NA,2016,
2016,5,3010,14,G,3,8.5,NA,3.9,0,NA,2016,
2016,5,3877,3,J,3,16,NA,4,0,NA,2016,
2016,13,3823,18,G,1,4.1,NA,4.1,0,NA,2016,
2016,12,3578,15,A,5,8,NA,4.1,0,NA,2016,
2016,12,3354,15,G,3,7.8,NA,4.3,0,NA,2016,
2016,6,3825,12,C,4,14,NA,4.5,0,NA,2016,
2016,13,3605,15,F,3,9.5,NA,4.6,0,NA,2016,
2016,5,3197,3,A,3,16,NA,4.7,0,NA,2016,
2016,13,3830,18,C,3,10.5,NA,5,0,NA,2016,
2016,14,3699,0,F,4,15,NA,5,0,NA,2016,
2016,13,3620,12,J,3,11.5,NA,5.1,0,NA,2016,
2016,13,3535,16,A,3,11.5,NA,5.2,0,NA,2016,
2016,7,3688,7,H,9,35,NA,5.5,0,NA,2016,
2016,13,3061,19,E,3,10,NA,5.6,0,NA,2016,
2016,10,3670,4,E,5,15.5,NA,5.6,0,NA,2016,
2016,14,3626,3,A,3,12.5,NA,5.9,0,NA,2016,
2016,13,3604,2,H,4,16,NA,5.9,0,NA,2016,
2016,14,2107,13,A,3,10.5,NA,6,0,NA,2016,
2016,15,3900,11,F,3,13,NA,6,0,NA,2016,
2016,14,3169,15,A,4,11.7,NA,6,0,NA,2016,Dead
2016,5,3663,19,I,3,8,NA,6.1,0,NA,2016,
2016,14,3085,5,B,6,16.5,NA,6.1,0,NA,2016,
2016,5,3363,8,E,3,11.5,NA,6.3,0,NA,2016,
2016,14,3118,17,A,6,12,NA,6.3,0,NA,2016,2 stalks
2016,2,3550,9,I,3,10.5,NA,6.4,0,NA,2016,
2016,4,3007,4,H,9,14.7,NA,6.4,0,NA,2016,
2016,2,3502,8,B,3,12.5,NA,6.5,0,NA,2016,
2016,13,3701,19,E,3,15.5,NA,6.5,0,NA,2016,
2016,14,3885,9,D,3,17,NA,6.5,0,NA,2016,
2016,2,3908,8,B,6,11,NA,6.5,0,NA,2016,
2016,2,3847,4,E,1,7,NA,7,0,NA,2016,
2016,2,3864,8,G,1,7,NA,7,0,NA,2016,
2016,5,3833,16,B,3,11.5,NA,7,0,NA,2016,
2016,2,3865,9,F,3,13.5,NA,7,0,NA,2016,
2016,12,3551,11,H,3,14,NA,7,0,NA,2016,
2016,2,3539,7,D,6,14.5,NA,7,0,NA,2016,
2016,13,3573,18,D,1,7.1,NA,7.1,0,NA,2016,
2016,14,2928,17,B,1,7.1,NA,7.1,0,NA,2016,
2016,5,3040,12,D,3,16,NA,7.1,0,NA,2016,
2016,12,3876,11,H,6,10.9,NA,7.2,0,NA,2016,
2016,12,3002,3,B,5,13.5,NA,7.4,0,NA,2016,
2016,2,3668,7,A,6,14,NA,7.4,0,NA,2016,
2016,3,3056,0,B,8,12.3,NA,7.4,0,NA,2016,
2016,13,3853,16,A,3,10.5,NA,7.5,0,NA,2016,
2016,14,3035,3,B,3,14,NA,7.5,0,NA,2016,
2016,2,3531,9,B,6,14,NA,7.5,0,NA,2016,
2016,2,3844,7,C,12,14,NA,7.5,0,NA,2016,
2016,14,3671,5,C,3,14,NA,7.6,0,NA,2016,
2016,5,3342,18,B,6,28,NA,7.6,0,NA,2016,
2016,14,3084,12,A,3,15.5,NA,7.8,0,NA,2016,
2016,13,3287,10,H,3,12,NA,8,0,NA,2016,
2016,2,3585,2,C,3,11,NA,8.1,0,NA,2016,
2016,15,3932,13,J,3,23.5,NA,8.2,0,NA,2016,
2016,4,3683,7,I,15,32.4,NA,8.3,0,NA,2016,Umbel missing?
2016,14,3340,4,A,1,8.5,NA,8.5,0,NA,2016,
2016,2,3623,6,E,6,11.5,NA,8.5,0,NA,2016,
2016,2,3598,6,D,3,12.5,NA,8.6,0,NA,2016,
2016,5,3998,3,H,10,27.5,NA,8.8,0,NA,2016,
2016,6,3648,16,F,16,32,NA,9,0,NA,2016,Umbel missing?
2016,10,3353,5,E,3,22,NA,9.3,0,NA,2016,
2016,1,3935,4,I,3,17,NA,9.5,0,NA,2016,
2016,3,3633,2,B,6,18.2,NA,9.9,0,NA,2016,
2016,2,3858,6,B,3,13,NA,10.1,0,NA,2016,
2016,5,3135,18,D,3,16.5,NA,10.1,0,NA,2016,"Main stem missing, probably had one"
2016,10,3190,1,B,3,21,NA,10.1,0,NA,2016,
2016,15,3116,16,C,3,21,NA,10.5,0,NA,2016,Umbel missing?
2016,1,3627,7,I,3,15.5,NA,11.2,0,NA,2016,
2016,14,3350,2,A,1,12,NA,12,0,NA,2016,
2016,1,3687,5,I,3,19,NA,12,0,NA,2016,
2016,1,3930,8,G,3,16,NA,12.2,0,NA,2016,
2016,1,3567,3,I,3,18.5,NA,12.6,0,NA,2016,
2016,15,3816,1,A,3,14,NA,14,0,NA,2016,
2016,15,3801,19,E,1,15,NA,15,0,NA,2016,
2016,1,3527,0,H,1,15.5,NA,15.5,0,NA,2016,
2016,1,3608,3,D,4,19.5,NA,19.5,0,NA,2016,
2016,5,3984,15,H,3,7,NA,1.5,1,0.8,2016,
2016,13,3333,12,A,3,12,NA,1.7,1,1.9,2016,
2016,3,3313,3,B,1,21.3,NA,2.4,1,3.2,2016,
2016,13,3700,15,D,3,12.5,NA,2.4,1,1.4,2016,
2016,6,3140,18,F,3,25.2,NA,2.5,1,2.3,2016,Partly eaten
2016,13,3359,14,H,4,15,NA,2.8,1,2.4,2016,
2016,7,3131,12,F,8,38,NA,3,1,2.5,2016,Diversity plot
2016,5,3073,17,G,3,12,NA,3.1,1,2.1,2016,
2016,13,3880,4,C,4,14,NA,3.4,1,2.1,2016,
2016,14,3149,19,A,2,16.5,NA,3.6,1,1.5,2016,
2016,6,3918,7,C,7,28.6,NA,3.6,1,1.2,2016,
2016,13,3123,5,H,5,23,NA,3.8,1,3.2,2016,"2 stalks, top has been eaten"
2016,5,3176,18,E,6,21,NA,3.8,1,3.8,2016,
2016,13,3167,12,G,3,13.5,NA,4,1,3,2016,Dead leaves
2016,13,3336,3,C,3,16.5,NA,4,1,2.7,2016,
2016,15,3341,3,H,3,25.5,NA,4,1,0.5,2016,
2016,5,3184,11,E,4,14,NA,4,1,2.4,2016,
2016,5,3174,10,I,3,18,NA,4.1,1,3.1,2016,
2016,6,3141,15,E,6,29.5,NA,4.1,1,4.3,2016,
2016,15,3094,14,D,2,12,NA,4.2,1,1.5,2016,
2016,4,3680,4,J,5,24.8,NA,4.2,1,4.8,2016,
2016,13,3356,15,G,4,15.5,NA,4.3,1,1.7,2016,
2016,15,3894,12,G,3,16,NA,4.5,1,1.5,2016,Dehydrated
2016,5,3710,14,H,3,12,NA,4.7,1,1.5,2016,
2016,13,3638,8,D,3,13.5,NA,4.7,1,2,2016,
2016,5,3836,9,C,3,18.5,NA,4.7,1,1.8,2016,
2016,13,3616,10,B,6,13,NA,4.8,1,1.6,2016,
2016,5,3362,10,F,4,15.5,NA,5,1,2,2016,
2016,6,3643,18,H,9,22.6,NA,5,1,3.6,2016,
2016,6,3669,14,E,9,29.5,NA,5,1,4.3,2016,
2016,14,3607,10,D,5,26,NA,5.3,1,2.1,2016,
2016,13,3675,13,I,3,19.5,NA,5.5,1,2.6,2016,
