Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,2020notes
2020,1,3610,0,C,3,13.4,1,17.5,3.4,2016,
2020,1,3525,0,E,1,16.2,0,NA,NA,2017,
2020,1,3527,0,H,NA,NA,NA,NA,NA,2016,no plant
2020,1,3542,0,I,1,13.6,0,NA,NA,2016,
2020,1,3599,0,I,1,11.7,0,NA,NA,2017,pulled out
2020,1,3814,0,J,1,12.2,0,NA,NA,2017,new tag: 3782
2020,1,3583,1,I,1,13,0,NA,NA,2017,
2020,1,3506,2,E,2,14,0,NA,NA,2016,
2020,1,3543,2,F,2,13.3,0,NA,NA,2016,
2020,1,3608,3,D,NA,NA,NA,NA,NA,2016,no plant
2020,1,3860,3,D,2,12.5,0,NA,NA,2016,
2020,1,3879,3,D,1,13.7,0,NA,NA,2016,
2020,1,3567,3,I,1,12.7,0,NA,NA,2016,
2020,1,3821,4,A,3,14.5,2,34.5,SOS,2017,
2020,1,3629,4,I,1,7.7,0,NA,NA,2017,
2020,1,3935,4,I,1,12.1,0,NA,NA,2016,
2020,1,3410,4,J,NA,NA,NA,NA,NA,2018,NPNT
2020,1,3554,5,I,6,4.2,4,20,SOS,2016,
2020,1,3687,5,I,1,1,0,NA,NA,2016,
2020,1,3645,5,J,1,9.6,0,NA,NA,2016,
2020,1,3553,7,C,NA,NA,NA,NA,NA,2016,no plant
2020,1,3650,7,E,NA,NA,NA,NA,NA,2016,no plant
2020,1,3692,7,E,NA,NA,NA,NA,NA,2016,no plant
2020,1,3845,7,G,NA,NA,NA,NA,NA,2016,no plant
2020,1,3611,7,I,3,9.3,2,32,SOS,2016,
2020,1,3627,7,I,2,13.1,0,NA,NA,2016,
2020,1,3046,8,B,NA,NA,NA,NA,NA,2017,no plant
2020,1,3982,8,B,NA,NA,NA,NA,NA,2017,no plant
2020,1,3930,8,G,1,15.6,0,NA,NA,2016,
2020,1,3151,8,H,2,9.6,1,16.6,2.3,2016,
2020,1,3537,8,J,1,9.8,0,NA,NA,2017,
2020,1,3871,8,J,NA,NA,NA,NA,NA,2016,NPNT
2020,1,3875,9,B,1,15,0,NA,NA,2016,
2020,1,3878,9,E,NA,NA,NA,NA,NA,2016,no plant
2020,1,3412,9,I,1,10.1,0,NA,NA,2018,
2020,1,3411,9,J,1,7.5,0,NA,NA,2018,
2020,1,3430,10,A,NA,NA,NA,NA,NA,2019,no plant
2020,1,3430,10,A,NA,NA,NA,NA,NA,2019,
2020,1,3191,11,A,NA,NA,NA,NA,NA,2019,
2020,1,3192,11,B,NA,NA,NA,NA,NA,2019,
2020,1,3424,12,G,NA,NA,NA,NA,NA,2019,
2020,1,3194,12,H,NA,NA,NA,NA,NA,2019,
2020,1,3347,15,I,NA,NA,NA,NA,NA,2019,
2020,1,3197,15,J,NA,NA,NA,NA,NA,2019,
2020,1,3195,16,B,NA,NA,NA,NA,NA,2019,
2020,1,3193,16,C,NA,NA,NA,NA,NA,2019,
2020,1,3198,16,H,NA,NA,NA,NA,NA,2019,
2020,1,3437,16,J,NA,NA,NA,NA,NA,2019,
2020,1,3199,17,H,NA,NA,NA,NA,NA,2019,
2020,1,3415,17,J,NA,NA,NA,NA,NA,2019,
2020,1,3418,18,B,NA,NA,NA,NA,NA,2019,
2020,1,3483,18,E,NA,NA,NA,NA,NA,2019,
2020,1,3572,18,H,NA,NA,NA,NA,NA,2019,
2020,1,3432,19,A,NA,NA,NA,NA,NA,2019,
2020,1,3425,19,B,NA,NA,NA,NA,NA,2019,
2020,1,3434,19,F,NA,NA,NA,NA,NA,2019,
2020,1,3200,19,I,NA,NA,NA,NA,NA,2019,
2020,2,3574,0,A,1,7.3,0,NA,NA,2016,
2020,2,3652,0,C,2,1.4,0,NA,NA,2016,
2020,2,3544,0,D,1,8.1,0,NA,NA,2016,
2020,2,3501,0,J,1,14.7,0,NA,NA,2016,
2020,2,3891,0,J,1,10.5,0,NA,NA,2017,
2020,2,3576,1,B,NA,NA,NA,NA,NA,2016,no plant
2020,2,3841,1,C,3,7.4,2,30,SOS,2016,
2020,2,3540,2,B,1,10.5,0,NA,NA,2016,
2020,2,3323,2,C,2,13.1,1,19.3,3.3,2016,
2020,2,3533,2,C,NA,NA,NA,NA,NA,2016,npnt
2020,2,3523,2,D,2,12.7,0,NA,NA,2016,
2020,2,3413,2,E,2,9.6,0,NA,NA,2018,1 pulledd
2020,2,3619,3,A,1,4.7,0,NA,NA,2016,
2020,2,3585,3,C,NA,NA,NA,NA,NA,?,NPNT
2020,2,3480,3,G,1,7.2,0,NA,NA,2018,
2020,2,3654,3,G,2,9.8,0,NA,NA,2016,
2020,2,3934,3,H,NA,NA,NA,NA,NA,2017,no plant
2020,2,3013,3,I,1,9.8,0,NA,NA,2017,
2020,2,3847,4,E,1,7.6,0,NA,NA,2016,
2020,2,3667,5,B,NA,NA,NA,NA,NA,2016,no plant (pull tag- plant was killed in 2019)
2020,2,3698,5,J,2.3,11.6,0,NA,NA,2017,pulled out
2020,2,3749,6,B,1,8.1,19,NA,NA,2020,
2020,2,3858,6,B,1,11.8,0,NA,NA,2016,
2020,2,3477,6,C,1,10,0,NA,NA,2018,
2020,2,3475,6,D,NA,NA,NA,NA,NA,2018,NPNT
2020,2,3598,6,D,1,8.6,0,NA,NA,2016,
2020,2,3623,6,E,NA,NA,NA,NA,NA,2016,no plant
2020,2,3549,7,A,1,7.3,0,NA,NA,2016,
2020,2,3668,7,A,1,2.9,0,NA,NA,2016,
2020,2,3861,7,A,1,6.7,0,NA,NA,2016,
2020,2,3703,7,C,1,13,0,NA,NA,2016,
2020,2,3539,7,D,1,11.2,0,NA,NA,2016,
2020,2,3476,7,E,NA,NA,NA,NA,NA,2018,no plant
2020,2,3584,7,F,2,9.1,0,NA,NA,2016,
2020,2,3597,7,H,1,10.5,0,NA,NA,2016,
2020,2,3185,7,I,1,6.2,0,NA,NA,2017,
2020,2,3751,8,A,1,7.5,20,NA,NA,2020,
2020,2,3502,8,B,1,9.5,0,NA,NA,2016,partially eaten
2020,2,3908,8,B,NA,NA,NA,NA,NA,2016,no plant
2020,2,3844,8,C,NA,NA,NA,NA,NA,?,no plant
2020,2,3864,8,G,1,9.9,0,NA,NA,2016,
2020,2,3531,9,B,1,8.6,0,NA,NA,2016,
2020,2,3865,9,F,NA,NA,NA,NA,NA,2016,no plant
2020,2,3184,9,G,NA,NA,NA,NA,NA,2019,no plant
2020,2,3519,9,G,1,13.9,1,9.7,2.9,2017,
2020,2,3550,9,I,1,11.7,0,NA,NA,2016,
2020,2,3160,10,H,NA,NA,NA,NA,NA,2019,
2020,2,3161,10,H,NA,NA,NA,NA,NA,2019,
2020,2,3163,11,D,NA,NA,NA,NA,NA,2019,
2020,2,3156,11,E,NA,NA,NA,NA,NA,2019,
2020,2,3171,11,F,NA,NA,NA,NA,NA,2019,
2020,2,3162,11,I,NA,NA,NA,NA,NA,2019,
2020,2,3166,12,B,NA,NA,NA,NA,NA,2019,
2020,2,3169,12,J,NA,NA,NA,NA,NA,2019,
2020,2,3159,13,H,NA,NA,NA,NA,NA,2019,
2020,2,3168,13,J,NA,NA,NA,NA,NA,2019,
2020,2,3164,14,B,NA,NA,NA,NA,NA,2019,
2020,2,3173,14,B,NA,NA,NA,NA,NA,2019,
2020,2,3175,15,A,NA,NA,NA,NA,NA,2019,
2020,2,3167,15,B,NA,NA,NA,NA,NA,2019,
2020,2,3155,16,A,NA,NA,NA,NA,NA,2019,
2020,2,3172,17,A,NA,NA,NA,NA,NA,2019,
2020,2,3190,18,C,NA,NA,NA,NA,NA,2019,
2020,2,3186,18,D,NA,NA,NA,NA,NA,2019,
2020,2,3157,18,E,NA,NA,NA,NA,NA,2019,
2020,2,3185,19,B,NA,NA,NA,NA,NA,2019,
2020,2,3188,19,B,NA,NA,NA,NA,NA,2019,
2020,2,3187,19,C,NA,NA,NA,NA,NA,2019,
2020,2,3189,19,C,NA,NA,NA,NA,NA,2019,
2020,3,3071,0,A,NA,NA,NA,NA,NA,2017,no plant
2020,3,3793,0,A,1,7.8,0,NA,NA,2019,
2020,3,3056,0,B,NA,NA,NA,NA,NA,2016,NPNT
2020,3,3463,0,B,1,13.6,0,NA,NA,2018,
2020,3,3919,0,B,NA,NA,NA,NA,NA,2019,no plant
2020,3,3624,0,D,NA,NA,NA,NA,NA,2016,no plant
2020,3,3015,0,F,NA,NA,NA,NA,NA,2017,no plant
2020,3,3906,1,C,2,12.2,0,NA,NA,2017,
2020,3,3349,1,F,2,17.5,1,28.4,3.6,2016,
2020,3,3019,2,A,1,12,0,NA,NA,2017,
2020,3,3462,2,A,NA,NA,NA,NA,NA,2018,no plant
2020,3,3036,2,B,NA,NA,NA,NA,NA,2016,npnt
2020,3,3633,2,B,1,10.1,0,NA,NA,2016,
2020,3,3568,2,C,1,10.8,0,NA,NA,2017,
2020,3,3799,2,D,1,9.9,0,NA,NA,2019,
2020,3,3304,3,B,1,10.7,0,NA,NA,2016,
2020,3,3313,3,B,1,10.7,0,NA,NA,2016,
2020,3,3507,3,B,1,16.2,0,NA,NA,2016,
2020,3,3651,3,B,NA,NA,NA,NA,NA,2017,no plant
2020,3,3831,4,B,1,15.6,1,14.5,2.6,2017,
2020,3,3461,4,C,1,8,0,NA,NA,2018,
2020,3,3797,4,I,1,12.4,0,NA,NA,2019,
2020,3,3796,6,E,NA,NA,NA,NA,NA,2019,NPNT
2020,3,3798,6,E,2,8.4,0,NA,NA,2019,
2020,4,3656,0,D,3,12.5,0,NA,NA,2017,1 eaten leaf
2020,4,3805,0,J,1,11.5,0,NA,NA,2016,
2020,4,3154,1,A,1,13.3,0,NA,NA,2019,
2020,4,3812,1,D,NA,NA,NA,NA,NA,2017,npnt
2020,4,3064,1,H,4,12.3,1,23.4,2.2,2016,
2020,4,3075,1,I,NA,NA,NA,NA,NA,2016,NPNT
2020,4,3152,1,I,1,12.3,0,NA,NA,2019,
2020,4,3660,2,G,2,10.8,1,32.2,2.5,2017,
2020,4,3691,2,H,0,NA,NA,NA,NA,2017,no plant
2020,4,3787,3,G,1,14.6,17,NA,NA,2020,
2020,4,3011,3,H,1,9.4,0,NA,NA,2016,
2020,4,3364,3,H,1,9.2,0,NA,NA,2016,
2020,4,3460,3,J,1,10,0,NA,NA,2018,
2020,4,3007,4,H,1,16.1,0,NA,NA,2016,
2020,4,3165,4,H,1,16.1,0,NA,NA,2019,
2020,4,3151,4,I,1,10.2,0,NA,NA,2019,
2020,4,3680,4,J,1,10.6,0,NA,NA,2016,
2020,4,3458,5,F,2,9.8,1,30,4.8,2018,
2020,4,3459,5,H,NA,NA,NA,NA,NA,2018,NPNT
2020,4,3786,6,H,1,7,18,NA,NA,2020,
2020,4,3571,6,J,NA,NA,NA,NA,NA,2016,NPNT
2020,4,3983,7,I,1,16.3,0,NA,NA,2016,
2020,4,3122,8,J,0,NA,NA,NA,NA,2017,no plant
2020,4,3103,11,O,2,11.5,0,NA,NA,2017,diversity plot
2020,4,3555,11,T,3,13.5,1,21,2.5,2016,diversity plot
2020,4,3342,14,N,5,11,3,38.5,SOS,2016,diversity plot
2020,4,3563,15,R,5,18.5,2,51.5,SOS,2016,diversity plot
2020,4,3182,16,H,1,15.3,0,NA,NA,2019,
2020,4,3634,18,O,11,15,3,31.5,SOS,2016,diversity plot
2020,4,3090,18,P,0,NA,NA,NA,NA,2016,no plant
2020,5,3490,0,F,4,11,0,NA,NA,2019,
2020,5,3788,0,F,1,11.6,16,NA,NA,2020,
2020,5,3024,0,H,2,12,0,NA,NA,2016,
2020,5,3328,0,H,1,13,0,NA,NA,2016,
2020,5,3467,0,H,3,10.7,0,NA,NA,2018,
2020,5,3195,1,A,0,NA,NA,NA,NA,?,no plant
