Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes
2021,1,3610,0,C,4,18,3,31,SOS,2016,SOS = see other sheet
2021,1,3525,0,E,3,18,1,31.5,6,2017,
2021,1,3527,0,H,2,15,1,23,3.5,2016,
2021,1,3542,0,I,4,15,0,NA,NA,2016,
2021,1,3599,0,I,2,15,1,11.5,2,2017,
2021,1,3814,0,J,2,15,2,17,3.5,2017,TAG IS 3782
2021,1,3365,0,J,2,11.5,0,NA,NA,2021,
2021,1,3583,1,I,3,17.5,1,26,3.5,2017,
2021,1,3772,1,I,1,12.5,1,19.5,3,2021,
2021,1,3506,2,E,1,13.5,0,NA,NA,2016,
2021,1,3543,2,F,4,15,2,26,3.5,2016,
2021,1,3608,3,D,4,13,1,15.5,1.5,2016,
2021,1,3860,3,D,1,13,0,NA,NA,2016,
2021,1,3879,3,D,1,18,0,NA,NA,2016,
2021,1,3567,3,I,3,17,2,21.5,4,2016,
2021,1,3821,4,A,4,17,2,37,SOS,2017,
2021,1,3728,4,D,1,10,0,NA,NA,2021,
2021,1,3629,4,I,0,NA,NA,NA,NA,2017,NP
2021,1,3935,4,I,2,18,0,NA,NA,2016,
2021,1,3410,4,J,4,13.5,1,27,4,2018,
2021,1,3554,5,I,NA,NA,NA,NA,NA,2016,NPNT
2021,1,3687,5,I,2,18,0,NA,NA,2016,
2021,1,3741,5,I,6,16,1,21.5,4,2021,
2021,1,3645,5,J,1,17,0,NA,NA,2016,
2021,1,3126,6,D,2,18,0,NA,NA,2021,
2021,1,3553,7,C,0,NA,NA,NA,NA,2016,NP
2021,1,3650,7,E,0,NA,NA,NA,NA,2016,NP
2021,1,3692,7,E,1,8,0,NA,NA,2016,
2021,1,3845,7,G,1,16,0,NA,NA,2016,
2021,1,3611,7,I,3,13,1,18.5,3,2016,
2021,1,3627,7,I,1,18,0,NA,NA,2016,
2021,1,3744,8,A,2,12,0,NA,NA,2021,
2021,1,3046,8,B,0,NA,NA,NA,NA,2017,NP
2021,1,3982,8,B,0,NA,NA,NA,NA,2017,NP
2021,1,3930,8,G,3,21,0,NA,NA,2016,
2021,1,3151,8,H,2,15,1,28,3.5,2016,
2021,1,3537,8,J,1,13.5,0,NA,NA,2017,
2021,1,3871,8,J,0,NA,NA,NA,NA,2016,NP
2021,1,3875,9,B,0,NA,NA,NA,NA,2016,NP
2021,1,3878,9,E,0,NA,NA,NA,NA,2016,NP
2021,1,3412,9,I,1,11,0,NA,NA,2018,
2021,1,3411,9,J,1,13,0,NA,NA,2018,
2021,1,3430,10,A,NA,NA,NA,NA,NA,2019,NPNT
2021,1,3430,10,A,0,NA,NA,NA,NA,2019,NP
2021,1,3191,11,A,0,NA,NA,NA,NA,2019,NP
2021,1,3192,11,B,3,14,1,33,1,2019,
2021,1,3763,12,A,1,18,0,NA,NA,2021,
2021,1,3424,12,G,3,21,0,NA,NA,2019,
2021,1,3194,12,H,1,14,0,NA,NA,2019,
2021,1,3779,14,B,2,13,1,23,3,2021,
2021,1,3723,15,D,1,12,0,NA,NA,2021,
2021,1,3347,15,I,1,13,0,NA,NA,2019,
2021,1,3197,15,J,0,NA,NA,NA,NA,2019,NP
2021,1,3902,15,J,1,12,0,NA,NA,2021,
2021,1,3195,16,B,1,11,1,14.5,2,2019,
2021,1,3193,16,C,1,20,0,NA,NA,2019,
2021,1,3198,16,H,2,12.5,0,NA,NA,2019,
2021,1,3437,16,J,1,10,0,NA,NA,2019,
2021,1,3850,17,E,2,13.5,0,NA,NA,2021,
2021,1,3012,17,G,1,10,0,NA,NA,2021,
2021,1,3199,17,H,1,11.5,0,NA,NA,2019,
2021,1,3415,17,J,1,12,0,NA,NA,2019,
2021,1,3418,18,B,2,12,1,26,3,2019,18E not 18B
2021,1,3483,18,E,2,13.5,0,NA,NA,2019,
2021,1,3572,18,H,1,14.5,0,NA,NA,2019,
2021,1,3432,19,A,2,21.5,0,NA,NA,2019,
2021,1,3425,19,B,0,NA,NA,NA,NA,2019,"NP, under hose"
2021,1,3434,19,F,3,12,1,30,4,2019,
2021,1,3200,19,I,1,11,0,NA,NA,2019,
2021,2,3574,0,A,0,NA,NA,NA,NA,2016,NP
2021,2,3652,0,C,NA,NA,NA,NA,NA,2016,NPNT
2021,2,3544,0,D,0,NA,NA,NA,NA,2016,NP
2021,2,3501,0,J,2,16,0,NA,NA,2016,
2021,2,3891,0,J,3,13,0,NA,NA,2017,
2021,2,3576,1,B,0,NA,NA,NA,NA,2016,NP
2021,2,3841,1,C,5,12.5,1,18.5,2,2016,
2021,2,3905,1,D,2,11,0,NA,NA,2021,
2021,2,3540,2,B,0,NA,NA,NA,NA,2016,NP
2021,2,3602,2,B,2,11.5,1,19,4,2021,
2021,2,3323,2,C,1,7.5,0,NA,NA,2016,
2021,2,3533,2,C,NA,NA,NA,NA,NA,2016,NPNT
2021,2,3523,2,D,3,11,1,23.5,6,2016,
2021,2,3413,2,E,3,10.5,0,NA,NA,2018,
2021,2,3619,3,A,NA,NA,NA,NA,NA,2016,NPNT
2021,2,3585,3,C,2,19.5,1,33,4.5,?,
2021,2,3480,3,G,1,11,0,NA,NA,2018,
2021,2,3654,3,G,2,11,0,NA,NA,2016,
2021,2,3934,3,H,NA,NA,NA,NA,NA,2017,"NPNT, maybe new tag 3964"
2021,2,3964,3,H,1,8,0,NA,NA,2021,maybe old tag 3934 that was NPNT
2021,2,3013,3,I,2,12,0,NA,NA,2017,
2021,2,3847,4,E,1,11,0,NA,NA,2016,
2021,2,3522,4,E,1,6,0,NA,NA,2021,
2021,2,3667,5,B,0,NA,NA,NA,NA,2016,"NP, tag pulled"
2021,2,3698,5,J,4,13,0,NA,NA,2017,
2021,2,3749,6,B,0,NA,NA,NA,NA,2020,NP
2021,2,3858,6,B,2,19,0,NA,NA,2016,
2021,2,3477,6,C,3,17,0,NA,NA,2018,
2021,2,3475,6,D,NA,NA,NA,NA,NA,2018,NPNT
2021,2,3598,6,D,0,NA,NA,NA,NA,2016,NP
2021,2,3623,6,E,0,NA,NA,NA,NA,2016,NP
2021,2,3549,7,A,2,12,0,NA,NA,2016,
2021,2,3668,7,A,0,NA,NA,NA,NA,2016,NP
2021,2,3861,7,A,1,8,0,NA,NA,2016,
2021,2,3703,7,C,3,13,1,25,2,2016,
2021,2,3539,7,D,3,18,1,27,4,2016,
2021,2,3476,7,E,0,NA,NA,NA,NA,2018,"NP, under hose"
2021,2,3584,7,F,5,15,2,20,2.5,2016,
2021,2,3597,7,H,3,14.5,1,19,3.5,2016,
2021,2,3185,7,I,1,12.5,0,NA,NA,2017,
2021,2,3751,8,A,2,16.5,1,13,1,2020,
2021,2,3502,8,B,3,17.5,1,32,3,2016,
2021,2,3908,8,B,0,NA,NA,NA,NA,2016,NP
2021,2,3844,8,C,0,NA,NA,NA,NA,?,NP
2021,2,3864,8,G,0,NA,NA,NA,NA,2016,NP
2021,2,3531,9,B,2,12,1,26.5,4.5,2016,
2021,2,3865,9,F,3,12,0,NA,NA,2016,
2021,2,3184,9,G,2,11,1,19,2.5,2019,
2021,2,3519,9,G,2,15,1,28,5,2017,
2021,2,3550,9,I,2,11.5,1,18,3,2016,
2021,2,3160,10,H,0,NA,NA,NA,NA,2019,NP
2021,2,3161,10,H,0,NA,NA,NA,NA,2019,NP
2021,2,3965,11,A,3,15,2,31,SOS,2021,
