Year,Plot,Tag,Xcoor,Ycoor,umble.no,umble.diameter,notes
2021,1,3610,0,C,1,5,
2021,1,3610,0,C,2,3.5,
2021,1,3610,0,C,3,3.5,
2021,1,3821,4,A,1,4,
2021,1,3821,4,A,2,4,
2021,2,3156,11,E,1,6,
2021,2,3156,11,E,2,5.5,
2021,2,3159,13,H,1,5,
2021,2,3159,13,H,2,2.5,
2021,2,3159,13,H,3,4,
2021,2,3164,14,B,1,4,
2021,2,3164,14,B,2,1.5,
2021,2,3167,15,B,1,2.5,
2021,2,3167,15,B,2,3,
2021,2,3167,15,B,3,3.5,
2021,2,3157,18,E,1,4.5,
2021,2,3157,18,E,2,2,
2021,4,3563,15,R,1,4.5,
2021,4,3563,15,R,2,4,
2021,4,3090,18,P,1,3.5,
2021,4,3090,18,P,2,2.5,
2021,5,3197,3,A,1,4.5,
2021,5,3197,3,A,2,3,
2021,5,3644,8,H,1,1.5,
2021,5,3644,8,H,2,1.5,
2021,5,3488,15,I,1,8,
2021,5,3488,15,I,2,2.5,
2021,6,3070,4,G,1,1,
2021,6,3070,4,G,2,5,
2021,6,3179,5,E,1,1.5,
2021,6,3179,5,E,2,6,
2021,6,3518,10,I,1,5,
2021,6,3518,10,I,2,2,
2021,6,3319,11,A,1,5,
2021,6,3319,11,A,2,4.5,
2021,6,3345,12,D,1,2.5,
2021,6,3345,12,D,2,5,
2021,6,3345,12,D,3,3.5,
2021,6,3358,12,D,1,6,
2021,6,3358,12,D,2,3,
2021,6,3358,12,D,3,1.5,
2021,6,3669,14,E,1,2,
2021,6,3669,14,E,2,5,
2021,6,3141,15,E,1,4,
2021,6,3141,15,E,2,5,
2021,6,3141,15,E,3,1,
2021,6,3136,16,B,1,3.5,
2021,6,3136,16,B,2,1.5,
2021,6,3887,16,D,1,3.5,
2021,6,3887,16,D,2,1.5,
2021,6,3648,16,F,1,4,
2021,6,3648,16,F,2,3.5,
2021,6,3643,18,H,1,4,
2021,6,3643,18,H,2,4,
2021,7,3296,9,C,1,4,
2021,7,3296,9,C,2,1.5,
2021,7,3994,9,J,1,3,
2021,7,3994,9,J,2,3,
2021,12,3578,15,A,1,3.5,
2021,12,3578,15,A,2,1.5,
2021,12,3536,18,A,1,1.5,
2021,12,3536,18,A,2,5,
2021,13,3642,10,G,1,4.5,
2021,13,3642,10,G,2,2,
2021,13,3396,12,B,1,1,
2021,13,3396,12,B,2,1.5,
2021,13,3396,12,B,3,5.5,
2021,13,3515,14,G,1,3,
2021,13,3515,14,G,2,3,
2021,13,3494,16,D,1,4,
2021,13,3494,16,D,2,2,
2021,14,3367,15,H,1,2.5,
2021,14,3367,15,H,2,1.5,
2021,14,3367,15,H,3,3.5,
2021,14,3556,15,H,1,3,
2021,14,3556,15,H,2,2.5,
2021,15,3065,2,F,1,4,
2021,15,3065,2,F,2,1.5,
2021,15,3065,2,F,3,3.5,
2021,15,3065,2,F,4,3.5,
2021,15,3485,3,A,1,2.5,
2021,15,3485,3,A,2,4,
2021,15,3341,3,H,1,3,
2021,15,3341,3,H,2,1.5,
2021,15,3095,6,J,1,2,
2021,15,3095,6,J,2,2,
2021,15,3014,9,I,1,3,
2021,15,3014,9,I,2,1,
2021,15,3047,14,J,1,3.5,
2021,15,3047,14,J,2,1.5,
2021,15,3581,15,I,1,2,
2021,15,3581,15,I,2,2.5,
2021,15,3391,16,A,1,2.5,
2021,15,3391,16,A,2,1.5,
2021,15,3116,16,C,1,2.5,
2021,15,3116,16,C,2,3,
2021,15,3116,16,C,3,3.5,
2021,15,3116,16,C,4,1.5,
2021,15,3686,16,H,1,2,
2021,15,3686,16,H,2,3.5,
2021,15,3738,17,H,1,3,
2021,15,3738,17,H,2,2.5,
2021,15,3372,19,C,1,2,
2021,15,3372,19,C,2,4,
2021,2,3965,11,A,1,3.5,
2021,2,3965,11,A,2,2,
2021,4,3321,16,L,1,6,
2021,4,3321,16,L,2,3,
2021,4,3321,16,L,3,2.5,
2021,4,2230,10,J,1,5.5,
2021,4,2230,10,J,2,2.5,
2021,15,3766,19,D,1,2.5,
2021,15,3766,19,D,2,3,
