survey.date,plot,tag,xcoor,ycoor,no.closed,no.unfurling,no.partial,no.flat,no.open,no.olp,no.seeding,no.dead,no.eaten,notes
4/30/2021,1,3543,2,F,0,0,1,0,0,0,0,0,0,
4/30/2021,1,3567,3,I,0,0,0,1,0,0,0,0,0,
4/30/2021,1,3779,14,B,0,0,1,0,0,0,0,0,0,
4/30/2021,1,3195,16,B,0,0,1,0,0,0,0,0,0,
4/30/2021,1,3418,18,E,0,1,0,0,0,0,0,0,0,
5/7/2021,1,3543,2,F,1,0,0,1,0,0,0,0,0,
5/7/2021,1,3567,3,I,1,0,0,1,0,0,0,0,0,
5/7/2021,1,3779,14,B,0,0,1,0,0,0,0,0,0,
5/7/2021,1,3195,16,B,0,0,0,1,0,0,0,0,0,
5/7/2021,1,3418,18,E,0,0,0,1,0,0,0,0,0,
5/7/2021,1,3525,0,E,0,0,0,0,1,0,0,0,0,
5/7/2021,1,3782,0,J,0,0,0,0,1,0,0,0,0,
5/7/2021,1,3583,1,I,0,0,1,0,0,0,0,0,0,
5/7/2021,1,3599,0,I,0,0,0,1,0,0,0,0,0,
5/7/2021,1,3410,4,J,0,0,0,0,1,0,0,0,0,
5/7/2021,1,3741,5,I,0,0,0,0,1,0,0,0,0,
5/7/2021,1,3611,7,I,0,0,0,0,1,0,0,0,0,
5/7/2021,1,3151,8,H,0,0,0,1,0,0,0,0,0,
5/13/2021,1,3543,2,F,0,1,0,0,1,0,0,0,0,
5/13/2021,1,3567,3,I,0,1,0,0,1,0,0,0,0,
5/13/2021,1,3779,14,B,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3195,16,B,0,0,0,1,0,0,0,0,0,
5/13/2021,1,3418,18,E,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3525,0,E,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3782,0,J,0,1,0,0,1,0,0,0,0,
5/13/2021,1,3583,1,I,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3599,0,I,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3410,4,J,0,0,0,1,0,0,0,0,0,
5/13/2021,1,3741,5,I,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3611,7,I,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3151,8,H,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3610,0,C,0,0,0,0,3,0,0,0,0,
5/13/2021,1,3527,0,H,0,0,0,0,1,0,0,0,0,
5/13/2021,1,3608,3,D,0,0,0,1,0,0,0,0,0,
5/13/2021,1,3821,4,A,0,0,0,1,1,0,0,0,0,
5/13/2021,1,3434,19,F,0,0,0,0,1,0,0,0,0,
5/20/2021,1,3543,2,F,0,0,0,0,1,1,0,0,0,
5/20/2021,1,3567,3,I,0,0,0,0,1,0,1,0,0,
5/20/2021,1,3779,14,B,0,0,0,0,0,1,0,0,0,
5/20/2021,1,3195,16,B,0,0,0,0,0,1,0,0,0,
5/20/2021,1,3418,18,E,0,0,0,0,1,0,0,0,0,
5/20/2021,1,3525,0,E,0,0,0,0,0,0,2,0,0,
5/20/2021,1,3782,0,J,0,0,0,0,1,1,0,0,0,
5/20/2021,1,3583,1,I,0,0,0,0,0,0,1,0,0,
5/20/2021,1,3599,0,I,0,0,0,0,0,1,0,0,0,
5/20/2021,1,3410,4,J,0,0,0,0,0,0,1,0,0,
5/20/2021,1,3741,5,I,0,0,0,0,0,1,0,0,0,
5/20/2021,1,3611,7,I,0,0,0,0,0,0,1,0,0,
5/20/2021,1,3151,8,H,0,0,0,0,0,0,1,0,0,
5/20/2021,1,3610,0,C,0,0,0,0,0,1,2,0,0,
5/20/2021,1,3527,0,H,0,0,0,0,0,0,0,0,1,
5/20/2021,1,3608,3,D,0,0,0,0,1,0,0,0,0,
5/20/2021,1,3821,4,A,0,0,0,0,1,0,1,0,0,
5/20/2021,1,3434,19,F,0,0,0,0,1,0,0,0,0,
5/20/2021,1,3365,0,J,0,0,0,0,0,1,0,0,0,
5/27/2021,1,3543,2,F,0,0,0,0,0,1,1,0,0,
5/27/2021,1,3567,3,I,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3779,14,B,0,0,0,0,0,1,0,0,0,
5/27/2021,1,3195,16,B,0,0,0,0,0,1,0,0,0,
5/27/2021,1,3418,18,E,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3525,0,E,0,0,0,0,0,0,2,0,0,
5/27/2021,1,3782,0,J,0,0,0,0,0,0,2,0,0,
5/27/2021,1,3583,1,I,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3599,0,I,0,0,0,0,0,0,0,1,0,
5/27/2021,1,3410,4,J,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3741,5,I,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3611,7,I,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3151,8,H,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3610,0,C,0,0,0,0,0,0,3,0,0,
5/27/2021,1,3527,0,H,0,0,0,0,0,0,0,0,1,
5/27/2021,1,3608,3,D,0,0,0,0,0,1,0,0,0,
5/27/2021,1,3821,4,A,0,0,0,0,0,0,2,0,0,
5/27/2021,1,3434,19,F,0,0,0,0,0,0,1,0,0,
5/27/2021,1,3365,0,J,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3543,2,F,0,0,0,0,0,0,1,1,0,
6/4/2021,1,3567,3,I,0,0,0,0,0,0,1,1,0,
6/4/2021,1,3779,14,B,0,0,0,0,0,0,0,1,0,
6/4/2021,1,3195,16,B,0,0,0,0,0,0,0,1,0,
6/4/2021,1,3418,18,E,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3525,0,E,0,0,0,0,0,0,2,0,0,
6/4/2021,1,3782,0,J,0,0,0,0,0,0,1,1,0,
6/4/2021,1,3583,1,I,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3599,0,I,0,0,0,0,0,0,0,1,0,
6/4/2021,1,3410,4,J,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3741,5,I,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3611,7,I,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3151,8,H,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3610,0,C,0,0,0,0,0,0,2,0,1,
6/4/2021,1,3527,0,H,0,0,0,0,0,0,0,0,0,
6/4/2021,1,3608,3,D,0,0,0,0,0,0,0,1,0,
6/4/2021,1,3821,4,A,0,0,0,0,0,0,1,1,0,
6/4/2021,1,3434,19,F,0,0,0,0,0,0,1,0,0,
6/4/2021,1,3365,0,J,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3543,2,F,0,0,0,0,0,0,1,1,0,
6/10/2021,1,3567,3,I,0,0,0,0,0,0,1,1,0,
6/10/2021,1,3779,14,B,0,0,0,0,0,0,0,1,0,
6/10/2021,1,3195,16,B,0,0,0,0,0,0,0,1,0,
6/10/2021,1,3418,18,E,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3525,0,E,0,0,0,0,0,0,2,0,0,
6/10/2021,1,3782,0,J,0,0,0,0,0,0,1,1,0,
6/10/2021,1,3583,1,I,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3599,0,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stopped checking, dead > 2weeks"
6/10/2021,1,3410,4,J,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3741,5,I,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3611,7,I,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3151,8,H,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3610,0,C,0,0,0,0,0,0,2,0,1,
6/10/2021,1,3527,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stopped checking, dead > 2weeks"
6/10/2021,1,3608,3,D,0,0,0,0,0,0,0,1,0,
6/10/2021,1,3821,4,A,0,0,0,0,0,0,1,1,0,
6/10/2021,1,3434,19,F,0,0,0,0,0,0,1,0,0,
6/10/2021,1,3365,0,J,0,0,0,0,0,0,1,0,0,
6/14/2021,1,3543,2,F,0,0,0,0,0,0,1,1,0,
