year,plot,tag,xcoor,ycoor,umble.no,no.seeds,seed.status,notes,,
2021,1,3410,4,J,1,56,green,,seed status,
2021,1,3567,3,I,1,64,green,,green,"green or mostly green, still stuck together"
2021,1,3567,3,I,2,0,green,dead,bw_stripes,"black and white, but still stuck together"
2021,1,3583,1,I,1,26,green,,splitting,"seeds splitting apart, starting to fall"
2021,1,3365,0,J,1,1,green,,loose,seeds mostly fallen into bag
2021,1,3821,4,A,1,136,green,,gb,"mix of green and brown seeds.  Brown seeds are unhealthy (not just dry), look maybe rotten"
2021,1,3821,4,A,2,0,green,dead,,
2021,1,3418,18,E,1,10,green,,,
2021,2,3602,2,B,1,24,NA,Plot 2 seed status: ~half are green and half are b/w stripes,,
2021,2,3523,2,D,1,34,NA,,,
2021,2,3519,9,G,1,40,NA,,,
2021,2,3502,8,B,1,44,NA,,,
2021,2,3157,18,E,1,70,NA,,,
2021,2,3157,18,E,2,0,NA,dead,,
2021,2,3185,19,B,1,30,NA,,,
2021,3,3304,3,B,1,26,NA,,,
2021,3,3349,1,F,1,30,NA,,,
2021,3,3797,4,I,1,0,NA,dead,,
2021,3,3759,15,B,1,10,splitting,,,
2021,5,3197,3,A,1,64,green,,,
2021,5,3197,3,A,2,34,NA,,,
2021,5,3488,13,J,1,34,loose,first one to be ready (collected 06/10/21),,
2021,5,5045,13,C,1,36,bw_stripes,,,
2021,5,3093,14,A,1,6,splitting,,,
2021,5,3833,16,B,1,17,loose  ,,,
2021,5,3067,16,F,1,27,loose  ,,,
2021,4,3730,0,I,1,38,green,,,
2021,4,3460,3,J,1,74,green,,,
2021,4,3122,8,J,1,10,green,,,
2021,4,2230,10,J,1,8,green,"8 big seeds, rest shrivelled/dead",,
2021,4,2230,10,J,2,0,NA,,,
2021,4,3555,11,T,1,42,green,,,
2021,4,3090,18,P,1,54,green,,,
2021,4,3090,18,P,2,0,NA,umbel eaten,,
2021,6,3070,4,G,1,92,green,,,
2021,6,3070,4,G,2,12,green,,,
2021,6,3070,4,G,3,0,NA,dead,,
2021,6,3748,5,E,1,0,NA,dead,,
2021,6,3748,5,E,2,0,NA,dead,,
2021,6,3928,7,C,1,38,gb,"6 green, 32 brown. brown seeds were rotten",,
2021,6,3753,11,A,1,72,gb,"54 green, 18 brown. brown seeds were rotten",,
2021,6,3141,15,E,1,142,green,,,
2021,6,3141,15,E,2,0,NA,dead,,
2021,6,3141,15,E,3,0,NA,dead,,
2021,6,3466,19,B,1,10,NA,,,
2021,7,3453,0,C,1,28,loose  ,,,
2021,7,3453,0,C,2,0,NA,dead,,
2021,7,3298,9,C,1,36,green,,,
2021,7,3298,9,C,2,0,NA,dead,,
2021,15,3393,0,J,1,6,loose  ,,,
2021,15,3052,3,J,1,28,loose  ,,,
2021,15,3892,0,B,1,2,NA,,,
2021,15,3423,2,I,1,6,NA,"Was not a bagged plant, but seeds easy to count",,
2021,15,3686,16,H,1,32,bw_stripes,,,
2021,15,3686,16,H,2,14,NA,,,
2021,15,3481,15,H,1,6,NA,,,
2021,15,3740,13,J,1,17,loose  ,,,
2021,15,3436,17,H,1,26,NA,"Was not a bagged plant, but seeds easy to count",,
2021,9,3143,14,T,1,28,green,,,
2021,9,3143,14,T,2,0,NA,dead,,
2021,10,3190,1,B,1,6,loose  ,,,
2021,12,3135,7,G,1,54,green,,,
2021,12,3135,7,G,2,0,NA,dead,,
2021,12,3578,15,A,1,52,green,,,
2021,12,3578,15,A,2,0,NA,dead,,
2021,12,3536,18,A,1,72,green,,,
2021,12,3536,18,A,2,0,NA,dead,,
2021,14,3432,2,J,1,4,green,,,
2021,14,3661,7,I,1,22,green,,,
2021,14,3305,7,B,1,4,green,,,
2021,14,3360,8,D,1,4,NA,"Was not a bagged plant, but seeds easy to count",,
2021,14,3607,10,D,1,60,NA,,,
2021,14,3149,19,A,1,38,NA,,,
2021,14,3556,15,H,1,52,NA,,,
2021,14,3556,15,H,2,0,NA,dead,,
2021,14,3363,15,H,1,128,NA,,,
2021,14,3363,15,H,2,82,NA,,,
2021,14,3363,15,H,3,0,NA,dead,,
2021,13,3421,0,C,1,26,bw_stripes,,,
2021,13,3978,2,F,1,54,NA,,,
2021,13,3978,2,F,2,0,NA,dead,,
2021,13,3433,3,A,1,19,loose,,,
2021,13,3826,5,A,1,4,NA,,,
2021,13,3390,7,G,1,30,NA,,,
2021,13,3642,10,G,1,104,NA,,,
2021,13,3642,10,G,2,0,NA,dead,,
2021,13,3620,12,J,1,8,NA,"Was not a bagged plant, but seeds easy to count",,
2021,13,3494,16,D,1,114,green,,,
2021,13,3494,16,D,2,0,NA,dead,,
