Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,1,3610,0,C,11,20,6,60,SOS,2016,outside plot,,,,
2022,1,3525,0,E,3,20,1,44,7.5,2017,,,,,
2022,1,3527,0,H,0,NA,NA,NA,NA,2016,NP ,,,,
2022,1,3542,0,I,5,15,4,38.5,SOS,2016,,,,,
2022,1,3599,0,I,2,16.5,1,44.5,5,2017,,,,,
2022,1,3814,0,J,1,14,2,29,SOS,2017,Tag is 3782,,,,
2022,1,3365,0,J,3,10,2,37.5,SOS,2021,,,,,
2022,1,3583,1,I,2,14.5,1,49,4.5,2017,,,,,
2022,1,3772,1,I,0,NA,NA,NA,NA,2021,NP,,,,
2022,1,3506,2,E,5,10.5,4,39,SOS,2016,,,,,
2022,1,3543,2,F,2,14.5,1,31,3,2016,,,,,
2022,1,3608,3,D,5,13,3,40.5,SOS,2016,,,,,
2022,1,3860,3,D,7,21,0,NA,NA,2016,,,,,
2022,1,3879,3,D,2,15,1,40,5.5,2016,,,,,
2022,1,3567,3,I,2,14,2,46.5,SOS,2016,,,,,
2022,1,3821,4,A,5,22,3,50.5,SOS,2017,,,,,
2022,1,3728,4,D,0,NA,NA,NA,NA,2021,NP,,,,
2022,1,3629,4,I,1,18.5,0,NA,NA,2017,,,,,
2022,1,3935,4,I,4,17,2,45,SOS,2016,,,,,
2022,1,3410,4,J,2,14,1,29,6.5,2018,,,,,
2022,1,3554,5,I,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,1,3687,5,I,1,14,0,NA,NA,2016,,,,,
2022,1,3741,5,I,6,19.5,3,37,SOS,2021,,,,,
2022,1,3645,5,J,2,14,1,33.5,5,2016,,,,,
2022,1,3126,6,D,3,17.5,2,50,SOS,2021,,,,,
2022,1,3553,7,C,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,1,3650,7,E,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,1,3692,7,E,1,16,0,NA,NA,2016,,,,,
2022,1,3845,7,G,2,12.5,1,26,2.5,2016,,,,,
2022,1,3611,7,I,3,13,2,39,SOS,2016,,,,,
2022,1,3627,7,I,3,15,2,38,SOS,2016,,,,,
2022,1,3744,8,A,0,NA,NA,NA,NA,2021,NP,,,,
2022,1,3046,8,B,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,1,3982,8,B,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,1,3930,8,G,5,17,3,46,SOS,2016,,,,,
2022,1,3151,8,H,5,20,1,34,4,2016,,,,,
2022,1,3537,8,J,0,NA,NA,NA,NA,2017,NP,,,,
2022,1,3871,8,J,0,NA,NA,NA,NA,2016,"NP, tag pulled",1,,,
2022,1,3875,9,B,0,NA,NA,NA,NA,2016,"NP, tag pulled",1,,,
2022,1,3878,9,E,0,NA,NA,NA,NA,2016,"NP, tag pulled",1,,,
2022,1,3412,9,I,2,15,1,38,6,2018,,,,,
