Year,Plot,Tag,Xcoor,Ycoor,umble.no,umble.diameter,umble.phenology,notes,,,,
2022,1,3610,0,C,1,5,seeding,,,,,
2022,1,3610,0,C,2,6,seeding,,,,,
2022,1,3610,0,C,3,4.5,seeding,,,,,
2022,1,3610,0,C,4,3.5,seeding,,,,,
2022,1,3610,0,C,5,4,seeding,,,,,
2022,1,3610,0,C,6,4.5,seeding,,,,,
2022,1,3365,0,J,1,4,seeding,,,,,
2022,1,3365,0,J,2,3.5,flp,,,,,
2022,1,3506,2,E,1,3.5,flp,,,,,
2022,1,3506,2,E,2,4,seeding,,,,,
2022,1,3506,2,E,3,2.5,flowering,,,,,
2022,1,3506,2,E,4,2.5,flowering,,,,,
2022,1,3608,3,D,1,2.5,flowering,,,,,
2022,1,3608,3,D,2,3,flowering,,,,,
2022,1,3608,3,D,3,4.5,seeding,,,,,
2022,1,3567,3,I,1,7,seeding,,,,,
2022,1,3567,3,I,2,2.5,dead,,,,,
2022,1,3821,4,A,1,5,seeding,,,,,
2022,1,3821,4,A,2,5.5,seeding,,,,,
2022,1,3821,4,A,3,4,dead,,,,,
2022,1,3935,4,I,1,3.5,flowering,,,,,
2022,1,3935,4,I,2,4.5,,***,,,,
2022,1,3741,5,I,1,8.5,seeding,,,,,
2022,1,3741,5,I,2,5,flowering,,,,,
2022,1,3741,5,I,3,2.5,flowering,,,,,
2022,1,3126,6,D,1,4.5,seeding,,,,,
2022,1,3126,6,D,2,4,dead,,,,,
2022,1,3611,7,I,1,3,seeding,,,,,
2022,1,3611,7,I,2,4.5,dead,,,,,
2022,1,3627,7,I,1,4.5,seeding,,,,,
2022,1,3627,7,I,2,3,dead,,,,,
2022,1,3930,8,G,1,6,seeding,,,,,
2022,1,3930,8,G,2,5.5,seeding,,,,,
2022,1,3930,8,G,3,4,dead,,,,,
2022,1,3779,14,B,1,5.5,seeding,,,,,
2022,1,3779,14,B,2,2.5,flowering,,,,,
2022,1,3432,19,A,1,6.5,NA,,,,,
2022,1,3432,19,A,2,4.5,NA,,,,,
2022,2,3413,2,E,1,2,seeding,,,,,
2022,2,3413,2,E,2,3,flp,,,,,
2022,2,3703,7,C,1,2,seeding,,,,,
2022,2,3703,7,C,2,NA,dead,,,,,
2022,2,3597,7,H,1,5,seeding,,,,,
2022,2,3597,7,H,2,6,seeding,,,,,
2022,2,3597,7,H,3,4,flp,,,,,
2022,2,3751,8,A,1,6,seeding,,,,,
2022,2,3751,8,A,2,3.5,dead,,,,,
2022,2,3531,9,B,1,5,seeding,,,,,
