survey.date,plot,tag,no.buds,no.pods,no.flowers,no.flp,no.broken,no.seeding,no.dead,no.eaten,notes
4/19/2022,1,7562,1,0,0,0,0,0,0,0,
4/19/2022,1,3567,1,0,0,0,0,0,0,0,
4/19/2022,1,3930,1,0,0,0,0,0,0,0,
4/19/2022,1,3542,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3365,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3627,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3611,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3151,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3126,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3763,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3821,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3599,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3814,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3935,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3347,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3432,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3779,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3192,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3782,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3506,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3608,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3645,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3412,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,7536,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3424,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3434,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3879,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3741,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3410,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3525,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3543,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3583,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3845,NA,NA,NA,NA,NA,NA,NA,NA,
4/19/2022,1,3610,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,7562,1,0,0,0,0,0,0,0,
4/25/2022,1,3567,0,1,1,0,0,0,0,0,
4/25/2022,1,3930,0,2,1,0,0,0,0,0,
4/25/2022,1,3542,1,1,0,0,0,0,0,0,
4/25/2022,1,3365,1,2,0,0,0,0,0,0,
4/25/2022,1,3627,1,0,0,0,0,0,0,0,
4/25/2022,1,3611,1,1,0,0,0,0,0,0,
4/25/2022,1,3151,0,0,0,0,0,0,0,1,eaten bud
4/25/2022,1,3126,1,1,0,0,0,0,0,0,
4/25/2022,1,3763,1,0,0,0,0,0,0,0,
4/25/2022,1,3821,0,1,1,0,0,0,0,0,
4/25/2022,1,3599,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3814,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3935,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3347,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3432,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3779,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3192,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3782,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3506,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3608,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3645,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3412,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,7536,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3424,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3434,NA,NA,NA,NA,NA,NA,NA,NA,
4/25/2022,1,3879,NA,NA,NA,NA,NA,NA,NA,NA,
