year,plot,tag,umble.no,no.seeds,notes,
2022,1,7562,1,0,dead,
2022,1,3567,1,142,,
2022,1,3567,2,0,dead,
2022,1,3930,1,66,,
2022,1,3930,2,60,,
2022,1,3930,3,0,dead,
2022,1,3542,1,62,,
2022,1,3542,2,94,,
2022,1,3542,3,0,,
2022,1,3542,4,0,,
2022,1,3365,1,56,,
2022,1,3365,2,0,,
2022,1,3627,1,72,,
2022,1,3627,2,0,,
2022,1,3611,1,38,,
2022,1,3611,2,0,,
2022,1,3151,1,66,,
2022,1,3126,1,118,,
2022,1,3126,2,0,,
2022,1,3763,1,0,,
2022,1,3821,1,50,,
2022,1,3821,2,0,,
2022,1,3821,3,0,,
2022,1,3599,1,96,,
2022,1,3599,2,0,,
2022,1,3814,1,54,,
2022,1,3814,2,0,,
2022,1,3935,1,84,,
2022,1,3935,2,0,,
2022,1,3347,1,34,,
2022,1,3432,1,112,,
2022,1,3432,2,10,,
2022,1,3779,1,30,,
2022,1,3779,2,52,,
2022,1,3192,1,42,,
2022,1,3782,1,0,,
2022,1,3506,1,34,,
2022,1,3506,2,54,,
2022,1,3506,3,14,,
2022,1,3506,4,0,,
2022,1,3608,1,154,,
2022,1,3608,2,92,,
2022,1,3608,3,2,,
2022,1,3645,1,0,,
2022,1,3412,1,20,,
2022,1,7536,1,68,,
2022,1,3424,1,0,,
2022,1,3434,1,0,,
2022,1,3879,1,0,broke off,
2022,1,3741,1,62,,
2022,1,3741,2,88,,
2022,1,3741,3,62,,
2022,1,3410,1,66,,
2022,1,3525,1,70,,
2022,1,3543,1,50,,
2022,1,3583,1,82,,
2022,1,3845,1,14,,
2022,1,3610,1,54,umbles out of order (not youngest to oldest),
2022,1,3610,2,62,,
2022,1,3610,3,10,,
2022,1,3610,4,64,,
2022,1,3610,5,50,,
2022,1,3610,6,0,,
2022,2,3519,1,154,,
2022,2,3519,1,0,,
2022,2,3597,1,210,,
2022,2,3597,2,94,,
2022,2,3597,3,0,,
2022,2,3166,1,22,,
2022,2,3166,2,0,,
2022,2,3531,1,114,,
2022,2,3531,2,0,,
2022,2,3703,1,46,,
2022,2,3703,2,0,,
2022,2,3751,1,58,,
2022,2,3751,2,0,,
2022,2,3156,1,70,,
2022,2,3156,2,0,,
2022,2,3167,1,152,,
2022,2,3167,2,0,,
2022,2,3172,1,150,,
2022,2,3172,2,0,,
2022,2,3185,1,20,,
2022,2,3185,2,58,,
2022,2,3157,1,146,,
2022,2,3157,2,98,,
2022,2,3157,3,0,,
2022,2,3169,1,108,,
2022,2,3169,2,0,,
2022,2,3413,1,84,,
2022,2,3413,2,0,,
2022,2,3865,1,0,,
2022,2,3480,1,0,,
2022,2,3891,1,2,,
2022,2,3013,1,12,umble nibbled on,
2022,2,3550,1,46,,
2022,2,3550,2,18,,
2022,2,3164,1,2,,
2022,2,3175,1,0,,
2022,2,3155,1,4,,
2022,2,3352,1,8,,
2022,2,3352,2,0,,
2022,2,3159,1,0,,
2022,2,3159,2,0,,
2022,2,3477,1,34,,
