Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,,,
2023,1,3610,0,C,8,22,6,42,SOS,2016,,,,,,,
2023,1,3525,0,E,3,21,2,49,SOS,2017,,,,,,,
2023,1,7599,0,G,1,16,1,31,5,2022,,,,,,,
2023,1,3527,0,H,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,1,3542,0,I,4,14,4,29,SOS,2016,,,,,,,
2023,1,3599,0,I,3,15,2,36,SOS,2017,,,,,,,
2023,1,3814,0,J,3,15,2,23,SOS,2017,"In 2021, said tag was 3782, but found both tags this year! 3782 entered on new tags sheet, but is NOT new",,1,,,,
2023,1,3365,0,J,2,14,1,25,3,2021,,,,,,,
2023,1,3583,1,I,3,17,1,28,5,2017,,,,,,,
2023,1,3772,1,I,0,NA,NA,NA,NA,2021,NP. Tag pulled.,1,,,,,
2023,1,3506,2,E,5,14,4,38,SOS,2016,,,,,,,
2023,1,3543,2,F,3,15,2,47,SOS,2016,,,,,,,Notes for data entry:
2023,1,7533,2,F,2,17,1,30,7,2022,,,,,,,"yes tag, but no plant, then 0 for leaves, NA for the rest of the fields"
2023,1,3608,3,D,6,17,3,33,SOS,2016,,,,,,,"yes tag, vegetative, then record leaves & leaf length, 0 for umbels, NA for stalk height & umbel diameters"
2023,1,3860,3,D,2,18,1,35,9,2016,,,,,,,"no tag, no plant, then NA for all fields"
2023,1,3879,3,D,2,22,1,36,7,2016,,,,,,,
2023,1,3567,3,I,5,19,4,35,SOS,2016,,,,,,,
2023,1,3821,4,A,2,17,2,32,SOS,2017,not on pehnology sheet,,,,,,
2023,1,3728,4,D,2,16,1,30,4,2021,,,,,,,
2023,1,3629,4,I,3,15,1,26,4,2017,,,,,,,
2023,1,3935,4,I,4,22,2,34,SOS,2016,,,,,,,
2023,1,3410,4,J,6,14,3,34,SOS,2018,,,,,,,
2023,1,3554,5,I,NA,NA,NA,NA,NA,2016,"NPNT>2 years. Lots of rocks, lots of digging.",,,,,,
2023,1,3687,5,I,2,14,1,13,1,2016,,,,,,,
2023,1,3741,5,I,8,18.5,6,34,SOS,2021,,,,,,,
2023,1,3645,5,J,3,17,1,30,5,2016,,,,,,,
2023,1,3126,6,D,4,18.5,2,47,SOS,2021,,,,,,,
2023,1,3692,7,E,2,9.5,1,24,5,2016,,,,,,,
2023,1,3845,7,G,1,20,0,NA,NA,2016,,,,,,,
2023,1,3611,7,I,3,12,2,37,SOS,2016,,,,,,,
2023,1,3627,7,I,3,15,1,29,4,2016,,,,,,,
2023,1,7535,7,I,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,1,3744,8,A,2,20.5,1,24,3,2021,,,,,,,
2023,1,3930,8,G,3,18,2,49,SOS,2016,,,,,,,
2023,1,3151,8,H,3,18,3,37,SOS,2016,,,,,,,
2023,1,3537,8,J,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,1,3412,9,I,4,17,2,36,SOS,2018,,,,,,,
2023,1,3411,9,J,1,15.5,1,20,3,2018,,,,,,,
2023,1,3430,10,A,NA,NA,NA,NA,NA,2019,"For some reason we have 2 rows for 3430, but we pulled this tag in 2022 in plot 1. Need to go back and make them one plant (2020-now). There is another 3420 in plot 14 though. NPNT>2 years.",1,1,*******,,,
2023,1,3430,10,A,NA,NA,NA,NA,NA,2019,,1,1,*******,,,
2023,1,7562,10,F,1,17.5,1,29,4,2022,,,,,,,
2023,1,7536,10,J,1,11,1,27,5.5,2022,,,,,,,
2023,1,3192,11,B,5,20.5,2,44,SOS,2019,,,,,,,
2023,1,3763,12,A,5,16.5,3,41,SOS,2021,,,,,,,
2023,1,3424,12,G,7,20.5,4,54,SOS,2019,,,,,,,
2023,1,3194,12,H,3,16,2,34,SOS,2019,,,,,,,
2023,1,3779,14,B,0,NA,NA,NA,NA,2021,NP,,,,,,
2023,1,3723,15,D,1,11,0,NA,NA,2021,,,,,,,
2023,1,3347,15,I,0,NA,NA,NA,NA,2019,NP,,,,,,
2023,1,3902,15,J,2,7,1,29,8,2021,,,,,,,
2023,1,3195,16,B,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,1,3193,16,C,2,20,1,24.5,5,2019,,,,,,,
2023,1,7505,16,D,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,1,3198,16,H,0,NA,NA,NA,NA,2019,Accidentally pulled tag--no plant though.,1,1,,,,
2023,1,3437,16,J,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,1,3850,17,E,2,14,1,27.5,4,2021,,,,,,,
2023,1,3012,17,G,1,11.5,1,27,3,2021,,,,,,,
2023,1,3199,17,H,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,1,3415,17,J,1,15,0,NA,NA,2019,,,,,,,
2023,1,3418,18,B,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,1,3483,18,E,2,18,1,35,5,2019,,,,,,,
2023,1,3572,18,H,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,1,3432,19,A,4,15.5,2,28.5,SOS,2019,,,,,,,
2023,1,3434,19,F,2,19.5,1,40,8,2019,,,,,,,
2023,1,3200,19,I,1,15,0,NA,NA,2019,,,,,,,
2023,2,3501,0,J,1,23,0,NA,NA,2016,,,,,,,
2023,2,3891,0,J,1,14,1,30,6,2017,didn't track phenology,,,,,,
2023,2,3841,1,C,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3905,1,D,0,NA,NA,NA,NA,2021,NP,,,,,,
2023,2,3602,2,B,0,NA,NA,NA,NA,2021,NP,,,,,,
2023,2,3323,2,C,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3523,2,D,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
