year,plot,tag,coor,umble.no,no.seeds,notes
2023,1,3611,6I,1,58,
2023,1,3611,6I,2,0,
2023,1,3599,0J,1,94,
2023,1,3599,0J,2,0,
2023,1,3525,1G,1,82,
2023,1,3525,1G,2,6,
2023,1,3610,0D,1,84,
2023,1,3610,0D,2,86,
2023,1,3610,0D,3,108,
2023,1,3610,0D,4,40,
2023,1,3610,0D,5,0,
2023,1,3610,0D,6,0,
2023,1,3728,4E,1,0,
2023,1,3741,5J,1,96,
2023,1,3741,5J,2,102,
2023,1,3741,5J,3,56,
2023,1,3741,5J,4,54,
2023,1,3741,5J,5,0,
2023,1,3741,5J,6,0,
2023,1,3126,7E,1,96,
2023,1,3126,7E,2,0,
2023,1,3692,7E,1,0,
2023,1,7599,1F,1,42,
2023,1,3542,0I,1,20,
2023,1,3542,0I,2,0,
2023,1,3542,0I,3,0,
2023,1,3542,0I,4,0,
2023,1,3782,0I,1,0,
2023,1,3365,0I,1,0,
2023,1,3879,3C,1,42,
2023,1,3608,3C,1,62,
2023,1,3608,3C,2,54,
2023,1,3608,3C,3,0,
2023,1,3860,3C,1,36,
2023,1,7533,3E,1,30,
2023,1,3543,2F,1,90,
2023,1,3543,2F,2,0,
2023,1,3583,2I,1,4,
2023,1,3567,3I,1,70,
2023,1,3567,3I,2,52,
2023,1,3567,3I,3,0,
2023,1,3567,3I,4,0,
2023,1,3935,4H,1,78,
2023,1,3935,4H,2,0,
2023,1,3687,4I,1,0,
2023,1,3645,5I,1,12,
2023,1,3627,6I,1,0,
2023,1,3930,7H,1,140,
2023,1,3930,7H,2,0,
2023,1,3151,8H,1,82,
2023,1,3151,8H,2,38,
2023,1,3151,8H,3,0,
2023,1,3629,4I,1,34,
2023,1,3506,2B/E,1,30,
2023,1,3506,2B/E,2,24,
2023,1,3506,2B/E,3,18,
2023,1,3506,2B/E,4,14,
2023,1,3814,9J,1,0,
2023,1,3814,9J,2,0,
2023,1,3410,4J,1,68,
2023,1,3410,4J,2,8,
2023,1,3410,4J,3,12,
2023,1,3412,9J,1,38,
2023,1,3412,9J,2,32,
2023,1,3411,9J,1,0,
2023,1,3744,8B,1,0,
2023,2,3166,11B,1,116,
2023,2,3166,11B,2,66,
2023,2,3166,11B,3,0,
2023,2,3597,8I,1,0,
2023,2,3597,8I,2,2,
2023,2,3413,2E,1,0,
2023,2,3480,3G,1,56,
2023,2,3522,4E,1,10,
2023,2,3858,6B,1,0,
2023,2,3550,9J,1,36,
2023,2,3550,9J,2,22,
2023,2,3751,8A,1,0,
2023,2,3502,7C,1,0,
2023,2,3156,11E,1,10,
2023,2,3156,11E,2,0,
2023,2,3163,11E,1,0,
2023,2,3164,14B,1,0,
2023,2,3175,15A,1,6,
2023,2,3175,15A,2,0,
2023,2,3155,16A,1,52,
2023,2,3155,16A,2,8,
2023,2,3172,17A,1,0,
2023,2,3172,17A,2,0,
2023,2,3188,19B,1,26,
2023,2,3185,18C,1,0,
2023,2,3185,18C,2,0,
2023,2,3186,18D,1,36,
2023,2,3159,13I,1,88,
2023,2,3159,13I,2,28,
2023,2,3159,13I,3,42,
2023,2,3159,13I,4,62,
2023,2,3159,13I,5,0,
2023,2,3159,13I,6,0,
2023,2,3169,13J,1,2,
2023,2,3168,14J,1,38,
2023,2,3168,14J,2,0,
2023,2,3562,19I,1,0,
2023,2,3352,19I,1,0,
2023,2,3157,19F,1,0,
2023,2,7560,18J,1,28,
2023,2,3531,9A,1,0,
2023,2,3703,7C,1,6,
2023,3,3462,2A,1,0,
2023,3,3462,2A,2,0,
2023,3,7548,9H,1,120,
2023,3,7548,9H,2,92,
2023,3,7548,9H,3,0,
2023,3,3759,15A,1,0,
2023,3,3759,15A,2,80,
2023,3,3759,15A,3,0,
2023,3,3015,0F,1,38,
2023,3,3015,0F,2,96,
2023,3,3015,0F,3,0,
2023,3,3349,1F,1,102,
2023,3,3349,1F,2,130,
2023,3,3349,1F,3,58,
2023,3,3056,1B,1,0,
2023,3,3919,1B,1,32,
2023,3,3906,1C,1,0,
2023,3,3651,3A,1,14,
2023,3,3831,3C,1,0,
2023,3,3831,3C,2,0,
2023,3,3304,4C,1,78,
2023,3,7573,3B,1,30,
2023,3,7573,3B,2,50,
2023,3,3797,4I,1,68,
2023,3,3797,4I,2,0,
2023,3,3846,7E,1,106,
2023,3,3846,7E,2,22,
2023,3,3796,6E,1,0,
2023,3,7670,7I,1,104,
2023,3,7552,15D,1,0,
2023,3,7552,15D,2,0,
2023,3,7552,15D,3,0,
2023,3,7684,15A,1,0,
2023,3,7684,15A,2,0,
2023,3,3081,1A,1,0,
2023,3,3624,0D,1,32,
2023,3,3313,4A,1,0,
2023,3,3799,3C,1,106,
2023,3,7539,17B,1,0,
2023,3,7565,18E,1,34,
2023,4,7696,0A,1,84,
2023,4,7696,0A,2,28,
2023,4,7696,0A,3,0,
2023,4,7696,0A,4,0,
2023,4,1411,8H,1,212,
2023,4,1411,8H,2,250,
2023,4,1411,8H,3,0,
2023,4,3596,2H,1,126,
2023,4,3596,2H,2,2,
2023,4,2230,10J,1,10,
2023,4,2230,10J,2,12,
2023,4,2230,10J,3,0,
2023,4,7550,0H,1,90,
2023,4,7550,0H,2,0,
2023,4,3364,3J,1,68,
2023,4,3364,3J,2,84,
2023,4,3364,3J,3,42,
2023,4,3364,3J,4,4,
2023,4,3364,3J,5,0,
2023,4,3730,0J,1,14,
2023,4,7591,9J,1,50,
2023,4,7591,9J,2,0,
2023,4,3122,8J,1,30,
2023,4,3122,8J,2,90,
2023,4,3122,8J,3,42,
2023,4,3122,8J,4,0,
2023,4,3787,3I,1,14,
2023,4,3786,8H,1,16,
2023,4,3656,0C,1,52,
2023,5,3152,0H,1,14,
2023,5,3152,0H,2,0,
2023,5,7570,1H,1,0,
2023,5,3987,3G,1,17,
2023,5,3987,3G,2,0,
2023,5,3560,3B,1,6,
2023,5,3560,3B,2,0,
2023,5,3560,3B,3,0,
2023,5,3560,3B,4,0,
2023,5,3560,3B,5,0,
2023,5,3199,4A,1,92,
2023,5,3199,4A,2,0,
2023,5,3199,4A,3,22,
2023,5,3199,4A,4,0,
2023,5,3788,0G,1,0,
2023,5,3788,0G,2,0,
2023,5,3499,1H,1,2,
2023,5,3499,1H,2,0,
2023,5,3468,0I,1,8,
2023,5,3468,0I,2,0,
2023,5,3125,2I,1,42,
2023,5,3125,2I,2,0,
2023,5,3877,3J,1,0,
2023,5,3200,4E,1,0,
2023,5,3200,4E,2,60,
2023,5,5021,5E,1,0,
2023,5,5021,5E,2,0,
2023,5,3484,5I,1,0,
2023,5,3708,6G,1,0,
2023,5,7597,6G,1,0,
2023,5,3714,7I,1,40,
2023,5,3714,7I,2,0,
2023,5,3465,3B,1,2,
2023,5,3465,3B,2,0,
2023,5,3196,5C,1,38,
2023,5,3196,5C,2,22,
2023,5,3196,5C,3,0,
2023,5,3196,5C,4,0,
2023,5,3941,8C,1,54,
2023,5,3941,8C,2,22,
2023,5,3941,8C,3,28,
2023,5,3941,8C,4,0,
2023,5,3941,8C,5,0,
2023,5,3941,8C,6,0,
2023,5,3941,8C,7,0,
2023,5,3941,8C,8,0,
2023,5,5022,9F,1,0,
2023,5,3644,9H,1,94,
2023,5,3644,9H,2,46,
2023,5,3644,9H,3,0,
2023,5,3644,9H,4,0,
2023,5,3195,1A,1,0,
2023,5,3195,1A,2,0,
2023,5,3195,1A,3,0,
2023,5,3193,3B,1,0,
2023,5,7564,3B,1,0,
2023,5,3197,3A,1,80,
2023,5,3197,3A,2,0,
2023,5,3197,3A,3,22,
2023,5,3197,3A,4,0,
2023,5,3466,4B,1,0,
2023,5,3148,3D,1,0,
2023,5,3148,3D,2,0,
2023,5,3820,4D,1,10,
2023,5,3820,4D,2,0,
2023,5,5026,3D,1,0,
2023,5,5026,3D,2,0,
2023,5,7522,3E,1,18,
2023,5,7522,3E,2,38,
2023,5,7553,4E,1,26,
2023,5,3191,6E,1,26,
2023,5,3810,9C,1,14,
2023,5,3810,9C,2,2,
2023,5,3810,9C,3,0,
2023,5,3810,9C,4,0,
2023,5,7596,4G,1,0,
2023,5,3161,2G,1,22,
2023,5,3161,2G,2,0,
2023,5,7512,2G,1,0,
2023,5,3108,1I,1,36,
2023,5,3108,1I,2,14,
2023,5,3338,3I,1,22,
2023,5,3338,3I,2,0,
2023,5,7524,6H,1,0,
2023,5,3546,9G,1,34,
2023,5,3120,8G,1,0,
2023,5,3120,8G,2,0,
2023,5,5017,6H,1,0,
2023,5,7542,8D,1,0,
2023,5,7512,3D,1,0,tag on sheet says 7519 - data entry error?
2023,5,5027,1H,1,0,
2023,6,3374,18H,1,6,
2023,6,3179,4D,1,74,
2023,6,3179,4D,2,0,
2023,6,3179,4D,3,0,
2023,6,3400,7E,1,0,
2023,6,3400,7E,2,8,
2023,6,3070,4G,1,26,
2023,6,3070,4G,2,0,
2023,6,3070,4G,3,0,
2023,6,3070,4G,4,0,
2023,6,3008,4J,1,32,
2023,6,3008,4J,2,0,
2023,6,7587,13A,1,0,
2023,6,7587,13A,2,0,
2023,6,3753,11B,1,0,
2023,6,3753,11B,2,0,
2023,6,3358,11D,1,28,
2023,6,3358,11D,2,12,
2023,6,3358,11D,3,4,
2023,6,3358,11D,4,0,
2023,6,3345,12D,1,36,
2023,6,3345,12D,2,60,
2023,6,3345,12D,3,0,
2023,6,3345,12D,4,0,
2023,6,3360,12C,1,0,
2023,6,3489,12C,1,16,
2023,6,3489,12C,2,0,
2023,6,3136,16C,1,0,
2023,6,3136,16C,2,62,
2023,6,3136,16C,3,0,
2023,6,3669,13F,1,56,
2023,6,3669,13F,2,0,
2023,6,3141,13E,1,0,
2023,6,3141,13E,2,0,
2023,6,3141,13E,3,0,
2023,6,3887,15E,1,74,
2023,6,3887,15E,2,64,
2023,6,3887,15E,3,0,
2023,6,3466,19C,1,72,
2023,6,3466,19C,2,0,
2023,6,3466,19C,3,0,
2023,6,3777,14G,1,14,
2023,6,3142,19D,1,0,
2023,6,3142,19D,2,0,
2023,6,3005,18F,1,0,
2023,6,3570,18F,1,8,
2023,6,3570,18F,2,0,
2023,6,3173,8G,1,0,
2023,6,3729,19F,1,104,
2023,6,3729,19F,2,0,
2023,6,3955,18H,1,0,
2023,6,3643,18I,1,0,
2023,6,3630,16I,1,0,
2023,6,3630,16I,2,0,
2023,6,3648,15F,1,0,
2023,6,3648,15F,2,0,
2023,6,3372,14F,1,0,
2023,6,3372,14F,2,0,
2023,6,3725,15H,1,0,
2023,6,3725,15H,2,0,
2023,6,3140,18F,1,32,
2023,6,3140,18F,2,28,
2023,6,3140,18F,3,0,
2023,6,3140,18F,4,0,
2023,6,3319,11A,1,0,
2023,6,3743,18B,1,0,
2023,6,3767,18G,1,0,
2023,6,3518,16J,1,60,found in 10I; [not captured by datasheet-making script because cf]
2023,6,3518,16J,2,42,found in 10I; [not captured by datasheet-making script because cf]
2023,6,3518,16J,3,0,found in 10I; [not captured by datasheet-making script because cf]
2023,6,5570,18H,1,0,
2023,6,3785,15H,1,0,
2023,6,3454,15I,1,0,[was cf on 4 jun]
2023,6,3454,15I,2,0,[was cf on 4 jun]
2023,7,5032,15B,1,0,
2023,7,5032,15B,2,0,
2023,7,5032,15B,3,0,
2023,7,3452,1D,1,16,
2023,7,3452,1D,2,118,
2023,7,3452,1D,3,0,
2023,7,5849,1E,1,0,
2023,7,5849,1E,2,0,
2023,7,3450,4G,1,142,
2023,7,3450,4G,2,14,half-eaten
2023,7,3450,4G,3,0,
2023,7,3446,15B,1,80,
2023,7,3446,15B,2,8,
2023,7,3446,15B,3,0,
2023,7,3446,15B,4,0,
2023,7,3446,15B,5,0,
2023,7,3981,0C,1,0,
2023,7,7579,5C,1,94,
2023,7,3044,7C,1,112,
2023,7,3044,7C,2,0,
2023,7,3874,8B,1,78,
2023,7,3874,8B,2,0,
2023,7,5047,9C,1,30,
2023,7,5047,9C,2,4,
2023,7,3100,9B,1,2,
2023,7,3401,4F,1,2,
2023,7,7544,6G,1,36,
2023,7,3368,6G,1,0,
2023,7,5052,2I,1,16,
2023,7,5052,2I,2,0,
2023,7,3636,3I,1,0,[was gone on 24 may and 4 jun]
2023,7,5053,3J,1,36,
2023,7,5053,3J,2,0,
2023,7,3994,8I,1,4,
2023,7,3994,8I,2,58,
2023,7,3994,8I,3,0,
2023,7,3069,1B,1,0,[was gone on 4 jun]
2023,7,3375,3B,1,0,[was gone on 4 jun]
2023,7,3375,3B,2,0,[was gone on 4 jun]
2023,7,3089,5H,1,0,
2023,7,3089,5H,2,0,
2023,10,3655,6B,1,190,
2023,10,3655,6B,2,54,
2023,10,3655,6B,3,0,
2023,10,3929,8D,1,84,
2023,10,3929,8D,2,6,
2023,10,7698,9D,1,152,
2023,10,7698,9D,2,8,
2023,10,3353,5D,1,128,
2023,10,3353,5D,2,140,
2023,10,3353,5D,3,16,
2023,10,3353,5D,4,0,
2023,10,3547,5D,1,6,
2023,10,3190,1A,1,132,
2023,10,3190,1A,2,138,
2023,10,3378,7C,1,146,
2023,10,3378,7C,2,94,
2023,10,3378,7C,3,4,
2023,12,3578,17A,1,80,
2023,12,3578,17A,2,72,
2023,12,3578,17A,3,54,
2023,12,3578,17A,4,0,
2023,12,3422,15I,1,78,
2023,12,3422,15I,2,0,
2023,12,3448,5E,1,132,
2023,12,3448,5E,2,8,
2023,12,3135,6F,1,88,
2023,12,3424,7G,1,94,
2023,12,3424,7G,2,0,
2023,12,3445,10B,1,0,
2023,12,7578,11B,1,2,
2023,12,7578,11B,2,62,
2023,12,7578,11B,3,76,
2023,12,7578,11B,4,20,
2023,12,3449,14B,1,86,
2023,12,3449,14B,2,46,
2023,12,3449,14B,3,0,
2023,12,3147,17B,1,30,
2023,12,3147,17B,2,64,
2023,12,3536,19A,1,144,
2023,12,3536,19A,2,148,
2023,12,3536,19A,3,80,
2023,12,3536,19A,4,2,
