Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,notes,tag.pulled
2024,1,3610,0,C,15,23.5,8,51,6.5; 2; 6.5; 4; 3.5; 3; 4; 5,only first two umbels in phen,
2024,1,3525,0,E,3,22,1,44,5.5,ysp in phen,
2024,1,7599,0,G,1,20.5,0,,,,
2024,1,3542,0,I,2,14,1,24.5,2.5,found plant already pulled,
2024,1,3599,0,I,3,14,2,45,2; 5,accidentally pulled first umbel,
2024,1,3814,0,J,4,14,2,3.5,5.5; 3.5,recorded as 3782 in phen,
2024,1,3365,0,J,0,,,,,NP,
2024,1,3782,0,J,1,20,0,,,,
2024,1,3583,1,I,3,17.5,2,45.5,3.5; 1.5,second umbel bud,
2024,1,3506,2,E,6,18.5,5,33.5,3.5; 0.5; 3.5; 1.5; 1,last two umbels are buds,
2024,1,3543,2,F,2,25.5,0,,,,
2024,1,7533,2,F,2,16,0,,,,
2024,1,3608,3,D,0,,,,,NP,
2024,1,3860,3,D,0,,,,,NPNT,
2024,1,3879,3,D,8,17.5,3,26,3.5; 2; 2,,
2024,1,3567,3,I,2,8.5,2,37,3; 2.5,,
2024,1,3821,4,A,3,17.5,2,27,1.5; 4.5,not in phen because on boundary,
2024,1,3728,4,D,3,16,1,34,4.5,,
2024,1,7534,4,F,1,9,0,,,accidentally pulled leaf,
2024,1,3629,4,I,2,15,1,23,2.5,,
2024,1,3935,4,I,1,,1,27,3,found pulled without leaf,
2024,1,3410,4,J,2,15.5,1,26,5,,
2024,1,7517,5,F,2,7,0,,,,
2024,1,7583,5,F,1,10,0,,,,
2024,1,7567,5,F,0,,,,,NP,
2024,1,3554,5,I,0,,,,,NPNT,
2024,1,3687,5,I,2,13,1,14,,,
2024,1,3741,5,I,5,16,5,31.5,4; 1.5; 4; 4.5; 3,,
2024,1,3645,5,J,2,25,1,29.5,6,longest leaf gone (measured shorter leaf),
2024,1,3698,5,J,0,,,,,NPNT,
2024,1,3126,6,D,1,20.5,0,,,,
2024,1,3692,7,E,1,13,1,19,3.5,,
2024,1,3845,7,G,0,,,,,NP; moss,
2024,1,3611,7,I,2,11,1,36,3.5,,
2024,1,3627,7,I,0,,,,,NP; in phen but can't find,
2024,1,7535,7,I,0,,,,,NP; tag pulled,TRUE
2024,1,3744,8,A,0,,,,,NP,
2024,1,3930,8,G,1,20.5,0,,,,
2024,1,3151,8,H,2,11,1,19.5,2.5,,
2024,1,7515,9,B,0,,,,,NP,
2024,1,3412,9,I,2,22.5,0,,,moss,
2024,1,3411,9,J,2,8.5,1,31,4.5,accidentally pulled when measuring; 22 fruits,
2024,1,7562,10,F,3,11.5,1,22.5,2,,
2024,1,7536,10,J,2,12.5,1,36.5,3.5,,
2024,1,3192,11,B,3,15,2,42,5; 2.5,,
2024,1,3763,12,A,6,17,4,42,4.5; 3; 2; 2.5,,
2024,1,3424,12,G,3,37,0,,,yes length is actually 37!,
2024,1,3194,12,H,0,,,,,NP,
2024,1,3779,14,B,0,,,,,NP; tag pulled,TRUE
2024,1,3723,15,D,1,13,0,,,,
2024,1,3347,15,I,0,,,,,NP; tag pulled,TRUE
2024,1,3902,15,J,1,20.5,0,,,accidentally pulled when measuring,
2024,1,3193,16,C,1,19,1,31,3,,
2024,1,7505,16,D,0,,,,,NP; tag pulled,TRUE
2024,1,3850,17,E,0,,,,,NP,
2024,1,3012,17,G,1,9,1,23.5,2,,
2024,1,3415,17,J,0,,,,,NP,
2024,1,3483,18,E,0,,,,,NP,
2024,1,3432,19,A,1,16,1,33,5,,
2024,1,3434,19,F,0,,,,,NP,
2024,1,3200,19,I,0,,,,,NP,
2024,2,3501,0,J,0,,,,,NP,
2024,2,3891,0,J,1,17.5,1,30,5,,
2024,2,7568,1,C,0,,,,,NP,
2024,2,3905,1,D,0,,,,,NPNT; moss,
2024,2,3602,2,B,1,7.5,0,,,senescing,
2024,2,3413,2,E,1,11.5,1,13,2.5,,
2024,2,3480,3,G,0,,,,,in phen but disappeared last week,
2024,2,3013,3,I,2,12.5,1,30.5,4,,
2024,2,3522,4,E,0,,,,,NP; surrounded by detached dead leaves,
2024,2,3749,6,B,0,,,,,NP; tag pulled,TRUE
2024,2,3858,6,B,1,11,1,27.5,1.5,accidentally pulled when measuring,
2024,2,3477,6,C,2,15,1,29,3,,
2024,2,3549,7,A,0,,,,,NP,
2024,2,3861,7,A,1,10,0,,,wilting,
2024,2,7563,7,A,1,10.5,0,,,,
2024,2,3703,7,C,1,15,0,,,,
2024,2,3539,7,D,0,,,,,NP,
2024,2,3597,7,H,1,18,1,18,2,measured umbel is dead and shriveled,
2024,2,3185,7,I,0,,,,,NP,
2024,2,3751,8,A,2,11,2,34,4; 2.5,,
2024,2,3502,8,B,1,11.5,1,32.5,4,,
2024,2,3908,8,B,0,,,,,NP,
2024,2,3531,9,B,1,14.5,1,22.5,2.5,,
2024,2,3865,9,F,0,,,,,NP; tag pulled,TRUE
2024,2,3519,9,G,0,,,,,NP,
2024,2,3550,9,I,1,8.5,1,17.5,2,,
2024,2,3965,11,A,0,,,,,NP,
2024,2,3163,11,D,0,,,,,NP,
2024,2,3156,11,E,1,11.5,0,,,accidentally pulled when measured,
2024,2,3588,11,F,0,,,,,NP,
2024,2,3162,11,I,0,,,,,NPNT,
2024,2,3166,12,B,1,14.5,0,,,more in 12D,
2024,2,3169,12,J,1,10,0,,,,
2024,2,3159,13,H,3,12,1,32,6,,
2024,2,3168,13,J,1,14,1,18.5,2,,
2024,2,3164,14,B,0,,,,,NP,
2024,2,3173,14,B,0,,,,,NPNT,
2024,2,3053,14,B,0,,,,,NP,
2024,2,7569,14,I,0,,,,,NP,
2024,2,3175,15,A,0,,,,,NP,
2024,2,3167,15,B,0,,,,,pulled red toothpick here,
2024,2,3155,16,A,2,18.5,1,25,2.5,,
2024,2,3172,17,A,0,,,,,NP,
2024,2,7560,17,J,0,,,,,NP,
2024,2,3190,18,C,0,,,,,NP; pulled tag,TRUE
2024,2,3795,18,C,0,,,,,NP,
2024,2,3186,18,D,0,,,,,NP,
2024,2,3157,18,E,0,,,,,NPNT,
2024,2,3185,19,B,0,,,,,NP,
2024,2,3188,19,B,0,,,,,NP; in phen but gone now,
2024,2,3189,19,C,0,,,,,NP,
2024,2,3352,19,H,0,,,,,NP,
2024,2,3562,19,I,1,12,0,,,,
2024,3,3056,0,B,2,15.5,1,34,4,,
2024,3,3919,0,B,3,19,1,30.5,2,,
2024,3,3624,0,D,2,23,0,,,,
2024,3,3015,0,F,4,24,2,41.5,6; 2,,
2024,3,3081,1,B,1,26,0,,,,
2024,3,7689,1,B,1,18,0,,,,
2024,3,7523,1,B,0,,,,,NP,
2024,3,3906,1,C,0,,,,,NP,
2024,3,3349,1,F,6,18,3,35,5; 4; 4,,
2024,3,3019,2,A,0,,,,,NPNT,
2024,3,3462,2,A,1,24.5,1,24.5,4,,
2024,3,7687,2,A,1,21,0,,,,
2024,3,3036,2,B,0,,,,,NPNT,
2024,3,3633,2,B,1,25,0,,,,
2024,3,3568,2,C,0,,,,,NP; not in Dactylis,
2024,3,3799,2,D,2,20,1,36.5,4.5,,
