survey.date,plot,coor,tag,no.buds,no.flowers,no.flp,no.seeding,no.dead,notes
4/12/24,1,4I,3741,2,0,0,0,0,
4/19/24,1,4I,3741,2,0,0,0,0,
4/26/24,1,4I,3741,1,2,0,0,0,
5/1/24,1,4I,3741,3,1,1,0,0,
5/8/24,1,4I,3741,3,1,1,0,0,
5/17/24,1,4I,3741,0,1,2,2,0,
4/12/24,1,6I,3627,1,0,0,0,0,
4/19/24,1,6I,3627,1,0,0,0,0,
4/26/24,1,6I,3627,0,1,0,0,0,
5/1/24,1,6I,3627,0,0,1,0,0,
5/8/24,1,6I,3627,0,0,0,1,0,
5/17/24,1,6I,3627,0,0,0,0,1,
4/19/24,1,11A,3763,1,0,0,0,0,
4/26/24,1,11A,3763,1,0,0,0,0,
5/1/24,1,11A,3763,0,1,0,0,0,
5/8/24,1,11A,3763,2,1,0,0,0,
5/17/24,1,11A,3763,0,2,0,1,0,
4/19/24,1,10B,3192,1,0,0,0,0,
4/26/24,1,10B,3192,1,0,0,0,0,
5/1/24,1,10B,3192,1,1,0,0,0,
5/8/24,1,10B,3192,1,0,1,0,0,
5/17/24,1,10B,3192,0,0,1,1,0,
4/19/24,1,0B,3610,1,0,0,0,0,
4/26/24,1,0B,3610,1,0,0,0,0,
5/1/24,1,0B,3610,1,1,0,0,0,
5/8/24,1,0B,3610,1,1,1,0,0,
5/17/24,1,0B,3610,0,1,0,1,0,
4/19/24,1,2J,3567,1,0,0,0,0,
4/26/24,1,2J,3567,0,1,0,0,0,
5/1/24,1,2J,3567,0,1,0,0,0,
5/8/24,1,2J,3567,1,0,1,0,0,
5/17/24,1,2J,3567,0,1,0,1,0,
4/19/24,1,0J,3782,1,0,0,0,0,
4/26/24,1,0J,3782,1,0,0,0,0,
5/1/24,1,0J,3782,0,1,0,0,0,
5/8/24,1,0J,3782,1,0,1,0,0,
5/17/24,1,0J,3782,0,0,0,2,0,
4/19/24,1,4J,3645,1,0,0,0,0,
4/26/24,1,4J,3645,1,0,0,0,0,
5/1/24,1,4J,3645,1,0,0,0,0,
5/8/24,1,4J,3645,0,0,1,0,0,
5/17/24,1,4J,3645,0,0,0,1,0,
4/12/24,1,6J,3611,1,0,0,0,0,
4/19/24,1,6J,3611,0,1,0,0,0,
4/26/24,1,6J,3611,1,1,0,0,0,
5/1/24,1,6J,3611,1,0,1,0,0,
5/8/24,1,6J,3611,1,0,0,1,0,
5/17/24,1,6J,3611,0,0,1,1,0,
4/19/24,1,10F,7562,1,0,0,0,0,
4/26/24,1,10F,7562,1,0,0,0,0,
5/1/24,1,10F,7562,0,1,0,0,0,
5/8/24,1,10F,7562,0,0,1,0,0,
5/17/24,1,10F,7562,0,0,0,1,0,
4/26/24,1,18A,3432,2,0,0,0,0,
5/1/24,1,18A,3432,2,0,0,0,0,
5/8/24,1,18A,3432,1,1,0,0,0,
5/17/24,1,18A,3432,0,0,2,0,0,
4/26/24,1,16C,3193,1,0,0,0,0,
5/1/24,1,16C,3193,1,0,0,0,0,
5/8/24,1,16C,3193,0,1,0,0,0,
5/17/24,1,16C,3193,0,0,1,0,0,
4/26/24,1,17G,3012,1,0,0,0,0,
5/1/24,1,17G,3012,1,0,0,0,0,
5/8/24,1,17G,3012,0,1,0,0,0,
5/17/24,1,17G,3012,0,0,1,0,0,
4/26/24,1,10J,7536,1,0,0,0,0,
5/1/24,1,10J,7536,1,0,0,0,0,
5/8/24,1,10J,7536,0,1,0,0,0,
5/17/24,1,10J,7536,0,1,0,0,0,
4/26/24,1,2E,3506,1,0,0,0,0,
5/1/24,1,2E,3506,2,0,0,0,0,
5/8/24,1,2E,3506,2,0,0,0,0,
5/17/24,1,2E,3506,1,0,2,0,0,
5/24/24,1,2E,3506,2,0,0,2,0,
4/26/24,1,3D,3728,1,0,0,0,0,
5/1/24,1,3D,3728,1,0,0,0,0,
5/8/24,1,3D,3728,0,1,0,0,0,
5/17/24,1,3D,3728,0,0,0,1,0,
4/26/24,1,0J,3542,1,0,0,0,0,
5/1/24,1,0J,3542,1,0,0,0,0,
5/8/24,1,0J,3542,1,1,0,0,0,
5/17/24,1,0J,3542,0,1,0,1,0,
4/26/24,1,4I,3935,1,0,0,0,0,
5/1/24,1,4I,3935,1,0,0,0,0,
5/8/24,1,4I,3935,0,0,1,0,0,
5/17/24,1,4I,3935,0,0,0,1,0,
4/26/24,1,2J,3583,1,0,0,0,0,
5/1/24,1,2J,3583,1,0,0,0,0,
5/8/24,1,2J,3583,1,1,0,0,0,
5/17/24,1,2J,3583,0,1,0,1,0,
5/1/24,1,2C,3879,1,0,0,0,0,
5/8/24,1,2C,3879,3,0,0,0,0,
5/17/24,1,2C,3879,0,0,2,1,0,
5/1/24,1,7D,3692,1,0,0,0,0,
5/8/24,1,7D,3692,0,1,0,0,0,
5/17/24,1,7D,3692,0,0,0,1,0,
5/1/24,1,6J,7617,1,0,0,0,0,
5/8/24,1,6J,7617,1,0,0,0,0,
5/17/24,1,6J,7617,0,0,1,0,0,
5/8/24,1,0E,3525,1,0,0,0,0,
5/17/24,1,0E,3525,0,0,1,0,0,
5/8/24,1,4I,3629,1,0,0,0,0,
5/17/24,1,4I,3629,0,0,1,0,0,
4/26/24,1,4I,3410,1,0,0,0,0,
5/1/24,1,4I,3410,1,0,0,0,0,
5/8/24,1,4I,3410,0,1,0,0,0,
5/17/24,1,4I,3410,0,0,1,0,0,
5/8/24,1,7G,3151,1,0,0,0,0,
5/17/24,1,7G,3151,0,0,1,0,0,
5/8/24,1,9J,3411,1,0,0,0,0,
5/17/24,1,9J,3411,0,0,0,1,0,
4/12/24,2,19C,3188,1,0,0,0,0,
4/19/24,2,19C,3188,1,0,0,0,0,
4/26/24,2,19C,3188,0,1,0,0,0,
5/1/24,2,19C,3188,0,0,1,0,0,
5/8/24,2,19C,3188,1,0,0,1,0,
5/17/24,2,19C,3188,0,0,0,2,0,
4/12/24,2,14I,3159,1,0,0,0,0,
4/19/24,2,14I,3159,1,0,0,0,0,
4/26/24,2,14I,3159,0,1,0,0,0,
5/1/24,2,14I,3159,0,0,1,0,0,
5/8/24,2,14I,3159,1,0,0,1,0,
5/17/24,2,14I,3159,0,0,1,1,0,
4/19/24,2,0J,3891,1,0,0,0,0,
4/26/24,2,0J,3891,1,0,0,0,0,
5/1/24,2,0J,3891,1,0,0,0,0,
5/8/24,2,0J,3891,0,1,0,0,0,
5/17/24,2,0J,3891,0,0,0,1,0,
4/19/24,2,1E,3413,1,0,0,0,0,
4/26/24,2,1E,3413,1,0,0,0,0,
5/1/24,2,1E,3413,0,1,0,0,0,
5/8/24,2,1E,3413,0,1,0,0,0,
5/17/24,2,1E,3413,0,0,0,1,0,
4/19/24,2,4G,3480,1,0,0,0,0,
4/26/24,2,4G,3480,0,0,1,0,0,
5/1/24,2,4G,3480,0,0,1,0,0,
5/8/24,2,4G,3480,0,0,0,1,0,
5/17/24,2,4G,3480,0,0,0,0,0,NP
4/19/24,2,8A,3751,1,0,0,0,0,
4/26/24,2,8A,3751,1,0,0,0,0,
5/1/24,2,8A,3751,0,1,0,0,0,
5/8/24,2,8A,3751,0,1,0,0,0,
5/17/24,2,8A,3751,0,0,0,1,0,
4/19/24,2,14J,3168,1,0,0,0,0,
4/26/24,2,14J,3168,1,0,0,0,0,
5/1/24,2,14J,3168,1,1,0,0,0,
5/8/24,2,14J,3168,0,1,0,0,0,
5/17/24,2,14J,3168,0,0,0,1,0,
4/26/24,2,3I,3013,1,0,0,0,0,
5/1/24,2,3I,3013,1,0,0,0,0,
5/8/24,2,3I,3013,0,1,0,0,0,
5/17/24,2,3I,3013,0,0,0,1,0,
4/26/24,2,9B,3531,1,0,0,0,0,
5/1/24,2,9B,3531,1,0,0,0,0,
5/8/24,2,9B,3531,0,1,0,0,0,
5/17/24,2,9B,3531,0,0,1,0,0,
4/26/24,2,8H,3597,1,0,0,0,0,
5/1/24,2,8H,3597,1,0,0,0,0,
5/8/24,2,8H,3597,0,1,0,0,0,
5/17/24,2,8H,3597,0,0,1,0,0,
4/26/24,2,8B,3502,1,0,0,0,0,
5/1/24,2,8B,3502,1,0,0,0,0,
5/8/24,2,8B,3502,1,0,0,0,0,
5/17/24,2,8B,3502,0,0,1,0,0,
4/26/24,2,12A,7624,1,0,0,0,0,
5/1/24,2,12A,7624,1,0,0,0,0,
5/8/24,2,12A,7624,0,1,0,0,0,
5/17/24,2,12A,7624,0,0,0,1,0,
4/26/24,2,14B,3053,1,0,0,0,0,
5/1/24,2,14B,3053,1,0,0,0,0,
5/8/24,2,14B,3053,0,1,0,0,0,
5/17/24,2,14B,3053,0,0,0,1,0,
4/26/24,2,15A,3175,1,0,0,0,0,
5/1/24,2,15A,3175,0,1,0,0,0,
5/8/24,2,15A,3175,0,0,1,0,0,
5/17/24,2,15A,3175,0,0,0,0,0,"datasheet says ""0F"""
5/1/24,2,6A,3858,1,0,0,0,0,
5/8/24,2,6A,3858,1,0,0,0,0,
5/17/24,2,6A,3858,0,0,1,0,0,
5/8/24,2,5C,3477,1,0,0,0,0,
5/17/24,2,5C,3477,0,0,1,0,0,
5/8/24,2,9I,3550,1,0,0,0,0,
5/17/24,2,9I,3550,0,0,1,0,0,
5/8/24,2,16A,3155,1,0,0,0,0,
5/17/24,2,16A,3155,0,0,1,0,0,
4/3/24,3,16B,3759,1,0,0,0,0,
4/12/24,3,16B,3759,0,1,0,0,0,
4/19/24,3,16B,3759,2,1,0,0,0,
4/26/24,3,16B,3759,2,0,1,0,0,
5/1/24,3,16B,3759,1,0,1,1,0,
5/8/24,3,16B,3759,0,0,2,1,0,
