"plantid","Plot","trt","Year","surv","obs.alive","No.leaves","Leaf.length","No.umbels","edited","proc.note","demo.note"
"3012_1_17G",1,"irrigated",2021,TRUE,TRUE,1,10,0,FALSE,,""
"3012_1_17G",1,"irrigated",2022,TRUE,TRUE,1,20,0,FALSE,,""
"3012_1_17G",1,"irrigated",2023,TRUE,TRUE,1,11.5,1,FALSE,,""
"3012_1_17G",1,"irrigated",2024,TRUE,TRUE,1,9,1,FALSE,"",""
"3046_1_8B",1,"irrigated",2017,TRUE,TRUE,1,11,0,FALSE,,""
"3046_1_8B",1,"irrigated",2018,TRUE,TRUE,2,9,0,FALSE,,""
"3046_1_8B",1,"irrigated",2019,TRUE,TRUE,2,14,0,FALSE,,""
"3046_1_8B",1,"irrigated",2020,FALSE,FALSE,,,,FALSE,,"no plant"
"3046_1_8B",1,"irrigated",2021,FALSE,FALSE,0,,,FALSE,,"NP"
"3046_1_8B",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled"
"3126_1_6D",1,"irrigated",2021,TRUE,TRUE,2,18,0,FALSE,,""
"3126_1_6D",1,"irrigated",2022,TRUE,TRUE,3,17.5,2,FALSE,,""
"3126_1_6D",1,"irrigated",2023,TRUE,TRUE,4,18.5,2,FALSE,,""
"3126_1_6D",1,"irrigated",2024,TRUE,TRUE,1,20.5,0,FALSE,"",""
"3151_1_8H",1,"irrigated",2016,TRUE,TRUE,4,11.5,1,FALSE,,""
"3151_1_8H",1,"irrigated",2017,TRUE,TRUE,1,8.5,1,FALSE,,""
"3151_1_8H",1,"irrigated",2018,TRUE,TRUE,3,12,1,FALSE,,""
"3151_1_8H",1,"irrigated",2019,TRUE,TRUE,2,7,1,FALSE,,""
"3151_1_8H",1,"irrigated",2020,TRUE,TRUE,2,9.6,1,FALSE,,""
"3151_1_8H",1,"irrigated",2021,TRUE,TRUE,2,15,1,FALSE,,""
"3151_1_8H",1,"irrigated",2022,TRUE,TRUE,5,20,1,FALSE,,""
"3151_1_8H",1,"irrigated",2023,TRUE,TRUE,3,18,3,FALSE,,""
"3151_1_8H",1,"irrigated",2024,TRUE,TRUE,2,11,1,FALSE,"",""
"3191_1_11A",1,"irrigated",2019,TRUE,TRUE,1,11.5,0,FALSE,,""
"3191_1_11A",1,"irrigated",2020,FALSE,FALSE,,,,FALSE,,""
"3191_1_11A",1,"irrigated",2021,FALSE,FALSE,0,,,FALSE,,"NP"
"3191_1_11A",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled"
"3192_1_11B",1,"irrigated",2019,TRUE,TRUE,1,7.5,0,FALSE,,""
"3192_1_11B",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3192_1_11B",1,"irrigated",2021,TRUE,TRUE,3,14,1,FALSE,,""
"3192_1_11B",1,"irrigated",2022,TRUE,TRUE,2,15,1,FALSE,,""
