"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","Note","edited","plantid"
2016,1,3151,8,"H",4,NA,11.5,1,"2.5","2016",NA,FALSE,"3151_1_8H"
2016,1,3506,2,"E",6,NA,11,2,"4.2","2016",NA,FALSE,"3506_1_2E"
2016,1,3527,0,"H",1,NA,15.5,0,NA,"2016",NA,FALSE,"3527_1_0H"
2016,1,3542,0,"I",1,NA,11,2,"2.7","2016",NA,FALSE,"3542_1_0I"
2016,1,3543,2,"F",4,NA,16.5,1,"3.6","2016",NA,FALSE,"3543_1_2F"
2016,1,3553,7,"C",5,NA,15.5,1,"4.8","2016",NA,FALSE,"3553_1_7C"
2016,1,3554,5,"I",5,NA,12.5,2,"3.6","2016","fixed xcoor (was 6)",TRUE,"3554_1_5I"
2016,1,3567,3,"I",3,NA,12.6,0,NA,"2016",NA,FALSE,"3567_1_3I"
2016,1,3608,3,"D",4,NA,19.5,0,NA,"2016",NA,FALSE,"3608_1_3D"
2016,1,3610,0,"C",6,NA,14.1,5,"5.8","2016",NA,FALSE,"3610_1_0C"
2016,1,3611,7,"I",5,NA,8.4,2,"1.9","2016",NA,FALSE,"3611_1_7I"
2016,1,3627,7,"I",3,NA,11.2,0,NA,"2016",NA,FALSE,"3627_1_7I"
2016,1,3645,5,"J",4,NA,13.5,1,"2.7","2016",NA,FALSE,"3645_1_5J"
2016,1,3650,7,"E",7,NA,7,2,"2.7","2016",NA,FALSE,"3650_1_7E"
2016,1,3687,5,"I",3,NA,12,0,NA,"2016",NA,FALSE,"3687_1_5I"
2016,1,3692,7,"E",19,NA,10.4,1,"5.5","2016",NA,FALSE,"3692_1_7E"
2016,1,3845,7,"G",3,NA,6,2,"3.4","2016",NA,FALSE,"3845_1_7G"
2016,1,3860,3,"D",3,NA,8.2,3,"5.8","2016",NA,FALSE,"3860_1_3D"
2016,1,3871,8,"J",9,NA,9.5,1,"2.8","2016",NA,FALSE,"3871_1_8J"
2016,1,3875,9,"B",7,NA,13.2,3,"3.9","2016",NA,FALSE,"3875_1_9B"
2016,1,3878,9,"E",6,NA,12.2,1,"4.5","2016",NA,FALSE,"3878_1_9E"
2016,1,3879,3,"D",4,NA,17,1,"5.5","2016",NA,FALSE,"3879_1_3D"
2016,1,3930,8,"G",3,NA,12.2,0,NA,"2016",NA,FALSE,"3930_1_8G"
2016,1,3935,4,"I",3,NA,9.5,0,NA,"2016",NA,FALSE,"3935_1_4I"
2016,2,3501,0,"J",4,NA,7.8,2,"2.8","2016",NA,FALSE,"3501_2_0J"
2016,2,3502,8,"B",3,NA,6.5,0,NA,"2016",NA,FALSE,"3502_2_8B"
2016,2,3523,2,"D",7,NA,5.8,2,"2.7","2016",NA,FALSE,"3523_2_2D"
2016,2,3531,9,"B",6,NA,7.5,0,NA,"2016",NA,FALSE,"3531_2_9B"
2016,2,3533,2,"C",5,NA,8,1,"2.8","2016",NA,FALSE,"3533_2_2C"
2016,2,3539,7,"D",6,NA,7,0,NA,"2016",NA,FALSE,"3539_2_7D"
2016,2,3540,2,"B",6,NA,8.1,1,"2.3","2016",NA,FALSE,"3540_2_2B"
2016,2,3544,0,"D",4,NA,5.8,1,"2.8","2016",NA,FALSE,"3544_2_0D"
2016,2,3549,7,"A",3,NA,3.1,0,NA,"2016",NA,FALSE,"3549_2_7A"
2016,2,3550,9,"I",3,NA,6.4,0,NA,"2016",NA,FALSE,"3550_2_9I"
2016,2,3574,0,"A",6,NA,8.3,1,"1.2","2016",NA,FALSE,"3574_2_0A"
2016,2,3576,1,"B",9,NA,6.7,2,"2.3","2016",NA,FALSE,"3576_2_1B"
2016,2,3584,7,"F",4,NA,8.2,2,"2.7","2016",NA,FALSE,"3584_2_7F"
2016,2,3585,3,"C",3,NA,8.1,0,NA,"2016","fixed xcoor (was 2)",TRUE,"3585_2_3C"
2016,2,3597,7,"H",4,NA,9.5,1,"3.8","2016",NA,FALSE,"3597_2_7H"
2016,2,3598,6,"D",3,NA,8.6,0,NA,"2016",NA,FALSE,"3598_2_6D"
2016,2,3619,3,"A",4,NA,6.3,1,"2.4","2016",NA,FALSE,"3619_2_3A"
2016,2,3623,6,"E",6,NA,8.5,0,NA,"2016",NA,FALSE,"3623_2_6E"
2016,2,3652,0,"C",7,NA,7.2,1,"2.3","2016",NA,FALSE,"3652_2_0C"
2016,2,3654,3,"G",4,NA,5.5,1,"3","2016",NA,FALSE,"3654_2_3G"
2016,2,3667,5,"B",3,NA,6.2,1,"1.5","2016",NA,FALSE,"3667_2_5B"
2016,2,3668,7,"A",6,NA,7.4,0,NA,"2016",NA,FALSE,"3668_2_7A"
2016,2,3841,1,"C",8,NA,9.2,1,"3.8","2016",NA,FALSE,"3841_2_1C"
2016,2,3844,8,"C",12,NA,7.5,0,NA,"2016","fixed xcoor (was 7)",TRUE,"3844_2_8C"
2016,2,3847,4,"E",1,NA,7,0,NA,"2016",NA,FALSE,"3847_2_4E"
2016,2,3858,6,"B",3,NA,10.1,0,NA,"2016",NA,FALSE,"3858_2_6B"
2016,2,3861,7,"A",4,NA,6.8,1,"1.1","2016",NA,FALSE,"3861_2_7A"
2016,2,3864,8,"G",1,NA,7,0,NA,"2016",NA,FALSE,"3864_2_8G"
2016,2,3865,9,"F",3,NA,7,0,NA,"2016",NA,FALSE,"3865_2_9F"
2016,2,3908,8,"B",6,NA,6.5,0,NA,"2016",NA,FALSE,"3908_2_8B"
2016,3,3036,2,"B",12,NA,10.6,NA,NA,"2016",NA,FALSE,"3036_3_2B"
2016,3,3056,0,"B",8,NA,7.4,0,NA,"2016",NA,FALSE,"3056_3_0B"
2016,3,3304,3,"B",3,NA,11,1,"4.1","2016",NA,FALSE,"3304_3_3B"
2016,3,3313,3,"B",1,NA,2.4,1,"3.2","2016",NA,FALSE,"3313_3_3B"
2016,3,3349,1,"F",7,NA,13.1,1,"7.3","2016",NA,FALSE,"3349_3_1F"
2016,3,3507,3,"B",4,NA,7.5,1,"1.8","2016",NA,FALSE,"3507_3_3B"
2016,3,3624,0,"D",6,NA,6.2,2,"3.1","2016",NA,FALSE,"3624_3_0D"
2016,3,3633,2,"B",6,NA,9.9,0,NA,"2016",NA,FALSE,"3633_3_2B"
2016,4,3007,4,"H",9,NA,6.4,0,NA,"2016",NA,FALSE,"3007_4_4H"
2016,4,3011,3,"H",3,NA,8.8,NA,NA,"2016",NA,FALSE,"3011_4_3H"
2016,4,3064,1,"H",3,NA,3.5,NA,NA,"2016",NA,FALSE,"3064_4_1H"
2016,4,3075,1,"I",3,NA,6,NA,NA,"2016",NA,FALSE,"3075_4_1I"
2016,4,3090,18,"P",10,NA,8.5,1,"5.5","2016","fixed ycoor (was P)",TRUE,"3090_4_18P"
2016,4,3342,14,"D",8,NA,7.3,1,"5.8","2016",NA,FALSE,"3342_4_14D"
2016,4,3364,3,"H",3,NA,6.5,1,"2.1","2016",NA,FALSE,"3364_4_3H"
2016,4,3555,11,"J",13,NA,11.7,1,"8.5","2016","fixed ycoor (was T)",TRUE,"3555_4_11J"
