"Year","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","proc.note","edited","plantid","Plot","trt","obs.alive","surv"
2021,3,NA,19,0,NA,"",NA,FALSE,"1411_4_6G","4","irrigated",TRUE,TRUE
2022,3,48,19,2,"SOS","",NA,FALSE,"1411_4_6G","4","irrigated",TRUE,TRUE
2023,4,60,18,3,"SOS","",NA,FALSE,"1411_4_6G","4","irrigated",TRUE,TRUE
2016,3,NA,6,0,NA,"",NA,FALSE,"2107_14_13A","14","drought",TRUE,TRUE
2021,3,33,19.5,2,"SOS","",NA,FALSE,"2230_4_10J","4","irrigated",TRUE,TRUE
2022,4,36.5,22.5,3,"SOS","",NA,FALSE,"2230_4_10J","4","irrigated",TRUE,TRUE
2023,5,49,23,3,"SOS","",NA,FALSE,"2230_4_10J","4","irrigated",TRUE,TRUE
2016,1,NA,7.1,0,NA,"",NA,FALSE,"2928_14_17B","14","drought",TRUE,TRUE
2016,4,NA,8.3,1,"1","",NA,FALSE,"3001_5_16I","5","drought",TRUE,TRUE
2017,0,NA,NA,NA,NA,"No plant/dead?",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2018,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3001_5_16I","5","drought",FALSE,FALSE
2016,5,NA,7.4,0,NA,"",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2017,1,NA,7,2,"2.5","",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2018,2,12.5,12.5,0,NA,"",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2019,4,24,12,2,"4","",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2020,2,NA,13.2,0,NA,"",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2021,3,NA,17.5,0,NA,"",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2022,7,32,16.5,3,"SOS","",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2023,1,NA,18,0,NA,"",NA,FALSE,"3002_12_3B","12","irrigated",TRUE,TRUE
2017,2,NA,10,1,"2.5","",NA,FALSE,"3003_5_10C","5","drought",TRUE,TRUE
2018,1,11.5,11.5,0,NA,"",NA,FALSE,"3003_5_10C","5","drought",TRUE,TRUE
2019,1,NA,8,0,NA,"",NA,FALSE,"3003_5_10C","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3003_5_10C","5","drought",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3003_5_10C","5","drought",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3003_5_10C","5","drought",FALSE,FALSE
2021,1,NA,12,0,NA,"",NA,FALSE,"3004_14_0A","14","drought",TRUE,TRUE
2022,4,64.5,26,3,"SOS","one umbel eaten ",NA,FALSE,"3004_14_0A","14","drought",TRUE,TRUE
2023,1,NA,20,0,NA,"",NA,FALSE,"3004_14_0A","14","drought",TRUE,TRUE
2016,13,NA,8.1,3,"4","Dead leaves, 2 stems",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2017,2,NA,10.5,1,"3","",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2018,2,16,13.5,1,"2.3","",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2019,1,12,9,1,"1.5","",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2020,1,19.5,10.2,1,"2.2","",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2021,1,NA,14,0,NA,"",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2022,2,24,13.5,1,"3.5"," ",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2023,2,30,18,1,"4","at some point we saw 4 umbels, but now there's only 1",NA,FALSE,"3005_6_18E","6","irrigated",TRUE,TRUE
2018,3,23,23,0,NA,"",NA,FALSE,"3006_15_18B","15","drought",TRUE,TRUE
2019,2,17,13,1,"1.5","",NA,FALSE,"3006_15_18B","15","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3006_15_18B","15","drought",FALSE,TRUE
2021,3,29.5,23.5,1,"3","",NA,FALSE,"3006_15_18B","15","drought",TRUE,TRUE
2022,3,37,25,1,"4","",NA,FALSE,"3006_15_18B","15","drought",TRUE,TRUE
2023,3,64,20.5,2,"SOS","",NA,FALSE,"3006_15_18B","15","drought",TRUE,TRUE
2016,9,NA,6.4,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2017,3,NA,12,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2018,2,13,13,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2019,NA,NA,NA,NA,NA,"NPNT","NA; survival imputed based on subsq. record",TRUE,"3007_4_4H","4","irrigated",FALSE,TRUE
2020,1,NA,16.1,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2021,1,NA,18,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2022,3,41,13.5,1,"5","",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2023,1,NA,26,0,NA,"",NA,FALSE,"3007_4_4H","4","irrigated",TRUE,TRUE
2016,6,NA,7.8,1,"6.1","Dead leaves",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2017,5,NA,12.5,3,"4","",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2018,2,12.5,12.5,0,NA,"",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2019,1,NA,21.5,0,NA,"",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2020,1,NA,15.5,0,NA,"",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
