"plantid","Year","Plot","in.demo","in.phen","in.seed","No.leaves","Leaf.length","No.umbels","umbel.no","no.seeds","phen.umbels","phen.julis","demo.note","proc.note","demo.edited","seed.note","obs.alive","surv"
"1411_4",2021,4,TRUE,FALSE,FALSE,3,19,0,,,,"","","",FALSE,"",TRUE,TRUE
"1411_4",2022,4,TRUE,TRUE,TRUE,3,19,2,1,42,4,"96; 117; 159; 159","","",FALSE,";",TRUE,TRUE
"1411_4",2023,4,TRUE,TRUE,TRUE,4,18,3,3,0,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"1411_4",2023,4,TRUE,TRUE,TRUE,4,18,3,1,212,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"1411_4",2023,4,TRUE,TRUE,TRUE,4,18,3,2,250,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"1411_4",2024,4,TRUE,TRUE,TRUE,3,17,1,1,96,2,"110; 117","","",FALSE,"counted on 5-Jun",TRUE,TRUE
"2107_14",2016,14,TRUE,FALSE,FALSE,3,6,0,,,,"","","",FALSE,"",TRUE,TRUE
"2230_4",2021,4,TRUE,TRUE,TRUE,3,19.5,2,2,0,2,"125; 125","","",FALSE,";;",TRUE,TRUE
"2230_4",2021,4,TRUE,TRUE,TRUE,3,19.5,2,1,8,2,"125; 125","","",FALSE,"8 big seeds, rest shrivelled/dead;;",TRUE,TRUE
"2230_4",2022,4,TRUE,TRUE,TRUE,4,22.5,3,1,12,3,"138; 138; 138","","",FALSE,";",TRUE,TRUE
"2230_4",2022,4,TRUE,TRUE,TRUE,4,22.5,3,2,12,3,"138; 138; 138","","",FALSE,";",TRUE,TRUE
"2230_4",2023,4,TRUE,TRUE,TRUE,5,23,3,2,12,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"2230_4",2023,4,TRUE,TRUE,TRUE,5,23,3,3,0,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"2230_4",2023,4,TRUE,TRUE,TRUE,5,23,3,1,10,3,"109; 123; 123","","",FALSE,"",TRUE,TRUE
"2230_4",2024,4,TRUE,FALSE,FALSE,3,25,0,,,,"","","",FALSE,"",TRUE,TRUE
"2928_14",2016,14,TRUE,FALSE,FALSE,1,7.1,0,,,,"","","",FALSE,"",TRUE,TRUE
"3001_5",2016,5,TRUE,FALSE,FALSE,4,8.3,1,,,,"","","",FALSE,"",TRUE,TRUE
"3001_5",2017,5,TRUE,FALSE,FALSE,0,,,,,,"","No plant/dead?","",FALSE,"",FALSE,FALSE
"3001_5",2018,5,TRUE,FALSE,FALSE,0,,,,,,"","no plant","",FALSE,"",FALSE,FALSE
"3001_5",2019,5,TRUE,FALSE,FALSE,0,,,,,,"","no plant","",FALSE,"",FALSE,FALSE
"3001_5",2020,5,TRUE,FALSE,FALSE,,,,,,,"","","",FALSE,"",FALSE,FALSE
"3001_5",2021,5,TRUE,FALSE,FALSE,0,,,,,,"","NP","",FALSE,"",FALSE,FALSE
"3001_5",2022,5,TRUE,FALSE,FALSE,0,,,,,,"","NP. Tag pulled","",FALSE,"",FALSE,FALSE
"3002_12",2016,12,TRUE,FALSE,FALSE,5,7.4,0,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2017,12,TRUE,FALSE,FALSE,1,7,2,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2018,12,TRUE,FALSE,FALSE,2,12.5,0,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2019,12,TRUE,FALSE,FALSE,4,12,2,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2020,12,TRUE,FALSE,FALSE,2,13.2,0,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2021,12,TRUE,FALSE,FALSE,3,17.5,0,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2022,12,TRUE,TRUE,TRUE,7,16.5,3,2,64,3,"124; 138; 138","","",FALSE,";",TRUE,TRUE
"3002_12",2022,12,TRUE,TRUE,TRUE,7,16.5,3,1,98,3,"124; 138; 138","","",FALSE,";",TRUE,TRUE
"3002_12",2022,12,TRUE,TRUE,TRUE,7,16.5,3,3,6,3,"124; 138; 138","","",FALSE,";",TRUE,TRUE
"3002_12",2023,12,TRUE,FALSE,FALSE,1,18,0,,,,"","","",FALSE,"",TRUE,TRUE
"3002_12",2024,12,TRUE,TRUE,TRUE,3,15.5,1,1,130,1,"124","","",FALSE,"counted on 15-Jun",TRUE,TRUE
"3003_5",2017,5,TRUE,FALSE,FALSE,2,10,1,,,,"","","",FALSE,"",TRUE,TRUE
"3003_5",2018,5,TRUE,FALSE,FALSE,1,11.5,0,,,,"","","",FALSE,"",TRUE,TRUE
"3003_5",2019,5,TRUE,FALSE,FALSE,1,8,0,,,,"","","",FALSE,"",TRUE,TRUE
"3003_5",2020,5,TRUE,FALSE,FALSE,,,,,,,"","","",FALSE,"",FALSE,FALSE
"3003_5",2021,5,TRUE,FALSE,FALSE,0,,,,,,"","NP","",FALSE,"",FALSE,FALSE
"3003_5",2022,5,TRUE,FALSE,FALSE,0,,,,,,"","NP. Tag pulled","",FALSE,"",FALSE,FALSE
"3004_14",2021,14,TRUE,FALSE,FALSE,1,12,0,,,,"","","",FALSE,"",TRUE,TRUE
"3004_14",2022,14,TRUE,TRUE,TRUE,4,26,3,2,0,3,"96; 117; 131","one umbel eaten ","",FALSE,";",TRUE,TRUE
"3004_14",2022,14,TRUE,TRUE,TRUE,4,26,3,1,10,3,"96; 117; 131","one umbel eaten ","",FALSE,";",TRUE,TRUE
"3004_14",2022,14,TRUE,TRUE,TRUE,4,26,3,3,0,3,"96; 117; 131","one umbel eaten ","",FALSE,";",TRUE,TRUE
"3004_14",2023,14,TRUE,FALSE,FALSE,1,20,0,,,,"","","",FALSE,"",TRUE,TRUE
"3004_14",2024,14,TRUE,FALSE,FALSE,1,16,0,,,,"","sticking up out of moss","",FALSE,"",TRUE,TRUE
