"Year","plantid","Plot","in.demo","in.phen","in.seed","No.leaves","Leaf.length","No.umbels","umbel.no","no.seeds","phen.umbels","phen.julis","demo.note","proc.note","demo.edited","seed.note"
2016,"3151_1",1,TRUE,FALSE,FALSE,4,11.5,1,,,,,"",,FALSE,
2016,"3506_1",1,TRUE,FALSE,FALSE,6,11,2,,,,,"",,FALSE,
2016,"3527_1",1,TRUE,FALSE,FALSE,1,15.5,0,,,,,"",,FALSE,
2016,"3542_1",1,TRUE,FALSE,FALSE,1,11,2,,,,,"",,FALSE,
2016,"3543_1",1,TRUE,FALSE,FALSE,4,16.5,1,,,,,"",,FALSE,
2016,"3553_1",1,TRUE,FALSE,FALSE,5,15.5,1,,,,,"",,FALSE,
2016,"3554_1",1,TRUE,FALSE,FALSE,5,12.5,2,,,,,"","fixed xcoor (was 6)",TRUE,
2016,"3567_1",1,TRUE,FALSE,FALSE,3,12.6,0,,,,,"",,FALSE,
2016,"3608_1",1,TRUE,FALSE,FALSE,4,19.5,0,,,,,"",,FALSE,
2016,"3610_1",1,TRUE,FALSE,FALSE,6,14.1,5,,,,,"",,FALSE,
2016,"3611_1",1,TRUE,FALSE,FALSE,5,8.4,2,,,,,"",,FALSE,
2016,"3627_1",1,TRUE,FALSE,FALSE,3,11.2,0,,,,,"",,FALSE,
2016,"3645_1",1,TRUE,FALSE,FALSE,4,13.5,1,,,,,"",,FALSE,
2016,"3650_1",1,TRUE,FALSE,FALSE,7,7,2,,,,,"",,FALSE,
2016,"3687_1",1,TRUE,FALSE,FALSE,3,12,0,,,,,"",,FALSE,
2016,"3692_1",1,TRUE,FALSE,FALSE,19,10.4,1,,,,,"",,FALSE,
2016,"3845_1",1,TRUE,FALSE,FALSE,3,6,2,,,,,"",,FALSE,
2016,"3860_1",1,TRUE,FALSE,FALSE,3,8.2,3,,,,,"",,FALSE,
2016,"3871_1",1,TRUE,FALSE,FALSE,9,9.5,1,,,,,"",,FALSE,
2016,"3875_1",1,TRUE,FALSE,FALSE,7,13.2,3,,,,,"",,FALSE,
2016,"3878_1",1,TRUE,FALSE,FALSE,6,12.2,1,,,,,"",,FALSE,
2016,"3879_1",1,TRUE,FALSE,FALSE,4,17,1,,,,,"",,FALSE,
2016,"3930_1",1,TRUE,FALSE,FALSE,3,12.2,0,,,,,"",,FALSE,
2016,"3935_1",1,TRUE,FALSE,FALSE,3,9.5,0,,,,,"",,FALSE,
2016,"3501_2",2,TRUE,FALSE,FALSE,4,7.8,2,,,,,"",,FALSE,
2016,"3502_2",2,TRUE,FALSE,FALSE,3,6.5,0,,,,,"",,FALSE,
2016,"3523_2",2,TRUE,FALSE,FALSE,7,5.8,2,,,,,"",,FALSE,
2016,"3531_2",2,TRUE,FALSE,FALSE,6,7.5,0,,,,,"",,FALSE,
2016,"3533_2",2,TRUE,FALSE,FALSE,5,8,1,,,,,"",,FALSE,
2016,"3539_2",2,TRUE,FALSE,FALSE,6,7,0,,,,,"",,FALSE,
2016,"3540_2",2,TRUE,FALSE,FALSE,6,8.1,1,,,,,"",,FALSE,
2016,"3544_2",2,TRUE,FALSE,FALSE,4,5.8,1,,,,,"",,FALSE,
2016,"3549_2",2,TRUE,FALSE,FALSE,3,3.1,0,,,,,"",,FALSE,
2016,"3550_2",2,TRUE,FALSE,FALSE,3,6.4,0,,,,,"",,FALSE,
2016,"3574_2",2,TRUE,FALSE,FALSE,6,8.3,1,,,,,"",,FALSE,
2016,"3576_2",2,TRUE,FALSE,FALSE,9,6.7,2,,,,,"Measured for only 1 m2",,FALSE,
2016,"3584_2",2,TRUE,FALSE,FALSE,4,8.2,2,,,,,"",,FALSE,
2016,"3585_2",2,TRUE,FALSE,FALSE,3,8.1,0,,,,,"","fixed xcoor (was 2)",TRUE,
2016,"3597_2",2,TRUE,FALSE,FALSE,4,9.5,1,,,,,"",,FALSE,
2016,"3598_2",2,TRUE,FALSE,FALSE,3,8.6,0,,,,,"",,FALSE,
2016,"3619_2",2,TRUE,FALSE,FALSE,4,6.3,1,,,,,"",,FALSE,
2016,"3623_2",2,TRUE,FALSE,FALSE,6,8.5,0,,,,,"",,FALSE,
2016,"3652_2",2,TRUE,FALSE,FALSE,7,7.2,1,,,,,"",,FALSE,
2016,"3654_2",2,TRUE,FALSE,FALSE,4,5.5,1,,,,,"",,FALSE,
2016,"3667_2",2,TRUE,FALSE,FALSE,3,6.2,1,,,,,"",,FALSE,
2016,"3668_2",2,TRUE,FALSE,FALSE,6,7.4,0,,,,,"",,FALSE,
2016,"3841_2",2,TRUE,FALSE,FALSE,8,9.2,1,,,,,"",,FALSE,
2016,"3844_2",2,TRUE,FALSE,FALSE,12,7.5,0,,,,,"","fixed xcoor (was 7)",TRUE,
2016,"3847_2",2,TRUE,FALSE,FALSE,1,7,0,,,,,"",,FALSE,
2016,"3858_2",2,TRUE,FALSE,FALSE,3,10.1,0,,,,,"",,FALSE,
2016,"3861_2",2,TRUE,FALSE,FALSE,4,6.8,1,,,,,"",,FALSE,
2016,"3864_2",2,TRUE,FALSE,FALSE,1,7,0,,,,,"",,FALSE,
