"year","plot","tag","plantid.seed","umbel.no","no.seeds","notes","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","Note","edited","plantid.demo","flowering.in.demo","coor.demo"
2021,1,3365,"3365_1_0J","1",1,";loose;seeds mostly fallen into bag",2,NA,11.5,0,NA,NA,FALSE,"3365_1_0J",FALSE,"0J"
2021,1,3410,"3410_1_4J","1",56,";seed status;",4,27,13.5,1,"4",NA,FALSE,"3410_1_4J",TRUE,"4J"
2021,1,3418,"3418_1_18E","1",10,";;",2,26,12,1,"3",NA,FALSE,"3418_1_18B",TRUE,"18B"
2021,1,3567,"3567_1_3I","1",64,";green;green or mostly green, still stuck together",3,21.5,17,2,"4",NA,FALSE,"3567_1_3I",TRUE,"3I"
2021,1,3567,"3567_1_3I","2",0,"dead;bw_stripes;black and white, but still stuck together",3,21.5,17,2,"4",NA,FALSE,"3567_1_3I",TRUE,"3I"
2021,1,3583,"3583_1_1I","1",26,";splitting;seeds splitting apart, starting to fall",3,26,17.5,1,"3.5",NA,FALSE,"3583_1_1I",TRUE,"1I"
2021,1,3821,"3821_1_4A","2",0,"dead;;",4,37,17,2,"SOS",NA,FALSE,"3821_1_4A",TRUE,"4A"
2021,1,3821,"3821_1_4A","1",136,";gb;mix of green and brown seeds.  Brown seeds are unhealthy (not just dry), look maybe rotten",4,37,17,2,"SOS",NA,FALSE,"3821_1_4A",TRUE,"4A"
2021,2,3157,"3157_2_18E","1",70,";;",6,20.5,10,2,"SOS",NA,FALSE,"3157_2_18E",TRUE,"18E"
2021,2,3157,"3157_2_18E","2",0,"dead;;",6,20.5,10,2,"SOS",NA,FALSE,"3157_2_18E",TRUE,"18E"
2021,2,3185,"3185_2_19B","1",30,";;",3,16,12,1,"4",NA,FALSE,"3185_2_19B",TRUE,"19B"
2021,2,3185,"3185_2_19B","1",30,";;",1,NA,12.5,0,NA,NA,FALSE,"3185_2_7I",FALSE,"7I"
2021,2,3502,"3502_2_8B","1",44,";;",3,32,17.5,1,"3",NA,FALSE,"3502_2_8B",TRUE,"8B"
2021,2,3519,"3519_2_9G","1",40,";;",2,28,15,1,"5",NA,FALSE,"3519_2_9G",TRUE,"9G"
2021,2,3523,"3523_2_2D","1",34,";;",3,23.5,11,1,"6",NA,FALSE,"3523_2_2D",TRUE,"2D"
2021,2,3602,"3602_2_2B","1",24,"Plot 2 seed status: ~half are green and half are b/w stripes;;",2,19,11.5,1,"4",NA,FALSE,"3602_2_2B",TRUE,"2B"
2021,3,3304,"3304_3_3B","1",26,";;",3,34.5,19,1,"5",NA,FALSE,"3304_3_3B",TRUE,"3B"
2021,3,3349,"3349_3_1F","1",30,";;",2,35,16.5,1,"6",NA,FALSE,"3349_3_1F",TRUE,"1F"
2021,3,3759,"3759_3_15B","1",10,";;",2,32,18,1,"7.5",NA,FALSE,"3759_3_15B",TRUE,"15B"
2021,3,3797,"3797_3_4I","1",0,"dead;;",3,21.5,17,1,"2",NA,FALSE,"3797_3_4I",TRUE,"4I"
2021,4,2230,"2230_4_10J","1",8,"8 big seeds, rest shrivelled/dead;;",3,33,19.5,2,"SOS",NA,FALSE,"2230_4_10J",TRUE,"10J"
2021,4,2230,"2230_4_10J","2",0,";;",3,33,19.5,2,"SOS",NA,FALSE,"2230_4_10J",TRUE,"10J"
2021,4,3090,"3090_4_18P","2",0,"umbel eaten;;",9,37,19,2,"SOS","fixed ycoor (was P)",TRUE,"3090_4_18P",TRUE,"18P"
2021,4,3090,"3090_4_18P","1",54,";;",9,37,19,2,"SOS","fixed ycoor (was P)",TRUE,"3090_4_18P",TRUE,"18P"
2021,4,3122,"3122_4_8J","1",10,";;",1,NA,14,0,NA,NA,FALSE,"3122_4_8J",FALSE,"8J"
2021,4,3460,"3460_4_3J","1",74,";;",2,33,10.5,1,"5",NA,FALSE,"3460_4_3J",TRUE,"3J"
2021,4,3555,"3555_4_11T","1",42,";;",3,33,17,1,"3","fixed ycoor (was T)",TRUE,"3555_4_11J",TRUE,"11J"
2021,4,3730,"3730_4_0I","1",38,";;",3,35,16,1,"3.5",NA,FALSE,"3730_4_0I",TRUE,"0I"
2021,5,3067,"3067_5_16F","1",27,";;",2,23,12,1,"5",NA,FALSE,"3067_5_16F",TRUE,"16F"
