"plantid","Plot","Year","detected","obs.alive","no.leaves","leaf.leng","flowering","no.umbels"
"3151_1_8H",1,2016,TRUE,TRUE,4,11.5,TRUE,1
"3506_1_2E",1,2016,TRUE,TRUE,6,11,TRUE,2
"3527_1_0H",1,2016,TRUE,TRUE,1,15.5,FALSE,NA
"3542_1_0I",1,2016,TRUE,TRUE,1,11,TRUE,2
"3543_1_2F",1,2016,TRUE,TRUE,4,16.5,TRUE,1
"3553_1_7C",1,2016,TRUE,TRUE,5,15.5,TRUE,1
"3554_1_5I",1,2016,TRUE,TRUE,5,12.5,TRUE,2
"3567_1_3I",1,2016,TRUE,TRUE,3,12.6,FALSE,NA
"3608_1_3D",1,2016,TRUE,TRUE,4,19.5,FALSE,NA
"3610_1_0C",1,2016,TRUE,TRUE,6,14.1,TRUE,5
"3611_1_7I",1,2016,TRUE,TRUE,5,8.4,TRUE,2
"3627_1_7I",1,2016,TRUE,TRUE,3,11.2,FALSE,NA
"3645_1_5J",1,2016,TRUE,TRUE,4,13.5,TRUE,1
"3650_1_7E",1,2016,TRUE,TRUE,7,7,TRUE,2
"3687_1_5I",1,2016,TRUE,TRUE,3,12,FALSE,NA
"3692_1_7E",1,2016,TRUE,TRUE,19,10.4,TRUE,1
"3845_1_7G",1,2016,TRUE,TRUE,3,6,TRUE,2
"3860_1_3D",1,2016,TRUE,TRUE,3,8.2,TRUE,3
"3871_1_8J",1,2016,TRUE,TRUE,9,9.5,TRUE,1
"3875_1_9B",1,2016,TRUE,TRUE,7,13.2,TRUE,3
"3878_1_9E",1,2016,TRUE,TRUE,6,12.2,TRUE,1
"3879_1_3D",1,2016,TRUE,TRUE,4,17,TRUE,1
"3930_1_8G",1,2016,TRUE,TRUE,3,12.2,FALSE,NA
"3935_1_4I",1,2016,TRUE,TRUE,3,9.5,FALSE,NA
"3501_2_0J",2,2016,TRUE,TRUE,4,7.8,TRUE,2
"3502_2_8B",2,2016,TRUE,TRUE,3,6.5,FALSE,NA
"3523_2_2D",2,2016,TRUE,TRUE,7,5.8,TRUE,2
"3531_2_9B",2,2016,TRUE,TRUE,6,7.5,FALSE,NA
"3533_2_2C",2,2016,TRUE,TRUE,5,8,TRUE,1
"3539_2_7D",2,2016,TRUE,TRUE,6,7,FALSE,NA
"3540_2_2B",2,2016,TRUE,TRUE,6,8.1,TRUE,1
