"Year","Plot","Tag","Xcoor","Ycoor","umble.no","umble.diameter","notes","plantid"
2020,1,3821,4,"A",1,4,NA,"3821_1_4A"
2020,1,3821,4,"A",2,2.9,NA,"3821_1_4A"
2020,1,3554,5,"I",1,3.4,NA,"3554_1_5I"
2020,1,3554,5,"I",2,2,NA,"3554_1_5I"
2020,1,3554,5,"I",3,1.8,NA,"3554_1_5I"
2020,1,3554,5,"I",4,2.5,NA,"3554_1_5I"
2020,1,3611,7,"I",1,3,NA,"3611_1_7I"
2020,1,3611,7,"I",2,2.4,NA,"3611_1_7I"
2020,2,3841,1,"C",1,2.9,NA,"3841_2_1C"
2020,2,3841,1,"C",2,2.7,NA,"3841_2_1C"
2020,4,3342,14,"N",1,6.2,NA,"3342_4_14N"
2020,4,3342,14,"N",2,4.8,NA,"3342_4_14N"
2020,4,3342,14,"N",3,3.5,NA,"3342_4_14N"
2020,4,3563,15,"R",1,4.8,NA,"3563_4_15R"
2020,4,3563,15,"R",2,3.2,NA,"3563_4_15R"
2020,4,3634,18,"O",1,2.2,NA,"3634_4_18O"
2020,4,3634,18,"O",2,3.4,NA,"3634_4_18O"
2020,4,3634,18,"O",3,2.3,NA,"3634_4_18O"
2020,6,3179,5,"E",1,3.1,NA,"3179_6_5E"
2020,6,3179,5,"E",2,3.5,NA,"3179_6_5E"
2020,6,3518,10,"I",1,3.8,NA,"3518_6_10I"
2020,6,3518,10,"I",2,5.8,NA,"3518_6_10I"
2020,6,3319,11,"A",1,4.6,NA,"3319_6_11A"
2020,6,3319,11,"A",2,2.2,NA,"3319_6_11A"
2020,6,3345,12,"D",1,5.8,NA,"3345_6_12D"
2020,6,3345,12,"D",2,3.2,NA,"3345_6_12D"
2020,6,3358,12,"D",1,4.1,NA,"3358_6_12D"
2020,6,3358,12,"D",2,2.5,NA,"3358_6_12D"
2020,6,3456,13,"B",1,2.7,NA,"3456_6_13B"
2020,6,3456,13,"B",2,2.8,NA,"3456_6_13B"
2020,6,3669,14,"E",1,2.8,NA,"3669_6_14E"
2020,6,3669,14,"E",2,3.5,NA,"3669_6_14E"
2020,6,3141,15,"E",1,3.6,NA,"3141_6_15E"
2020,6,3141,15,"E",2,5.1,NA,"3141_6_15E"
2020,6,3136,16,"B",1,2,NA,"3136_6_16B"
2020,6,3136,16,"B",2,1.1,NA,"3136_6_16B"
2020,6,3887,16,"D",1,2.2,NA,"3887_6_16D"
2020,6,3887,16,"D",2,2.6,NA,"3887_6_16D"
2020,6,3648,16,"F",1,4.3,NA,"3648_6_16F"
2020,6,3648,16,"F",2,1.9,NA,"3648_6_16F"
2020,6,3630,16,"I",1,3.2,NA,"3630_6_16I"
2020,6,3630,16,"I",2,3.5,NA,"3630_6_16I"
2020,7,3296,9,"C",1,2.4,NA,"3296_7_9C"
2020,7,3296,9,"C",2,3.5,NA,"3296_7_9C"
2020,7,3994,9,"J",1,2.5,NA,"3994_7_9J"
2020,7,3994,9,"J",2,2.6,NA,"3994_7_9J"
2020,9,3143,14,"0.95",1,5.1,NA,"3143_9_140.95"
2020,9,3143,14,"0.95",2,4.3,NA,"3143_9_140.95"
2020,9,3143,14,"0.95",3,4.5,NA,"3143_9_140.95"
2020,12,3135,7,"G",1,2.7,NA,"3135_12_7G"
2020,12,3135,7,"G",2,0.4,NA,"3135_12_7G"
2020,14,3671,5,"C",1,1.5,NA,"3671_14_5C"
2020,14,3671,5,"C",2,1.6,NA,"3671_14_5C"
2020,14,3364,14,"H",1,3.6,NA,"3364_14_14H"
2020,14,3364,14,"H",2,3,NA,"3364_14_14H"
2020,14,3556,15,"H",1,3.7,NA,"3556_14_15H"
2020,14,3556,15,"H",2,3.6,NA,"3556_14_15H"
2020,14,3556,15,"H",3,3.5,NA,"3556_14_15H"
2020,14,3346,19,"F",1,3,NA,"3346_14_19F"
2020,14,3346,19,"F",2,1,NA,"3346_14_19F"
2020,14,3346,19,"F",3,4.5,NA,"3346_14_19F"
2020,15,3065,2,"F",1,6,NA,"3065_15_2F"
2020,15,3065,2,"F",2,7.2,NA,"3065_15_2F"
2020,15,3065,2,"F",3,4.7,NA,"3065_15_2F"
2020,15,3738,17,"H",1,3.5,NA,"3738_15_17H"
2020,15,3738,17,"H",2,2,NA,"3738_15_17H"
2020,15,3738,17,"H",3,2.2,NA,"3738_15_17H"
2020,15,3738,17,"H",4,1.8,NA,"3738_15_17H"
2020,15,3738,17,"H",5,1.2,NA,"3738_15_17H"
2020,15,3738,17,"H",6,4.7,NA,"3738_15_17H"
2021,1,3610,0,"C",1,5,NA,"3610_1_0C"
2021,1,3610,0,"C",2,3.5,NA,"3610_1_0C"
2021,1,3610,0,"C",3,3.5,NA,"3610_1_0C"
2021,1,3821,4,"A",1,4,NA,"3821_1_4A"
2021,1,3821,4,"A",2,4,NA,"3821_1_4A"
2021,2,3156,11,"E",1,6,NA,"3156_2_11E"
2021,2,3156,11,"E",2,5.5,NA,"3156_2_11E"
2021,2,3159,13,"H",1,5,NA,"3159_2_13H"
2021,2,3159,13,"H",2,2.5,NA,"3159_2_13H"
2021,2,3159,13,"H",3,4,NA,"3159_2_13H"
2021,2,3164,14,"B",1,4,NA,"3164_2_14B"
2021,2,3164,14,"B",2,1.5,NA,"3164_2_14B"
2021,2,3167,15,"B",1,2.5,NA,"3167_2_15B"
2021,2,3167,15,"B",2,3,NA,"3167_2_15B"
2021,2,3167,15,"B",3,3.5,NA,"3167_2_15B"
2021,2,3157,18,"E",1,4.5,NA,"3157_2_18E"
2021,2,3157,18,"E",2,2,NA,"3157_2_18E"
2021,4,3563,15,"R",1,4.5,NA,"3563_4_15R"
2021,4,3563,15,"R",2,4,NA,"3563_4_15R"
2021,4,3090,18,"P",1,3.5,NA,"3090_4_18P"
2021,4,3090,18,"P",2,2.5,NA,"3090_4_18P"
2021,5,3197,3,"A",1,4.5,NA,"3197_5_3A"
