"Year","tagplot","plantid.phen","init.doy","n.lost.umbels","n.phen.umbels","plantid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd"
2021,"2230_4","2230_4_10J",124,0,2,"2230_4_10J",2,3,19.5,4,"irrigated",0,NA,NA,4.06902675423781,FALSE
2021,"2230_4","2230_4_10J",124,0,2,"2230_4_10J",2,3,19.5,4,"irrigated",0,NA,NA,4.06902675423781,FALSE
2021,"3014_15","3014_15_9I",131,2,3,"3014_15_9I",2,5,11,15,"drought",0,2,12.7,4.00733318523247,FALSE
2021,"3014_15","3014_15_9I",145,2,3,"3014_15_9I",2,5,11,15,"drought",0,2,12.7,4.00733318523247,FALSE
2021,"3014_15","3014_15_9I",131,2,3,"3014_15_9I",2,5,11,15,"drought",0,2,12.7,4.00733318523247,FALSE
2021,"3018_13","3018_13_10G",124,0,1,"3018_13_10G",1,3,15.5,13,"control",0,NA,NA,3.83945231259331,FALSE
2021,"3023_13","3023_13_16G",124,0,1,"3023_13_16G",1,3,20,13,"control",0,NA,NA,4.0943445622221,FALSE
2021,"3047_15","3047_15_14J",117,2,2,"3047_15_14J",2,2,13.5,15,"drought",0,NA,NA,3.29583686600433,FALSE
2021,"3047_15","3047_15_14J",110,2,2,"3047_15_14J",2,2,13.5,15,"drought",0,NA,NA,3.29583686600433,FALSE
2021,"3052_15","3052_15_3J",131,0,1,"3052_15_3J",1,3,19.5,15,"drought",1,2,17.8,4.06902675423781,TRUE
2021,"3053_2","3053_2_14B",124,2,2,"3053_2_14B",2,1,15,2,"control",0,NA,NA,2.70805020110221,FALSE
2021,"3053_2","3053_2_14B",124,2,2,"3053_2_14B",2,1,15,2,"control",0,NA,NA,2.70805020110221,FALSE
2021,"3064_4","3064_4_1H",124,0,1,"3064_4_1H",1,3,19.5,4,"irrigated",1,4,12.3,4.06902675423781,TRUE
2021,"3065_15","3065_15_2F",117,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3065_15","3065_15_2F",131,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3065_15","3065_15_2F",117,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3065_15","3065_15_2F",145,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3065_15","3065_15_2F",124,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3065_15","3065_15_2F",110,5,6,"3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE
2021,"3067_5","3067_5_16F",117,0,1,"3067_5_16F",1,2,12,5,"drought",0,NA,NA,3.17805383034795,FALSE
2021,"3068_15","3068_15_6I",117,1,1,"3068_15_6I",1,1,17,15,"drought",0,1,12.4,2.83321334405622,FALSE
2021,"3070_6","3070_6_4G",131,1,3,"3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE
2021,"3070_6","3070_6_4G",110,1,3,"3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE
2021,"3070_6","3070_6_4G",131,1,3,"3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE
2021,"3083_15","3083_15_7I",117,2,2,"3083_15_7I",1,5,11.5,15,"drought",0,3,11.6,4.0517849478033,FALSE
2021,"3083_15","3083_15_7I",131,2,2,"3083_15_7I",1,5,11.5,15,"drought",0,3,11.6,4.0517849478033,FALSE
2021,"3089_7","3089_7_5I",117,1,1,"3089_7_5I",1,4,15.5,7,"drought",1,1,11.5,4.12713438504509,TRUE
2021,"3090_4","3090_4_18P",117,1,2,"3090_4_18P",2,9,19,4,"irrigated",0,0,NA,5.14166355650266,FALSE
2021,"3090_4","3090_4_18P",117,1,2,"3090_4_18P",2,9,19,4,"irrigated",0,0,NA,5.14166355650266,FALSE
2021,"3093_5","3093_5_14A",110,0,1,"3093_5_14A",1,3,15.5,5,"drought",0,NA,NA,3.83945231259331,FALSE
2021,"3095_15","3095_15_6J",124,2,2,"3095_15_6J",2,4,17.5,15,"drought",1,5,16,4.24849524204936,TRUE
2021,"3095_15","3095_15_6J",110,2,2,"3095_15_6J",2,4,17.5,15,"drought",1,5,16,4.24849524204936,TRUE
2021,"3116_15","3116_15_16C",117,2,4,"3116_15_16C",4,5,16,15,"drought",0,0,NA,4.38202663467388,FALSE
2021,"3116_15","3116_15_16C",117,2,4,"3116_15_16C",4,5,16,15,"drought",0,0,NA,4.38202663467388,FALSE
2021,"3116_15","3116_15_16C",117,2,4,"3116_15_16C",4,5,16,15,"drought",0,0,NA,4.38202663467388,FALSE
2021,"3116_15","3116_15_16C",124,2,4,"3116_15_16C",4,5,16,15,"drought",0,0,NA,4.38202663467388,FALSE
2021,"3124_5","3124_5_16D",110,1,1,"3124_5_16D",1,2,18,5,"drought",0,NA,NA,3.58351893845611,FALSE
2021,"3127_5","3127_5_16B",110,1,1,"3127_5_16B",1,2,12,5,"drought",0,NA,NA,3.17805383034795,FALSE
2021,"3128_13","3128_13_13H",131,0,1,"3128_13_13H",1,3,16,13,"control",0,2,15.2,3.87120101090789,FALSE
2021,"3135_12","3135_12_7G",117,1,2,"3135_12_7G",2,3,9,12,"irrigated",2,2,10.2,3.29583686600433,TRUE
2021,"3135_12","3135_12_7G",131,1,2,"3135_12_7G",2,3,9,12,"irrigated",2,2,10.2,3.29583686600433,TRUE
2021,"3135_5","3135_5_18D",110,1,1,"3135_5_18D",1,2,9,5,"drought",0,NA,NA,2.89037175789616,FALSE
2021,"3136_6","3136_6_16B",117,1,2,"3136_6_16B",2,2,13.5,6,"irrigated",2,3,10.8,3.29583686600433,TRUE
2021,"3136_6","3136_6_16B",124,1,2,"3136_6_16B",2,2,13.5,6,"irrigated",2,3,10.8,3.29583686600433,TRUE
2021,"3140_6","3140_6_18F",117,1,1,"3140_6_18F",1,4,18,6,"irrigated",0,1,12.1,4.27666611901606,FALSE
2021,"3141_6","3141_6_15E",117,2,3,"3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE
2021,"3141_6","3141_6_15E",117,2,3,"3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE
2021,"3141_6","3141_6_15E",124,2,3,"3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE
2021,"3142_13","3142_13_17A",131,0,1,"3142_13_17A",1,3,16,13,"control",0,NA,NA,3.87120101090789,FALSE
2021,"3143_13","3143_13_11A",124,0,1,"3143_13_11A",1,2,11,13,"control",0,NA,NA,3.09104245335832,FALSE
2021,"3143_9","3143_9_14T",131,1,2,"3143_9_140.95",2,3,20,9,"irrigated",3,4,20.1,4.0943445622221,TRUE
2021,"3143_9","3143_9_14T",124,1,2,"3143_9_140.95",2,3,20,9,"irrigated",3,4,20.1,4.0943445622221,TRUE
2021,"3144_5","3144_5_14J",117,1,1,"3144_5_14J",1,1,9,5,"drought",0,NA,NA,2.19722457733622,FALSE
2021,"3149_14","3149_14_29A",124,0,1,"3149_14_19A",1,2,14.5,14,"drought",0,NA,NA,3.36729582998647,FALSE
2021,"3151_1","3151_1_8H",124,0,1,"3151_1_8H",1,2,15,1,"irrigated",1,2,9.6,3.40119738166216,TRUE
2021,"3155_13","3155_13_5A",131,0,1,"3155_13_5A",1,5,11,13,"control",0,1,8.4,4.00733318523247,FALSE
2021,"3155_2","3155_2_16A",117,1,1,"3155_2_16A",1,1,13.5,2,"control",0,NA,NA,2.60268968544438,FALSE
2021,"3156_2","3156_2_11E",117,2,2,"3156_2_11E",2,2,17,2,"control",0,NA,NA,3.52636052461616,FALSE
2021,"3156_2","3156_2_11E",117,2,2,"3156_2_11E",2,2,17,2,"control",0,NA,NA,3.52636052461616,FALSE
2021,"3157_2","3157_2_18E",131,1,2,"3157_2_18E",2,6,10,2,"control",0,NA,NA,4.0943445622221,FALSE
2021,"3157_2","3157_2_18E",131,1,2,"3157_2_18E",2,6,10,2,"control",0,NA,NA,4.0943445622221,FALSE
2021,"3159_2","3159_2_13H",124,2,3,"3159_2_13H",3,5,16.5,2,"control",0,NA,NA,4.41279829334063,FALSE
2021,"3159_2","3159_2_13H",117,2,3,"3159_2_13H",3,5,16.5,2,"control",0,NA,NA,4.41279829334063,FALSE
2021,"3159_2","3159_2_13H",117,2,3,"3159_2_13H",3,5,16.5,2,"control",0,NA,NA,4.41279829334063,FALSE
2021,"3162_2","3162_2_11I",117,1,1,"3162_2_11I",1,1,9,2,"control",0,NA,NA,2.19722457733622,FALSE
2021,"3163_2","3163_2_11D",131,0,2,"3163_2_11D",2,3,16.5,2,"control",0,NA,NA,3.90197266957464,FALSE
2021,"3163_2","3163_2_11D",124,0,2,"3163_2_11D",2,3,16.5,2,"control",0,NA,NA,3.90197266957464,FALSE
2021,"3164_2","3164_2_14B",117,2,2,"3164_2_14B",2,4,15.5,2,"control",0,NA,NA,4.12713438504509,FALSE
2021,"3164_2","3164_2_14B",117,2,2,"3164_2_14B",2,4,15.5,2,"control",0,NA,NA,4.12713438504509,FALSE
2021,"3166_2","3166_2_12B",124,1,1,"3166_2_12B",1,4,14,2,"control",0,NA,NA,4.02535169073515,FALSE
2021,"3167_2","3167_2_15B",131,1,3,"3167_2_15B",3,7,10,2,"control",0,NA,NA,4.24849524204936,FALSE
2021,"3167_2","3167_2_15B",124,1,3,"3167_2_15B",3,7,10,2,"control",0,NA,NA,4.24849524204936,FALSE
2021,"3167_2","3167_2_15B",131,1,3,"3167_2_15B",3,7,10,2,"control",0,NA,NA,4.24849524204936,FALSE
2021,"3168_2","3168_2_13J",117,1,1,"3168_2_13J",1,2,14,2,"control",0,NA,NA,3.3322045101752,FALSE
2021,"3172_2","3172_2_17A",117,1,1,"3172_2_17A",1,2,17.5,2,"control",0,NA,NA,3.55534806148941,FALSE
2021,"3173_6","3173_6_18F",117,1,1,"3173_6_18F",1,2,14,6,"irrigated",0,0,NA,3.3322045101752,FALSE
2021,"3175_2","3175_2_15A",124,0,1,"3175_2_15A",1,2,11.5,2,"control",0,NA,NA,3.13549421592915,FALSE
2021,"3179_6","3748_6_5E",110,2,2,"3179_6_5E",2,3,15,6,"irrigated",2,3,12.5,3.80666248977032,TRUE
2021,"3179_6","3748_6_5E",124,2,2,"3179_6_5E",2,3,15,6,"irrigated",2,3,12.5,3.80666248977032,TRUE
