"plantid","plot","tag","fl.init","fl.fina","year"
"3151_1_8H",1,3151,4,5,2021
"3151_1_8H",1,3151,4,5,2021
"3195_1_16B",1,3195,3,7,2021
"3365_1_0J",1,3365,6,6,2021
"3410_1_4J",1,3410,4,5,2021
"3410_1_4J",1,3410,4,5,2021
"3418_1_18E",1,3418,4,6,2021
"3434_1_19F",1,3434,5,6,2021
"3525_1_0E",1,3525,4,5,2021
"3527_1_0H",1,3527,5,5,2021
"3543_1_2F",1,3543,3,7,2021
"3543_1_2F",1,3543,3,7,2021
"3567_1_3I",1,3567,3,6,2021
"3567_1_3I",1,3567,3,6,2021
"3583_1_1I",1,3583,4,5,2021
"3599_1_0I",1,3599,4,6,2021
"3608_1_3D",1,3608,5,7,2021
"3610_1_0C",1,3610,5,6,2021
"3611_1_7I",1,3611,4,5,2021
"3741_1_5I",1,3741,4,6,2021
"3779_1_14B",1,3779,3,7,2021
"3782_1_0J",1,3782,4,6,2021
"3821_1_4A",1,3821,5,6,2021
"3053_2_14B",2,3053,4,4,2021
"3155_2_16A",2,3155,3,3,2021
"3155_2_16A",2,3155,3,3,2021
"3156_2_11E",2,3156,3,5,2021
"3156_2_11E",2,3156,3,5,2021
"3157_2_18E",2,3157,5,6,2021
"3159_2_13H",2,3159,3,5,2021
"3162_2_11I",2,3162,3,3,2021
"3163_2_11D",2,3163,4,7,2021
"3164_2_14B",2,3164,3,5,2021
"3164_2_14B",2,3164,3,5,2021
"3166_2_12B",2,3166,5,6,2021
"3167_2_15B",2,3167,4,5,2021
"3168_2_13J",2,3168,3,5,2021
"3172_2_17A",2,3172,3,3,2021
"3172_2_17A",2,3172,3,3,2021
"3175_2_15A",2,3175,4,5,2021
"3175_2_15A",2,3175,4,5,2021
"3184_2_9G",2,3184,4,5,2021
"3185_2_19B",2,3185,5,5,2021
"3186_2_18D",2,3186,6,6,2021
"3186_2_18D",2,3186,6,6,2021
"3352_2_19H",2,3352,4,7,2021
"3502_2_8B",2,3502,4,5,2021
"3519_2_9G",2,3519,3,5,2021
"3523_2_2D",2,3523,4,5,2021
"3531_2_9B",2,3531,3,7,2021
"3539_2_6D",2,3539,4,5,2021
"3550_2_9I",2,3550,3,6,2021
"3584_2_7F",2,3584,5,6,2021
"3585_2_3C",2,3585,4,5,2021
"3597_2_7H",2,3597,3,5,2021
"3602_2_2B",2,3602,4,5,2021
"3703_2_7C",2,3703,5,5,2021
"3703_2_7C",2,3703,5,5,2021
"3751_2_8A",2,3751,3,6,2021
"3751_2_8A",2,3751,3,6,2021
"3841_2_1C",2,3841,5,5,2021
"3965_2_11A",2,3965,3,6,2021
"3304_3_3B",3,3304,3,5,2021
"3349_3_1F",3,3349,3,5,2021
"3349_3_1F",3,3349,3,5,2021
"3759_3_15B",3,3759,3,4,2021
"3797_3_4I",3,3797,4,6,2021
"3797_3_4I",3,3797,4,6,2021
"2230_4_10J",4,2230,4,10,2021
"2230_4_10J",4,2230,4,10,2021
"3064_4_1H",4,3064,4,10,2021
"3090_4_18P",4,3090,4,6,2021
"3122_4_8J",4,3122,6,6,2021
"3122_4_8J",4,3122,6,6,2021
"3182_4_16H",4,3182,4,10,2021
"3321_4_16L",4,3321,3,6,2021
"3460_4_3J",4,3460,6,6,2021
"3555_4_11T",4,3555,5,7,2021
"3634_4_18O",4,3634,4,5,2021
"3730_4_0I",4,3730,4,6,2021
"3732_4_16M",4,3732,4,6,2021
"3735_4_16M",4,3735,4,6,2021
"3750_4_12P",4,3750,3,10,2021
"3067_5_16F",5,3067,3,4,2021
"3093_5_14A",5,3093,3,4,2021
"3124_5_16D",5,3124,2,4,2021
"3127_5_16B",5,3127,2,4,2021
"3135_5_18D",5,3135,2,4,2021
"3144_5_14J",5,3144,3,4,2021
"3197_5_3A",5,3197,3,5,2021
"3197_5_3A",5,3197,3,5,2021
"3200_5_4F",5,3200,2,4,2021
"3470_5_13I",5,3470,3,4,2021
"3473_5_18G",5,3473,4,4,2021
"3476_5_12E",5,3476,3,4,2021
"3488_5_13I",5,3488,2,5,2021
"3560_5_3B",5,3560,3,6,2021
"3560_5_3B",5,3560,3,6,2021
"3644_5_8H",5,3644,3,4,2021
"3649_5_11A",5,3649,4,4,2021
"3833_5_16B",5,3833,3,4,2021
"5021_5_6E",5,5021,2,4,2021
"5045_5_13C",5,5045,4,5,2021
"3070_6_4G",6,3070,3,7,2021
"3070_6_4G",6,3070,3,7,2021
"3136_6_16B",6,3136,3,7,2021
"3140_6_18F",6,3140,4,9,2021
"3140_6_18F",6,3140,4,9,2021
"3141_6_15E",6,3141,3,6,2021
"3173_6_18F",6,3173,4,9,2021
"3319_6_11A",6,3319,4,7,2021
"3319_6_11A",6,3319,4,7,2021
"3345_6_12D",6,3345,3,7,2021
"3345_6_12D",6,3345,3,7,2021
"3358_6_12D",6,3358,3,7,2021
"3360_6_12C",6,3360,5,9,2021
"3360_6_12C",6,3360,5,9,2021
"3372_6_14G",6,3372,4,7,2021
"3400_6_8E",6,3400,5,7,2021
"3454_6_15H",6,3454,4,5,2021
"3456_6_13B",6,3456,3,6,2021
"3466_6_19B",6,3466,3,5,2021
"3489_6_13B",6,3489,4,6,2021
"3518_6_10I",6,3518,3,7,2021
"3630_6_16I",6,3630,3,9,2021
"3630_6_16I",6,3630,3,9,2021
"3643_6_18H",6,3643,4,9,2021
"3648_6_16F",6,3648,4,6,2021
"3669_6_14E",6,3669,4,7,2021
"3725_6_15G",6,3725,5,8,2021
"3729_6_19F",6,3729,5,10,2021
"3729_6_19F",6,3729,5,10,2021
"3733_6_15G",6,3733,5,6,2021
"3743_6_18A",6,3743,6,7,2021
"3748_6_5E",6,3748,2,6,2021
"3753_6_11A",6,3753,5,6,2021
"3773_6_19F",6,3773,5,6,2021
"3777_6_15G",6,3777,5,6,2021
"3887_6_16D",6,3887,5,7,2021
"3918_6_7C",6,3918,5,5,2021
"3089_7_5I",7,3089,3,5,2021
"3298_7_9C",7,3298,3,6,2021
"3450_7_4H",7,3450,3,5,2021
"3453_7_0C",7,3453,2,5,2021
