"year","plantid","plot","survey.period","init.doy"
2021,"3151_1_8H",1,4,124
2021,"3151_1_8H",1,4,124
2021,"3195_1_16B",1,3,117
2021,"3365_1_0J",1,6,138
2021,"3410_1_4J",1,4,124
2021,"3410_1_4J",1,4,124
2021,"3418_1_18E",1,4,124
2021,"3434_1_19F",1,5,131
2021,"3525_1_0E",1,4,124
2021,"3525_1_0E",1,6,138
2021,"3527_1_0H",1,5,131
2021,"3543_1_2F",1,3,117
2021,"3543_1_2F",1,3,117
2021,"3543_1_2F",1,6,138
2021,"3543_1_2F",1,6,138
2021,"3567_1_3I",1,3,117
2021,"3567_1_3I",1,3,117
2021,"3567_1_3I",1,6,138
2021,"3567_1_3I",1,6,138
2021,"3583_1_1I",1,4,124
2021,"3599_1_0I",1,4,124
2021,"3608_1_3D",1,5,131
2021,"3610_1_0C",1,5,131
2021,"3610_1_0C",1,5,131
2021,"3610_1_0C",1,5,131
2021,"3611_1_7I",1,4,124
2021,"3741_1_5I",1,4,124
2021,"3779_1_14B",1,3,117
2021,"3782_1_0J",1,4,124
2021,"3782_1_0J",1,6,138
2021,"3821_1_4A",1,5,131
2021,"3821_1_4A",1,5,131
2021,"3053_2_14B",2,4,124
2021,"3155_2_16A",2,3,117
2021,"3155_2_16A",2,3,117
2021,"3156_2_11E",2,3,117
2021,"3156_2_11E",2,3,117
2021,"3156_2_11E",2,4,124
2021,"3156_2_11E",2,4,124
2021,"3157_2_18E",2,5,131
2021,"3157_2_18E",2,5,131
2021,"3159_2_13H",2,3,117
2021,"3159_2_13H",2,5,131
2021,"3159_2_13H",2,5,131
2021,"3162_2_11I",2,3,117
2021,"3163_2_11D",2,6,138
2021,"3163_2_11D",2,4,124
2021,"3164_2_14B",2,3,117
2021,"3164_2_14B",2,3,117
2021,"3164_2_14B",2,4,124
2021,"3164_2_14B",2,4,124
2021,"3166_2_12B",2,5,131
2021,"3167_2_15B",2,5,131
2021,"3167_2_15B",2,4,124
2021,"3167_2_15B",2,5,131
2021,"3168_2_13J",2,3,117
2021,"3172_2_17A",2,3,117
2021,"3172_2_17A",2,3,117
2021,"3175_2_15A",2,4,124
2021,"3175_2_15A",2,4,124
2021,"3184_2_9G",2,4,124
2021,"3185_2_19B",2,5,131
2021,"3186_2_18D",2,6,138
2021,"3186_2_18D",2,6,138
2021,"3352_2_19H",2,5,131
2021,"3352_2_19H",2,4,124
2021,"3502_2_8B",2,4,124
2021,"3519_2_9G",2,3,117
2021,"3523_2_2D",2,4,124
2021,"3531_2_9B",2,3,117
2021,"3539_2_6D",2,4,124
2021,"3550_2_9I",2,3,117
2021,"3584_2_7F",2,5,131
2021,"3585_2_3C",2,4,124
2021,"3597_2_7H",2,3,117
2021,"3602_2_2B",2,4,124
2021,"3703_2_7C",2,5,131
2021,"3703_2_7C",2,5,131
2021,"3751_2_8A",2,3,117
