"year","plantid","plot","survey.date","survey.period","varb","init.doy"
2021,"3151_1_8H",1,2021-05-07,4,"new",124
2021,"3195_1_16B",1,2021-04-30,3,"new",117
2021,"3195_1_16B",1,2021-06-04,8,"lost",152
2021,"3365_1_0J",1,2021-05-20,6,"new",138
2021,"3410_1_4J",1,2021-05-07,4,"new",124
2021,"3418_1_18E",1,2021-04-30,3,"new",117
2021,"3434_1_19F",1,2021-05-13,5,"new",131
2021,"3434_1_19F",1,2021-06-14,10,"lost",166
2021,"3525_1_0E",1,2021-05-07,4,"new",124
2021,"3525_1_0E",1,2021-05-20,6,"new",138
2021,"3527_1_0H",1,2021-05-13,5,"new",131
2021,"3527_1_0H",1,2021-05-20,6,"lost",138
2021,"3543_1_2F",1,2021-04-30,3,"new",117
2021,"3543_1_2F",1,2021-05-07,4,"new",124
2021,"3543_1_2F",1,2021-06-04,8,"lost",152
2021,"3567_1_3I",1,2021-04-30,3,"new",117
2021,"3567_1_3I",1,2021-05-07,4,"new",124
2021,"3567_1_3I",1,2021-06-04,8,"lost",152
2021,"3583_1_1I",1,2021-05-07,4,"new",124
2021,"3599_1_0I",1,2021-05-07,4,"new",124
2021,"3599_1_0I",1,2021-05-27,7,"lost",145
2021,"3608_1_3D",1,2021-05-13,5,"new",131
2021,"3608_1_3D",1,2021-06-04,8,"lost",152
2021,"3610_1_0C",1,2021-05-13,5,"new",131
2021,"3610_1_0C",1,2021-05-13,5,"new",131
2021,"3610_1_0C",1,2021-05-13,5,"new",131
2021,"3610_1_0C",1,2021-06-04,8,"lost",152
2021,"3611_1_7I",1,2021-05-07,4,"new",124
2021,"3741_1_5I",1,2021-05-07,4,"new",124
2021,"3741_1_5I",1,2021-06-14,10,"lost",166
2021,"3779_1_14B",1,2021-04-30,3,"new",117
2021,"3779_1_14B",1,2021-06-04,8,"lost",152
2021,"3782_1_0J",1,2021-05-07,4,"new",124
2021,"3782_1_0J",1,2021-05-13,5,"new",131
2021,"3782_1_0J",1,2021-06-04,8,"lost",152
2021,"3821_1_4A",1,2021-05-13,5,"new",131
2021,"3821_1_4A",1,2021-05-13,5,"new",131
2021,"3821_1_4A",1,2021-06-04,8,"lost",152
2021,"3053_2_14B",2,2021-05-07,4,"new",124
2021,"3053_2_14B",2,2021-05-07,4,"new",124
2021,"3053_2_14B",2,2021-05-14,5,"lost",131
2021,"3053_2_14B",2,2021-05-14,5,"lost",131
2021,"3155_2_16A",2,2021-04-30,3,"new",117
2021,"3155_2_16A",2,2021-05-07,4,"lost",124
2021,"3156_2_11E",2,2021-04-30,3,"new",117
2021,"3156_2_11E",2,2021-04-30,3,"new",117
2021,"3156_2_11E",2,2021-05-27,7,"lost",145
2021,"3156_2_11E",2,2021-05-27,7,"lost",145
2021,"3157_2_18E",2,2021-05-14,5,"new",131
2021,"3157_2_18E",2,2021-05-14,5,"new",131
2021,"3157_2_18E",2,2021-06-04,8,"lost",152
2021,"3159_2_13H",2,2021-04-30,3,"new",117
2021,"3159_2_13H",2,2021-04-30,3,"new",117
2021,"3159_2_13H",2,2021-05-07,4,"new",124
2021,"3159_2_13H",2,2021-05-20,6,"lost",138
2021,"3159_2_13H",2,2021-05-27,7,"lost",145
2021,"3162_2_11I",2,2021-04-30,3,"new",117
2021,"3162_2_11I",2,2021-05-07,4,"lost",124
2021,"3163_2_11D",2,2021-05-07,4,"new",124
2021,"3163_2_11D",2,2021-05-14,5,"new",131
2021,"3164_2_14B",2,2021-04-30,3,"new",117
2021,"3164_2_14B",2,2021-04-30,3,"new",117
2021,"3164_2_14B",2,2021-05-20,6,"lost",138
2021,"3164_2_14B",2,2021-05-20,6,"lost",138
2021,"3166_2_12B",2,2021-05-07,4,"new",124
2021,"3166_2_12B",2,2021-05-27,7,"lost",145
2021,"3167_2_15B",2,2021-05-07,4,"new",124
2021,"3167_2_15B",2,2021-05-14,5,"new",131
2021,"3167_2_15B",2,2021-05-14,5,"new",131
2021,"3167_2_15B",2,2021-05-27,7,"lost",145
2021,"3168_2_13J",2,2021-04-30,3,"new",117
2021,"3168_2_13J",2,2021-05-20,6,"lost",138
2021,"3172_2_17A",2,2021-04-30,3,"new",117
2021,"3172_2_17A",2,2021-05-07,4,"lost",124
2021,"3175_2_15A",2,2021-05-07,4,"new",124
2021,"3184_2_9G",2,2021-05-07,4,"new",124
2021,"3185_2_19B",2,2021-05-14,5,"new",131
2021,"3186_2_18D",2,2021-05-20,6,"new",138
2021,"3352_2_19H",2,2021-05-07,4,"new",124
2021,"3352_2_19H",2,2021-05-07,4,"new",124
2021,"3352_2_19H",2,2021-06-04,8,"lost",152
2021,"3502_2_8B",2,2021-04-30,3,"new",117
2021,"3519_2_9G",2,2021-04-30,3,"new",117
2021,"3523_2_2D",2,2021-04-30,3,"new",117
2021,"3531_2_9B",2,2021-04-30,3,"new",117
2021,"3531_2_9B",2,2021-06-04,8,"lost",152
2021,"3539_2_6D",2,2021-04-30,3,"new",117
2021,"3550_2_9I",2,2021-04-30,3,"new",117
2021,"3550_2_9I",2,2021-06-04,8,"lost",152
2021,"3584_2_7F",2,2021-05-07,4,"new",124
2021,"3584_2_7F",2,2021-05-14,5,"new",131
2021,"3584_2_7F",2,2021-05-14,5,"lost",131
2021,"3585_2_3C",2,2021-05-07,4,"new",124
2021,"3597_2_7H",2,2021-04-30,3,"new",117
2021,"3597_2_7H",2,2021-06-04,8,"lost",152
2021,"3602_2_2B",2,2021-05-07,4,"new",124
2021,"3703_2_7C",2,2021-05-07,4,"new",124
2021,"3751_2_8A",2,2021-04-30,3,"new",117
2021,"3841_2_1C",2,2021-05-07,4,"new",124
2021,"3841_2_1C",2,2021-05-20,6,"lost",138
2021,"3965_2_11A",2,2021-04-30,3,"new",117
2021,"3965_2_11A",2,2021-05-14,5,"new",131
2021,"3965_2_11A",2,2021-06-04,8,"lost",152
2021,"3304_3_3B",3,2021-04-30,3,"new",117
2021,"3349_3_1F",3,2021-04-30,3,"new",117
2021,"3759_3_15B",3,2021-04-30,3,"new",117
2021,"3797_3_4I",3,2021-05-07,4,"new",124
2021,"2230_4_10J",4,2021-05-07,4,"new",124
2021,"2230_4_10J",4,2021-05-07,4,"new",124
2021,"3064_4_1H",4,2021-05-07,4,"new",124
2021,"3090_4_18P",4,2021-04-30,3,"new",117
2021,"3090_4_18P",4,2021-04-30,3,"new",117
2021,"3090_4_18P",4,2021-05-20,6,"lost",138
2021,"3122_4_8J",4,2021-05-20,6,"new",138
2021,"3182_4_16H",4,2021-05-07,4,"new",124
2021,"3321_4_16L",4,2021-04-30,3,"new",117
2021,"3321_4_16L",4,2021-04-30,3,"new",117
2021,"3321_4_16L",4,2021-05-07,4,"new",124
2021,"3321_4_16L",4,2021-05-20,6,"lost",138
2021,"3321_4_16L",4,2021-05-20,6,"lost",138
2021,"3460_4_3J",4,2021-05-20,6,"new",138
2021,"3555_4_11T",4,2021-05-14,5,"new",131
2021,"3634_4_18O",4,2021-04-30,3,"new",117
2021,"3634_4_18O",4,2021-05-20,6,"lost",138
2021,"3730_4_0I",4,2021-05-07,4,"new",124
2021,"3732_4_16M",4,2021-05-07,4,"new",124
2021,"3735_4_16M",4,2021-05-07,4,"new",124
2021,"3750_4_12P",4,2021-04-30,3,"new",117
2021,"3067_5_16F",5,2021-04-30,3,"new",117
2021,"3093_5_14A",5,2021-04-22,2,"new",110
2021,"3124_5_16D",5,2021-04-22,2,"new",110
2021,"3124_5_16D",5,2021-06-04,8,"lost",152
2021,"3127_5_16B",5,2021-04-22,2,"new",110
2021,"3127_5_16B",5,2021-05-20,6,"lost",138
2021,"3135_5_18D",5,2021-04-22,2,"new",110
2021,"3135_5_18D",5,2021-06-04,8,"lost",152
2021,"3144_5_14J",5,2021-04-30,3,"new",117
2021,"3144_5_14J",5,2021-05-14,5,"lost",131
2021,"3197_5_3A",5,2021-04-30,3,"new",117
2021,"3197_5_3A",5,2021-04-30,3,"new",117
2021,"3200_5_4F",5,2021-04-22,2,"new",110
2021,"3200_5_4F",5,2021-05-27,7,"lost",145
2021,"3470_5_13I",5,2021-04-30,3,"new",117
2021,"3470_5_13I",5,2021-05-14,5,"lost",131
2021,"3473_5_18G",5,2021-05-07,4,"new",124
2021,"3473_5_18G",5,2021-05-20,6,"lost",138
2021,"3476_5_12E",5,2021-04-30,3,"new",117
2021,"3476_5_12E",5,2021-05-20,6,"lost",138
2021,"3488_5_13I",5,2021-04-22,2,"new",110
2021,"3488_5_13I",5,2021-04-22,2,"new",110
2021,"3488_5_13I",5,2021-04-22,2,"new",110
2021,"3488_5_13I",5,2021-05-07,4,"lost",124
2021,"3488_5_13I",5,2021-05-20,6,"lost",138
2021,"3546_5_9F",5,2021-04-22,2,"new",110
2021,"3546_5_9F",5,2021-04-30,3,"lost",117
2021,"3560_5_3B",5,2021-04-30,3,"new",117
2021,"3560_5_3B",5,2021-05-14,5,"new",131
2021,"3560_5_3B",5,2021-06-04,8,"lost",152
2021,"3615_5_11J",5,2021-05-14,5,"new",131
2021,"3615_5_11J",5,2021-05-14,5,"lost",131
2021,"3644_5_8H",5,2021-04-22,2,"new",110
2021,"3644_5_8H",5,2021-04-30,3,"new",117
2021,"3644_5_8H",5,2021-05-14,5,"lost",131
