"year","plantid","plot","survey.date","survey.period","varb","init.doy"
2021,"3151_1",1,2021-05-07,4,"new",125
2021,"3195_1",1,2021-04-30,3,"new",118
2021,"3195_1",1,2021-06-04,8,"lost",153
2021,"3365_1",1,2021-05-20,6,"new",139
2021,"3410_1",1,2021-05-07,4,"new",125
2021,"3418_1",1,2021-04-30,3,"new",118
2021,"3434_1",1,2021-05-13,5,"new",132
2021,"3434_1",1,2021-06-14,10,"lost",167
2021,"3525_1",1,2021-05-07,4,"new",125
2021,"3525_1",1,2021-05-20,6,"new",139
2021,"3527_1",1,2021-05-13,5,"new",132
2021,"3527_1",1,2021-05-20,6,"lost",139
2021,"3543_1",1,2021-04-30,3,"new",118
2021,"3543_1",1,2021-05-07,4,"new",125
2021,"3543_1",1,2021-06-04,8,"lost",153
2021,"3567_1",1,2021-04-30,3,"new",118
2021,"3567_1",1,2021-05-07,4,"new",125
2021,"3567_1",1,2021-06-04,8,"lost",153
2021,"3583_1",1,2021-05-07,4,"new",125
2021,"3599_1",1,2021-05-07,4,"new",125
2021,"3599_1",1,2021-05-27,7,"lost",146
2021,"3608_1",1,2021-05-13,5,"new",132
2021,"3608_1",1,2021-06-04,8,"lost",153
2021,"3610_1",1,2021-05-13,5,"new",132
2021,"3610_1",1,2021-05-13,5,"new",132
2021,"3610_1",1,2021-05-13,5,"new",132
2021,"3610_1",1,2021-06-04,8,"lost",153
2021,"3611_1",1,2021-05-07,4,"new",125
2021,"3741_1",1,2021-05-07,4,"new",125
2021,"3741_1",1,2021-06-14,10,"lost",167
2021,"3779_1",1,2021-04-30,3,"new",118
2021,"3779_1",1,2021-06-04,8,"lost",153
2021,"3782_1",1,2021-05-07,4,"new",125
2021,"3782_1",1,2021-05-13,5,"new",132
2021,"3782_1",1,2021-06-04,8,"lost",153
2021,"3821_1",1,2021-05-13,5,"new",132
2021,"3821_1",1,2021-05-13,5,"new",132
2021,"3821_1",1,2021-06-04,8,"lost",153
2021,"3053_2",2,2021-05-07,4,"new",125
2021,"3053_2",2,2021-05-07,4,"new",125
2021,"3053_2",2,2021-05-14,5,"lost",132
2021,"3053_2",2,2021-05-14,5,"lost",132
2021,"3155_2",2,2021-04-30,3,"new",118
2021,"3155_2",2,2021-05-07,4,"lost",125
2021,"3156_2",2,2021-04-30,3,"new",118
2021,"3156_2",2,2021-04-30,3,"new",118
2021,"3156_2",2,2021-05-27,7,"lost",146
2021,"3156_2",2,2021-05-27,7,"lost",146
2021,"3157_2",2,2021-05-14,5,"new",132
2021,"3157_2",2,2021-05-14,5,"new",132
2021,"3157_2",2,2021-06-04,8,"lost",153
2021,"3159_2",2,2021-04-30,3,"new",118
2021,"3159_2",2,2021-04-30,3,"new",118
2021,"3159_2",2,2021-05-07,4,"new",125
2021,"3159_2",2,2021-05-20,6,"lost",139
2021,"3159_2",2,2021-05-27,7,"lost",146
2021,"3162_2",2,2021-04-30,3,"new",118
2021,"3162_2",2,2021-05-07,4,"lost",125
2021,"3163_2",2,2021-05-07,4,"new",125
2021,"3163_2",2,2021-05-14,5,"new",132
2021,"3164_2",2,2021-04-30,3,"new",118
2021,"3164_2",2,2021-04-30,3,"new",118
2021,"3164_2",2,2021-05-20,6,"lost",139
2021,"3164_2",2,2021-05-20,6,"lost",139
2021,"3166_2",2,2021-05-07,4,"new",125
2021,"3166_2",2,2021-05-27,7,"lost",146
2021,"3167_2",2,2021-05-07,4,"new",125
2021,"3167_2",2,2021-05-14,5,"new",132
2021,"3167_2",2,2021-05-14,5,"new",132
2021,"3167_2",2,2021-05-27,7,"lost",146
2021,"3168_2",2,2021-04-30,3,"new",118
2021,"3168_2",2,2021-05-20,6,"lost",139
2021,"3172_2",2,2021-04-30,3,"new",118
2021,"3172_2",2,2021-05-07,4,"lost",125
2021,"3175_2",2,2021-05-07,4,"new",125
2021,"3184_2",2,2021-05-07,4,"new",125
2021,"3185_2",2,2021-05-14,5,"new",132
2021,"3186_2",2,2021-05-20,6,"new",139
2021,"3352_2",2,2021-05-07,4,"new",125
2021,"3352_2",2,2021-05-07,4,"new",125
2021,"3352_2",2,2021-06-04,8,"lost",153
2021,"3502_2",2,2021-04-30,3,"new",118
2021,"3519_2",2,2021-04-30,3,"new",118
2021,"3523_2",2,2021-04-30,3,"new",118
2021,"3531_2",2,2021-04-30,3,"new",118
