"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2021,"3410_1",1,"3410","1",56,";seed status;"
2021,"3567_1",1,"3567","1",64,";green;green or mostly green, still stuck together"
2021,"3567_1",1,"3567","2",0,"dead;bw_stripes;black and white, but still stuck together"
2021,"3583_1",1,"3583","1",26,";splitting;seeds splitting apart, starting to fall"
2021,"3365_1",1,"3365","1",1,";loose;seeds mostly fallen into bag"
2021,"3821_1",1,"3821","1",136,";gb;mix of green and brown seeds.  Brown seeds are unhealthy (not just dry), look maybe rotten"
2021,"3821_1",1,"3821","2",0,"dead;;"
2021,"3418_1",1,"3418","1",10,";;"
2021,"3602_2",2,"3602","1",24,"Plot 2 seed status: ~half are green and half are b/w stripes;;"
2021,"3523_2",2,"3523","1",34,";;"
2021,"3519_2",2,"3519","1",40,";;"
2021,"3502_2",2,"3502","1",44,";;"
2021,"3157_2",2,"3157","1",70,";;"
2021,"3157_2",2,"3157","2",0,"dead;;"
2021,"3185_2",2,"3185","1",30,";;"
2021,"3304_3",3,"3304","1",26,";;"
2021,"3349_3",3,"3349","1",30,";;"
2021,"3797_3",3,"3797","1",0,"dead;;"
2021,"3759_3",3,"3759","1",10,";;"
2021,"3197_5",5,"3197","1",64,";;"
2021,"3197_5",5,"3197","2",34,";;"
2021,"3488_5",5,"3488","1",34,"first one to be ready (collected 06/10/21);;"
2021,"5045_5",5,"5045","1",36,";;"
2021,"3093_5",5,"3093","1",6,";;"
2021,"3833_5",5,"3833","1",17,";;"
2021,"3067_5",5,"3067","1",27,";;"
2021,"3730_4",4,"3730","1",38,";;"
2021,"3460_4",4,"3460","1",74,";;"
2021,"3122_4",4,"3122","1",10,";;"
2021,"2230_4",4,"2230","1",8,"8 big seeds, rest shrivelled/dead;;"
2021,"2230_4",4,"2230","2",0,";;"
2021,"3555_4",4,"3555","1",42,";;"
2021,"3090_4",4,"3090","1",54,";;"
2021,"3090_4",4,"3090","2",0,"umbel eaten;;"
2021,"3070_6",6,"3070","1",92,";;"
2021,"3070_6",6,"3070","2",12,";;"
2021,"3070_6",6,"3070","3",0,"dead;;"
2021,"3748_6",6,"3748","1",0,"dead;;"
2021,"3748_6",6,"3748","2",0,"dead;;"
2021,"3928_6",6,"3928","1",38,"6 green, 32 brown. brown seeds were rotten;;"
2021,"3753_6",6,"3753","1",72,"54 green, 18 brown. brown seeds were rotten;;"
2021,"3141_6",6,"3141","1",142,";;"
2021,"3141_6",6,"3141","2",0,"dead;;"
2021,"3141_6",6,"3141","3",0,"dead;;"
2021,"3466_6",6,"3466","1",10,";;"
2021,"3453_7",7,"3453","1",28,";;"
2021,"3453_7",7,"3453","2",0,"dead;;"
2021,"3298_7",7,"3298","1",36,";;"
2021,"3298_7",7,"3298","2",0,"dead;;"
2021,"3393_15",15,"3393","1",6,";;"
2021,"3052_15",15,"3052","1",28,";;"
2021,"3892_15",15,"3892","1",2,";;"
2021,"3423_15",15,"3423","1",6,"Was not a bagged plant, but seeds easy to count;;"
2021,"3686_15",15,"3686","1",32,";;"
2021,"3686_15",15,"3686","2",14,";;"
2021,"3481_15",15,"3481","1",6,";;"
2021,"3740_15",15,"3740","1",17,";;"
2021,"3436_15",15,"3436","1",26,"Was not a bagged plant, but seeds easy to count;;"
2021,"3143_9",9,"3143","1",28,";;"
2021,"3143_9",9,"3143","2",0,"dead;;"
2021,"3190_10",10,"3190","1",6,";;"
2021,"3135_12",12,"3135","1",54,";;"
2021,"3135_12",12,"3135","2",0,"dead;;"
2021,"3578_12",12,"3578","1",52,";;"
2021,"3578_12",12,"3578","2",0,"dead;;"
2021,"3536_12",12,"3536","1",72,";;"
2021,"3536_12",12,"3536","2",0,"dead;;"
2021,"3432_14",14,"3432","1",4,";;"
2021,"3661_14",14,"3661","1",22,";;"
2021,"3305_14",14,"3305","1",4,";;"
