"year","plantid","plot","umbel.no","no.seeds","seed.notes","in.seed","phen.umbels","phen.julis","in.phen"
2021,"3151_1",1,,,,FALSE,1,"125",TRUE
2021,"3195_1",1,,,,FALSE,1,"118",TRUE
2021,"3365_1",1,1,1,";loose;seeds mostly fallen into bag",TRUE,1,"139",TRUE
2021,"3410_1",1,1,56,";seed status;",TRUE,1,"125",TRUE
2021,"3418_1",1,1,10,";;",TRUE,1,"118",TRUE
2021,"3434_1",1,,,,FALSE,1,"132",TRUE
2021,"3525_1",1,,,,FALSE,2,"125; 139",TRUE
2021,"3527_1",1,,,,FALSE,1,"132",TRUE
2021,"3543_1",1,,,,FALSE,2,"118; 125",TRUE
2021,"3567_1",1,1,64,";green;green or mostly green, still stuck together",TRUE,2,"118; 125",TRUE
2021,"3567_1",1,2,0,"dead;bw_stripes;black and white, but still stuck together",TRUE,2,"118; 125",TRUE
2021,"3583_1",1,1,26,";splitting;seeds splitting apart, starting to fall",TRUE,1,"125",TRUE
2021,"3599_1",1,,,,FALSE,1,"125",TRUE
2021,"3608_1",1,,,,FALSE,1,"132",TRUE
2021,"3610_1",1,,,,FALSE,3,"132; 132; 132",TRUE
2021,"3611_1",1,,,,FALSE,1,"125",TRUE
2021,"3741_1",1,,,,FALSE,1,"125",TRUE
2021,"3779_1",1,,,,FALSE,1,"118",TRUE
2021,"3782_1",1,,,,FALSE,2,"125; 132",TRUE
2021,"3821_1",1,2,0,"dead;;",TRUE,2,"132; 132",TRUE
2021,"3821_1",1,1,136,";gb;mix of green and brown seeds.  Brown seeds are unhealthy (not just dry), look maybe rotten",TRUE,2,"132; 132",TRUE
2021,"3053_2",2,,,,FALSE,2,"125; 125",TRUE
2021,"3155_2",2,,,,FALSE,1,"118",TRUE
2021,"3156_2",2,,,,FALSE,2,"118; 118",TRUE
2021,"3157_2",2,2,0,"dead;;",TRUE,2,"132; 132",TRUE
2021,"3157_2",2,1,70,";;",TRUE,2,"132; 132",TRUE
2021,"3159_2",2,,,,FALSE,3,"118; 118; 125",TRUE
2021,"3162_2",2,,,,FALSE,1,"118",TRUE
2021,"3163_2",2,,,,FALSE,2,"125; 132",TRUE
2021,"3164_2",2,,,,FALSE,2,"118; 118",TRUE
2021,"3166_2",2,,,,FALSE,1,"125",TRUE
2021,"3167_2",2,,,,FALSE,3,"125; 132; 132",TRUE
2021,"3168_2",2,,,,FALSE,1,"118",TRUE
2021,"3172_2",2,,,,FALSE,1,"118",TRUE
2021,"3175_2",2,,,,FALSE,1,"125",TRUE
2021,"3184_2",2,,,,FALSE,1,"125",TRUE
2021,"3185_2",2,1,30,";;",TRUE,1,"132",TRUE
2021,"3186_2",2,,,,FALSE,1,"139",TRUE
2021,"3352_2",2,,,,FALSE,2,"125; 125",TRUE
2021,"3502_2",2,1,44,";;",TRUE,1,"118",TRUE
2021,"3519_2",2,1,40,";;",TRUE,1,"118",TRUE
2021,"3523_2",2,1,34,";;",TRUE,1,"118",TRUE
2021,"3531_2",2,,,,FALSE,1,"118",TRUE
2021,"3539_2",2,,,,FALSE,1,"118",TRUE
2021,"3550_2",2,,,,FALSE,1,"118",TRUE
2021,"3584_2",2,,,,FALSE,2,"125; 132",TRUE
2021,"3585_2",2,,,,FALSE,1,"125",TRUE
2021,"3597_2",2,,,,FALSE,1,"118",TRUE
2021,"3602_2",2,1,24,"Plot 2 seed status: ~half are green and half are b/w stripes;;",TRUE,1,"125",TRUE
2021,"3703_2",2,,,,FALSE,1,"125",TRUE
2021,"3751_2",2,,,,FALSE,1,"118",TRUE
2021,"3841_2",2,,,,FALSE,1,"125",TRUE
2021,"3965_2",2,,,,FALSE,2,"118; 132",TRUE
2021,"3304_3",3,1,26,";;",TRUE,1,"118",TRUE
2021,"3349_3",3,1,30,";;",TRUE,1,"118",TRUE
2021,"3759_3",3,1,10,";;",TRUE,1,"118",TRUE
2021,"3797_3",3,1,0,"dead;;",TRUE,1,"125",TRUE
2021,"2230_4",4,1,8,"8 big seeds, rest shrivelled/dead;;",TRUE,2,"125; 125",TRUE
2021,"2230_4",4,2,0,";;",TRUE,2,"125; 125",TRUE
2021,"3064_4",4,,,,FALSE,1,"125",TRUE
2021,"3090_4",4,2,0,"umbel eaten;;",TRUE,2,"118; 118",TRUE
2021,"3090_4",4,1,54,";;",TRUE,2,"118; 118",TRUE
2021,"3122_4",4,1,10,";;",TRUE,1,"139",TRUE
2021,"3182_4",4,,,,FALSE,1,"125",TRUE
2021,"3321_4",4,,,,FALSE,3,"118; 118; 125",TRUE
2021,"3460_4",4,1,74,";;",TRUE,1,"139",TRUE
2021,"3555_4",4,1,42,";;",TRUE,1,"132",TRUE
2021,"3563_4",4,,,,FALSE,4,"118; 125; 139; 139",TRUE
2021,"3634_4",4,,,,FALSE,1,"118",TRUE
2021,"3730_4",4,1,38,";;",TRUE,1,"125",TRUE
2021,"3732_4",4,,,,FALSE,1,"125",TRUE
2021,"3735_4",4,,,,FALSE,1,"125",TRUE
2021,"3750_4",4,,,,FALSE,1,"118",TRUE
2021,"3067_5",5,1,27,";;",TRUE,1,"118",TRUE
2021,"3093_5",5,1,6,";;",TRUE,1,"111",TRUE
2021,"3124_5",5,,,,FALSE,1,"111",TRUE
2021,"3127_5",5,,,,FALSE,1,"111",TRUE
2021,"3135_5",5,,,,FALSE,1,"111",TRUE
2021,"3144_5",5,,,,FALSE,1,"118",TRUE
2021,"3197_5",5,1,64,";;",TRUE,2,"118; 118",TRUE
2021,"3197_5",5,2,34,";;",TRUE,2,"118; 118",TRUE
2021,"3200_5",5,,,,FALSE,1,"111",TRUE
2021,"3470_5",5,,,,FALSE,1,"118",TRUE
2021,"3473_5",5,,,,FALSE,1,"125",TRUE
2021,"3476_5",5,,,,FALSE,1,"118",TRUE
2021,"3488_5",5,1,34,"first one to be ready (collected 06/10/21);;",TRUE,3,"111; 111; 111",TRUE
2021,"3546_5",5,,,,FALSE,1,"111",TRUE
2021,"3560_5",5,,,,FALSE,2,"118; 132",TRUE
2021,"3615_5",5,,,,FALSE,1,"132",TRUE
2021,"3644_5",5,,,,FALSE,2,"111; 118",TRUE
