"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2021,"2230_4","2230_4_10J",2,0,124,"2230_4_10J","2230_4_10J",2,3,19.5,4,"irrigated",0,NA,NA,4.06902675423781,FALSE,"2230_4_10J",8
2021,"2230_4","2230_4_10J",2,0,124,"2230_4_10J","2230_4_10J",2,3,19.5,4,"irrigated",0,NA,NA,4.06902675423781,FALSE,"2230_4_10J",0
2021,"3014_15","3014_15_9I",3,2,135.666666666667,"3014_15_9I","3014_15_9I",2,5,11,15,"drought",0,2,12.7,4.00733318523247,FALSE,NA,NA
2021,"3018_13","3018_13_10G",1,0,124,"3018_13_10G","3018_13_10G",1,3,15.5,13,"control",0,NA,NA,3.83945231259331,FALSE,NA,NA
2021,"3023_13","3023_13_16G",1,0,124,"3023_13_16G","3023_13_16G",1,3,20,13,"control",0,NA,NA,4.0943445622221,FALSE,NA,NA
2021,"3047_15","3047_15_14J",2,2,113.5,"3047_15_14J","3047_15_14J",2,2,13.5,15,"drought",0,NA,NA,3.29583686600433,FALSE,NA,NA
2021,"3052_15","3052_15_3J",1,0,131,"3052_15_3J","3052_15_3J",1,3,19.5,15,"drought",1,2,17.8,4.06902675423781,TRUE,"3052_15_3J",28
2021,"3053_2","3053_2_14B",2,2,124,"3053_2_14B","3053_2_14B",2,1,15,2,"control",0,NA,NA,2.70805020110221,FALSE,NA,NA
2021,"3064_4","3064_4_1H",1,0,124,"3064_4_1H","3064_4_1H",1,3,19.5,4,"irrigated",1,4,12.3,4.06902675423781,TRUE,NA,NA
2021,"3065_15","3065_15_2F",6,5,124,"3065_15_2F","3065_15_2F",5,10,13,15,"drought",3,9,13.2,4.86753445045558,TRUE,NA,NA
2021,"3067_5","3067_5_16F",1,0,117,"3067_5_16F","3067_5_16F",1,2,12,5,"drought",0,NA,NA,3.17805383034795,FALSE,"3067_5_16F",27
2021,"3068_15","3068_15_6I",1,1,117,"3068_15_6I","3068_15_6I",1,1,17,15,"drought",0,1,12.4,2.83321334405622,FALSE,NA,NA
2021,"3070_6","3070_6_4G",3,1,124,"3070_6_4G","3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE,"3070_6_4G",0
2021,"3070_6","3070_6_4G",3,1,124,"3070_6_4G","3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE,"3070_6_4G",92
2021,"3070_6","3070_6_4G",3,1,124,"3070_6_4G","3070_6_4G",3,5,17,6,"irrigated",1,4,15.4,4.44265125649032,TRUE,"3070_6_4G",12
2021,"3083_15","3083_15_7I",2,2,124,"3083_15_7I","3083_15_7I",1,5,11.5,15,"drought",0,3,11.6,4.0517849478033,FALSE,NA,NA
2021,"3089_7","3089_7_5I",1,1,117,"3089_7_5I","3089_7_5I",1,4,15.5,7,"drought",1,1,11.5,4.12713438504509,TRUE,NA,NA
2021,"3090_4","3090_4_18P",2,1,117,"3090_4_18P","3090_4_18P",2,9,19,4,"irrigated",0,0,NA,5.14166355650266,FALSE,"3090_4_18P",0
2021,"3090_4","3090_4_18P",2,1,117,"3090_4_18P","3090_4_18P",2,9,19,4,"irrigated",0,0,NA,5.14166355650266,FALSE,"3090_4_18P",54
2021,"3093_5","3093_5_14A",1,0,110,"3093_5_14A","3093_5_14A",1,3,15.5,5,"drought",0,NA,NA,3.83945231259331,FALSE,"3093_5_14A",6
2021,"3095_15","3095_15_6J",2,2,117,"3095_15_6J","3095_15_6J",2,4,17.5,15,"drought",1,5,16,4.24849524204936,TRUE,NA,NA
2021,"3116_15","3116_15_16C",4,2,118.75,"3116_15_16C","3116_15_16C",4,5,16,15,"drought",0,0,NA,4.38202663467388,FALSE,NA,NA
2021,"3122_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3122_4_8J",10
2021,"3124_5","3124_5_16D",1,1,110,"3124_5_16D","3124_5_16D",1,2,18,5,"drought",0,NA,NA,3.58351893845611,FALSE,NA,NA
2021,"3127_5","3127_5_16B",1,1,110,"3127_5_16B","3127_5_16B",1,2,12,5,"drought",0,NA,NA,3.17805383034795,FALSE,NA,NA
2021,"3128_13","3128_13_13H",1,0,131,"3128_13_13H","3128_13_13H",1,3,16,13,"control",0,2,15.2,3.87120101090789,FALSE,NA,NA
2021,"3135_12","3135_12_7G",2,1,124,"3135_12_7G","3135_12_7G",2,3,9,12,"irrigated",2,2,10.2,3.29583686600433,TRUE,"3135_12_7G",0
2021,"3135_12","3135_12_7G",2,1,124,"3135_12_7G","3135_12_7G",2,3,9,12,"irrigated",2,2,10.2,3.29583686600433,TRUE,"3135_12_7G",54
2021,"3135_5","3135_5_18D",1,1,110,"3135_5_18D","3135_5_18D",1,2,9,5,"drought",0,NA,NA,2.89037175789616,FALSE,NA,NA
2021,"3136_6","3136_6_16B",2,1,120.5,"3136_6_16B","3136_6_16B",2,2,13.5,6,"irrigated",2,3,10.8,3.29583686600433,TRUE,NA,NA
2021,"3140_6","3140_6_18F",1,1,117,"3140_6_18F","3140_6_18F",1,4,18,6,"irrigated",0,1,12.1,4.27666611901606,FALSE,NA,NA
2021,"3141_6","3141_6_15E",3,2,119.333333333333,"3141_6_15E","3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE,"3141_6_15E",142
2021,"3141_6","3141_6_15E",3,2,119.333333333333,"3141_6_15E","3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE,"3141_6_15E",0
2021,"3141_6","3141_6_15E",3,2,119.333333333333,"3141_6_15E","3141_6_15E",3,4,14,6,"irrigated",2,4,13.1,4.02535169073515,TRUE,"3141_6_15E",0
2021,"3142_13","3142_13_17A",1,0,131,"3142_13_17A","3142_13_17A",1,3,16,13,"control",0,NA,NA,3.87120101090789,FALSE,NA,NA
2021,"3143_13","3143_13_11A",1,0,124,"3143_13_11A","3143_13_11A",1,2,11,13,"control",0,NA,NA,3.09104245335832,FALSE,NA,NA
2021,"3143_9","3143_9_14T",2,1,127.5,"3143_9_140.95","3143_9_14T",2,3,20,9,"irrigated",3,4,20.1,4.0943445622221,TRUE,"3143_9_14T",28
2021,"3143_9","3143_9_14T",2,1,127.5,"3143_9_140.95","3143_9_14T",2,3,20,9,"irrigated",3,4,20.1,4.0943445622221,TRUE,"3143_9_14T",0
