"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2021,"3410_1_4J",1,"3410","1",56,";seed status;"
2021,"3567_1_3I",1,"3567","1",64,";green;green or mostly green, still stuck together"
2021,"3567_1_3I",1,"3567","2",0,"dead;bw_stripes;black and white, but still stuck together"
2021,"3583_1_1I",1,"3583","1",26,";splitting;seeds splitting apart, starting to fall"
2021,"3365_1_0J",1,"3365","1",1,";loose;seeds mostly fallen into bag"
2021,"3821_1_4A",1,"3821","1",136,";gb;mix of green and brown seeds.  Brown seeds are unhealthy (not just dry), look maybe rotten"
2021,"3821_1_4A",1,"3821","2",0,"dead;;"
2021,"3418_1_18E",1,"3418","1",10,";;"
2021,"3602_2_2B",2,"3602","1",24,"Plot 2 seed status: ~half are green and half are b/w stripes;;"
2021,"3523_2_2D",2,"3523","1",34,";;"
2021,"3519_2_9G",2,"3519","1",40,";;"
2021,"3502_2_8B",2,"3502","1",44,";;"
2021,"3157_2_18E",2,"3157","1",70,";;"
2021,"3157_2_18E",2,"3157","2",0,"dead;;"
2021,"3185_2_19B",2,"3185","1",30,";;"
2021,"3304_3_3B",3,"3304","1",26,";;"
2021,"3349_3_1F",3,"3349","1",30,";;"
2021,"3797_3_4I",3,"3797","1",0,"dead;;"
2021,"3759_3_15B",3,"3759","1",10,";;"
2021,"3197_5_3A",5,"3197","1",64,";;"
2021,"3197_5_3A",5,"3197","2",34,";;"
2021,"3488_5_13J",5,"3488","1",34,"first one to be ready (collected 06/10/21);;"
2021,"5045_5_13C",5,"5045","1",36,";;"
2021,"3093_5_14A",5,"3093","1",6,";;"
2021,"3833_5_16B",5,"3833","1",17,";;"
2021,"3067_5_16F",5,"3067","1",27,";;"
2021,"3730_4_0I",4,"3730","1",38,";;"
2021,"3460_4_3J",4,"3460","1",74,";;"
2021,"3122_4_8J",4,"3122","1",10,";;"
2021,"2230_4_10J",4,"2230","1",8,"8 big seeds, rest shrivelled/dead;;"
2021,"2230_4_10J",4,"2230","2",0,";;"
2021,"3555_4_11T",4,"3555","1",42,";;"
2021,"3090_4_18P",4,"3090","1",54,";;"
2021,"3090_4_18P",4,"3090","2",0,"umbel eaten;;"
2021,"3070_6_4G",6,"3070","1",92,";;"
2021,"3070_6_4G",6,"3070","2",12,";;"
2021,"3070_6_4G",6,"3070","3",0,"dead;;"
2021,"3179_6_5E",6,"3179","1",0,"[tag manually edited; 2022 note; was 3748]"
2021,"3179_6_5E",6,"3179","2",0,"[tag manually edited; 2022 note; was 3748]"
2021,"3916_6_7C",6,"3916","1",38,"[tag manually edited; was 3928]"
2021,"3753_6_11A",6,"3753","1",72,"54 green, 18 brown. brown seeds were rotten;;"
2021,"3141_6_15E",6,"3141","1",142,";;"
2021,"3141_6_15E",6,"3141","2",0,"dead;;"
2021,"3141_6_15E",6,"3141","3",0,"dead;;"
2021,"3466_6_19B",6,"3466","1",10,";;"
2021,"3453_7_0C",7,"3453","1",28,";;"
2021,"3453_7_0C",7,"3453","2",0,"dead;;"
2021,"3296_7_9C",7,"3296","1",36,"[tag manually edited; was 3298]"
2021,"3296_7_9C",7,"3296","2",0,"[tag manually edited; was 3298]"
2021,"3393_15_0J",15,"3393","1",6,";;"
2021,"3052_15_3J",15,"3052","1",28,";;"
2021,"3892_15_0B",15,"3892","1",2,";;"
2021,"3423_15_2I",15,"3423","1",6,"Was not a bagged plant, but seeds easy to count;;"
2021,"3686_15_16H",15,"3686","1",32,";;"
2021,"3686_15_16H",15,"3686","2",14,";;"
2021,"3481_15_15H",15,"3481","1",6,";;"
2021,"3740_15_13J",15,"3740","1",17,";;"
2021,"3436_15_17H",15,"3436","1",26,"Was not a bagged plant, but seeds easy to count;;"
2021,"3143_9_14T",9,"3143","1",28,";;"
2021,"3143_9_14T",9,"3143","2",0,"dead;;"
2021,"3190_10_1B",10,"3190","1",6,";;"
2021,"3135_12_7G",12,"3135","1",54,";;"
2021,"3135_12_7G",12,"3135","2",0,"dead;;"
2021,"3578_12_15A",12,"3578","1",52,";;"
2021,"3578_12_15A",12,"3578","2",0,"dead;;"
2021,"3536_12_18A",12,"3536","1",72,";;"
2021,"3536_12_18A",12,"3536","2",0,"dead;;"
