"size.prev","size.cur","trt","p.size.cur","perturb.param","orig.par.val"
0.5,0.5,"control",0.000161800499842533,"surv_int",0.474077993457209
0.6,0.5,"control",0.000139901996794118,"surv_int",0.474077993457209
0.7,0.5,"control",0.000120581292948515,"surv_int",0.474077993457209
0.8,0.5,"control",0.000103599420496967,"surv_int",0.474077993457209
0.9,0.5,"control",8.87290428722939e-05,"surv_int",0.474077993457209
1,0.5,"control",7.57557015786515e-05,"surv_int",0.474077993457209
1.1,0.5,"control",6.44786734826468e-05,"surv_int",0.474077993457209
1.2,0.5,"control",5.47114779432802e-05,"surv_int",0.474077993457209
1.3,0.5,"control",4.62820759000329e-05,"surv_int",0.474077993457209
1.4,0.5,"control",3.90328041338801e-05,"surv_int",0.474077993457209
1.5,0.5,"control",3.28200875854625e-05,"surv_int",0.474077993457209
1.6,0.5,"control",2.7513971099477e-05,"surv_int",0.474077993457209
1.7,0.5,"control",2.29975095123248e-05,"surv_int",0.474077993457209
1.8,0.5,"control",1.91660518529979e-05,"surv_int",0.474077993457209
1.9,0.5,"control",1.59264518111841e-05,"surv_int",0.474077993457209
2,0.5,"control",1.31962327447824e-05,"surv_int",0.474077993457209
2.1,0.5,"control",1.09027315271405e-05,"surv_int",0.474077993457209
2.2,0.5,"control",8.9822416181152e-06,"surv_int",0.474077993457209
2.3,0.5,"control",7.37917199813126e-06,"surv_int",0.474077993457209
2.4,0.5,"control",6.04523511719802e-06,"surv_int",0.474077993457209
2.5,0.5,"control",4.93867384109848e-06,"surv_int",0.474077993457209
2.6,0.5,"control",4.02353456069456e-06,"surv_int",0.474077993457209
2.7,0.5,"control",3.26899118342281e-06,"surv_int",0.474077993457209
2.8,0.5,"control",2.64872264801425e-06,"surv_int",0.474077993457209
2.9,0.5,"control",2.1403448808681e-06,"surv_int",0.474077993457209
3,0.5,"control",1.72489672245964e-06,"surv_int",0.474077993457209
3.1,0.5,"control",1.38637826533692e-06,"surv_int",0.474077993457209
3.2,0.5,"control",1.111339228465e-06,"surv_int",0.474077993457209
3.3,0.5,"control",8.88514411016987e-07,"surv_int",0.474077993457209
3.4,0.5,"control",7.0850288730894e-07,"surv_int",0.474077993457209
3.5,0.5,"control",5.63487389870273e-07,"surv_int",0.474077993457209
3.6,0.5,"control",4.46990248326143e-07,"surv_int",0.474077993457209
3.7,0.5,"control",3.53662279402726e-07,"surv_int",0.474077993457209
3.8,0.5,"control",2.79101132722267e-07,"surv_int",0.474077993457209
3.9,0.5,"control",2.19695766246538e-07,"surv_int",0.474077993457209
4,0.5,"control",1.72493935677912e-07,"surv_int",0.474077993457209
4.1,0.5,"control",1.35089818411279e-07,"surv_int",0.474077993457209
4.2,0.5,"control",1.05529142234989e-07,"surv_int",0.474077993457209
4.3,0.5,"control",8.2229442014575e-08,"surv_int",0.474077993457209
4.4,0.5,"control",6.39133164751573e-08,"surv_int",0.474077993457209
4.5,0.5,"control",4.95527963273576e-08,"surv_int",0.474077993457209
4.6,0.5,"control",3.83231604296122e-08,"surv_int",0.474077993457209
4.7,0.5,"control",2.95647458976196e-08,"surv_int",0.474077993457209
4.8,0.5,"control",2.27514896216555e-08,"surv_int",0.474077993457209
4.9,0.5,"control",1.74651119707525e-08,"surv_int",0.474077993457209
5,0.5,"control",1.33740086530547e-08,"surv_int",0.474077993457209
5.1,0.5,"control",1.02160543595874e-08,"surv_int",0.474077993457209
5.2,0.5,"control",7.78464288532192e-09,"surv_int",0.474077993457209
5.3,0.5,"control",5.9173940636512e-09,"surv_int",0.474077993457209
5.4,0.5,"control",4.48704936557141e-09,"surv_int",0.474077993457209
5.5,0.5,"control",3.39415675632495e-09,"surv_int",0.474077993457209
5.6,0.5,"control",2.56121272307112e-09,"surv_int",0.474077993457209
5.7,0.5,"control",1.92798659899441e-09,"surv_int",0.474077993457209
5.8,0.5,"control",1.44780065381659e-09,"surv_int",0.474077993457209
5.9,0.5,"control",1.08458005110509e-09,"surv_int",0.474077993457209
6,0.5,"control",8.10520743131378e-10,"surv_int",0.474077993457209
0.5,0.6,"control",0.000282770141161743,"surv_int",0.474077993457209
0.6,0.6,"control",0.000246528920106572,"surv_int",0.474077993457209
0.7,0.6,"control",0.00021424671268467,"surv_int",0.474077993457209
0.8,0.6,"control",0.000185601647639784,"surv_int",0.474077993457209
0.9,0.6,"control",0.000160280455655048,"surv_int",0.474077993457209
1,0.6,"control",0.000137981342675764,"surv_int",0.474077993457209
1.1,0.6,"control",0.00011841627808451,"surv_int",0.474077993457209
1.2,0.6,"control",0.000101312732715574,"surv_int",0.474077993457209
1.3,0.6,"control",8.64149103560387e-05,"surv_int",0.474077993457209
1.4,0.6,"control",7.34845224720687e-05,"surv_int",0.474077993457209
1.5,0.6,"control",6.23011596022781e-05,"surv_int",0.474077993457209
1.6,0.6,"control",5.26623144240038e-05,"surv_int",0.474077993457209
1.7,0.6,"control",4.43831112158598e-05,"surv_int",0.474077993457209
1.8,0.6,"control",3.72957946277219e-05,"surv_int",0.474077993457209
1.9,0.6,"control",3.12490276489346e-05,"surv_int",0.474077993457209
2,0.6,"control",2.61070447484189e-05,"surv_int",0.474077993457209
2.1,0.6,"control",2.17487016357943e-05,"surv_int",0.474077993457209
2.2,0.6,"control",1.80664582192104e-05,"surv_int",0.474077993457209
2.3,0.6,"control",1.49653263361348e-05,"surv_int",0.474077993457209
2.4,0.6,"control",1.23618088922997e-05,"surv_int",0.474077993457209
2.5,0.6,"control",1.01828523074723e-05,"surv_int",0.474077993457209
2.6,0.6,"control",8.36482974411506e-06,"surv_int",0.474077993457209
2.7,0.6,"control",6.85256856228499e-06,"surv_int",0.474077993457209
2.8,0.6,"control",5.59843184768115e-06,"surv_int",0.474077993457209
2.9,0.6,"control",4.56146072093401e-06,"surv_int",0.474077993457209
3,0.6,"control",3.7065814558845e-06,"surv_int",0.474077993457209
3.1,0.6,"control",3.00387919759514e-06,"surv_int",0.474077993457209
3.2,0.6,"control",2.42793825015494e-06,"surv_int",0.474077993457209
3.3,0.6,"control",1.95724746482542e-06,"surv_int",0.474077993457209
3.4,0.6,"control",1.57366816059241e-06,"surv_int",0.474077993457209
3.5,0.6,"control",1.26196120927275e-06,"surv_int",0.474077993457209
3.6,0.6,"control",1.00936937329813e-06,"surv_int",0.474077993457209
3.7,0.6,"control",8.05250654878314e-07,"surv_int",0.474077993457209
3.8,0.6,"control",6.407582617156e-07,"surv_int",0.474077993457209
3.9,0.6,"control",5.08562781429945e-07,"surv_int",0.474077993457209
4,0.6,"control",4.02612252788276e-07,"surv_int",0.474077993457209
4.1,0.6,"control",3.17925999137397e-07,"surv_int",0.474077993457209
4.2,0.6,"control",2.50418324529775e-07,"surv_int",0.474077993457209
4.3,0.6,"control",1.96748446146773e-07,"surv_int",0.474077993457209
4.4,0.6,"control",1.54193331570618e-07,"surv_int",0.474077993457209
4.5,0.6,"control",1.20540413274513e-07,"surv_int",0.474077993457209
4.6,0.6,"control",9.39974552968747e-08,"surv_int",0.474077993457209
4.7,0.6,"control",7.31171408360431e-08,"surv_int",0.474077993457209
4.8,0.6,"control",5.67342289574638e-08,"surv_int",0.474077993457209
4.9,0.6,"control",4.39133900212453e-08,"surv_int",0.474077993457209
5,0.6,"control",3.39060705279907e-08,"surv_int",0.474077993457209
5.1,0.6,"control",2.61149577060974e-08,"surv_int",0.474077993457209
5.2,0.6,"control",2.00648120774736e-08,"surv_int",0.474077993457209
5.3,0.6,"control",1.53786128655794e-08,"surv_int",0.474077993457209
5.4,0.6,"control",1.17581173610404e-08,"surv_int",0.474077993457209
5.5,0.6,"control",8.96807247991956e-09,"surv_int",0.474077993457209
5.6,0.6,"control",6.82343619103418e-09,"surv_int",0.474077993457209
5.7,0.6,"control",5.17906981495125e-09,"surv_int",0.474077993457209
5.8,0.6,"control",3.92145100660853e-09,"surv_int",0.474077993457209
5.9,0.6,"control",2.96203310178282e-09,"surv_int",0.474077993457209
6,0.6,"control",2.23194094765118e-09,"surv_int",0.474077993457209
0.5,0.7,"control",0.000480079260590677,"surv_int",0.474077993457209
0.6,0.7,"control",0.000422024379528328,"surv_int",0.474077993457209
0.7,0.7,"control",0.000369806128575767,"surv_int",0.474077993457209
0.8,0.7,"control",0.000323021950286663,"surv_int",0.474077993457209
0.9,0.7,"control",0.000281268467248035,"surv_int",0.474077993457209
1,0.7,"control",0.000244146844343885,"surv_int",0.474077993457209
1.1,0.7,"control",0.000211267369943259,"surv_int",0.474077993457209
