"size.prev","size.cur","trt","pred.surv","pred.grow.mean","p.grow.size","p.size.cur"
0.5,0.5,"control",0.687803295132907,2.66762944279558,9.45652104226933e-05,6.50422633336652e-05
0.6,0.5,"control",0.701201890679205,2.6887227557012,8.31824693914908e-05,5.83277048086785e-05
0.7,0.5,"control",0.714264342424774,2.70981606860683,7.30790399628941e-05,5.21977524241303e-05
0.8,0.5,"control",0.726978091851981,2.73090938151245,6.41230936371004e-05,4.66160842559451e-05
0.9,0.5,"control",0.739332593578069,2.75200269441807,5.61948749620371e-05,4.15467026514782e-05
1,0.5,"control",0.751319280129484,2.7730960073237,4.9185779724595e-05,3.69542246152901e-05
1.1,0.5,"control",0.762931508043105,2.79418932022932,4.29974817363327e-05,3.28041335831561e-05
1.2,0.5,"control",0.774164487556197,2.81528263313494,3.75411082969809e-05,2.90629928670239e-05
1.3,0.5,"control",0.785015198257838,2.83637594604057,3.27364640129885e-05,2.56986217874168e-05
1.4,0.5,"control",0.795482293115777,2.85746925894619,2.85113022958706e-05,2.26802361300362e-05
1.5,0.5,"control",0.805565993271075,2.87856257185181,2.48006435632156e-05,1.99785550657636e-05
1.6,0.5,"control",0.815267975916801,2.89965588475744,2.15461389106571e-05,1.75658770585137e-05
1.7,0.5,"control",0.824591257455673,2.92074919766306,1.86954778125267e-05,1.5416127558166e-05
1.8,0.5,"control",0.833540073974225,2.94184251056869,1.6201838238843e-05,1.35048814441236e-05
1.9,0.5,"control",0.842119760887237,2.96293582347431,1.40233774432694e-05,1.18093632593575e-05
2,0.5,"control",0.850336633404547,2.98402913637993,1.21227615772476e-05,1.03084282671627e-05
2.1,0.5,"control",0.858197869261095,3.00512244928556,1.0466732216287e-05,8.982527286144e-06
2.2,0.5,"control",0.865711394937148,3.02621576219118,9.02570784208464e-06,7.81365812626625e-06
2.3,0.5,"control",0.872885776385275,3.0473090750968,7.77341830559181e-06,6.78530627284402e-06
2.4,0.5,"control",0.879730115078601,3.06840238800243,6.68657029833266e-06,5.88237725803334e-06
2.5,0.5,"control",0.886253950005081,3.08949570090805,5.74454187936561e-06,5.09112293155739e-06
2.6,0.5,"control",0.892467166057838,3.11058901381367,4.92910414060316e-06,4.39906360356806e-06
2.7,0.5,"control",0.898379909113721,3.1316823267193,4.2241681412993e-06,3.79490779086154e-06
2.8,0.5,"control",0.904002507952442,3.15277563962492,3.61555530110045e-06,3.26847105983555e-06
2.9,0.5,"control",0.909345403047011,3.17386895253055,3.09078950805547e-06,2.81059523093617e-06
3,0.5,"control",0.914419082152702,3.19496226543617,2.63890927151562e-06,2.41306899394357e-06
3.1,0.5,"control",0.919234022535575,3.21605557834179,2.25029832823046e-06,2.06855078416436e-06
3.2,0.5,"control",0.923800639611682,3.23714889124742,1.91653319165931e-06,1.77049458829189e-06
