"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.5,0.5,"control",5.898499355037e-09,"flow_int"
0.5,0.5,"drought",3.69587393509332e-10,"flow_int"
0.5,0.5,"irrigated",3.64532823947369e-08,"flow_int"
0.5,0.6,"control",2.48361763211922e-08,"flow_int"
0.5,0.6,"drought",1.8075514571313e-09,"flow_int"
0.5,0.6,"irrigated",1.41513926066478e-07,"flow_int"
0.5,0.7,"control",9.64220943827694e-08,"flow_int"
0.5,0.7,"drought",8.15103612658208e-09,"flow_int"
0.5,0.7,"irrigated",5.06536036544137e-07,"flow_int"
0.5,0.8,"control",3.45157261586062e-07,"flow_int"
0.5,0.8,"drought",3.38909384255669e-08,"flow_int"
0.5,0.8,"irrigated",1.67174542675569e-06,"flow_int"
0.5,0.9,"control",1.1392160551054e-06,"flow_int"
0.5,0.9,"drought",1.29928073456942e-07,"flow_int"
0.5,0.9,"irrigated",5.08719713967385e-06,"flow_int"
0.5,1,"control",3.46691989438582e-06,"flow_int"
0.5,1,"drought",4.59273123437098e-07,"flow_int"
0.5,1,"irrigated",1.42736689453554e-05,"flow_int"
0.5,1.1,"control",9.72814746573743e-06,"flow_int"
0.5,1.1,"drought",1.49688243356795e-06,"flow_int"
0.5,1.1,"irrigated",3.69267681628483e-05,"flow_int"
0.5,1.2,"control",2.51689507840416e-05,"flow_int"
0.5,1.2,"drought",4.4983472763995e-06,"flow_int"
0.5,1.2,"irrigated",8.80837119058797e-05,"flow_int"
0.5,1.3,"control",6.00411090563674e-05,"flow_int"
0.5,1.3,"drought",1.24642713987798e-05,"flow_int"
0.5,1.3,"irrigated",0.000193730742891436,"flow_int"
0.5,1.4,"control",0.000132062929862684,"flow_int"
0.5,1.4,"drought",3.18441338959448e-05,"flow_int"
0.5,1.4,"irrigated",0.000392871122660655,"flow_int"
0.5,1.5,"control",0.000267831576895379,"flow_int"
0.5,1.5,"drought",7.50137045953902e-05,"flow_int"
0.5,1.5,"irrigated",0.0007345989444252,"flow_int"
0.5,1.6,"control",0.000500831062222442,"flow_int"
0.5,1.6,"drought",0.00016292975874067,"flow_int"
0.5,1.6,"irrigated",0.00126648228670706,"flow_int"
0.5,1.7,"control",0.000863513959772856,"flow_int"
0.5,1.7,"drought",0.000326293815987082,"flow_int"
0.5,1.7,"irrigated",0.00201324471701137,"flow_int"
0.5,1.8,"control",0.00137276468170199,"flow_int"
0.5,1.8,"drought",0.000602512275475408,"flow_int"
