"size.prev","size.nex","trt","p.size.cur","phen"
0.5,0.5,"control",2.9013377070473e-09,122.574617171044
0.5,0.5,"control",2.73354853416305e-09,125.817760455222
0.5,0.5,"control",2.65645510168439e-09,127.316307477113
0.5,0.5,"drought",1.84380838888848e-10,122.574617171044
0.5,0.5,"drought",1.73717759980211e-10,125.817760455222
0.5,0.5,"drought",1.68818435505026e-10,127.316307477113
0.5,0.5,"irrigated",2.25183195657092e-08,122.574617171044
0.5,0.5,"irrigated",2.12160313578546e-08,125.817760455222
0.5,0.5,"irrigated",2.06176732755276e-08,127.316307477113
0.5,0.6,"control",1.22163503837661e-08,122.574617171044
0.5,0.6,"control",1.15098585742889e-08,125.817760455222
0.5,0.6,"control",1.11852495564696e-08,127.316307477113
0.5,0.6,"drought",9.01756552992961e-10,122.574617171044
0.5,0.6,"drought",8.49606333160518e-10,125.817760455222
0.5,0.6,"drought",8.25645069195335e-10,127.316307477113
0.5,0.6,"irrigated",8.74175273341966e-08,122.574617171044
0.5,0.6,"irrigated",8.23619629225216e-08,125.817760455222
0.5,0.6,"irrigated",8.00390993595977e-08,127.316307477113
0.5,0.7,"control",4.74278356894807e-08,122.574617171044
0.5,0.7,"control",4.46850052693271e-08,125.817760455222
0.5,0.7,"control",4.3424767745286e-08,127.316307477113
0.5,0.7,"drought",4.06641272193327e-09,122.574617171044
0.5,0.7,"drought",3.83124468608766e-09,125.817760455222
0.5,0.7,"drought",3.72319291945705e-09,127.316307477113
0.5,0.7,"irrigated",3.12902970408378e-07,122.574617171044
0.5,0.7,"irrigated",2.94807044228078e-07,125.817760455222
0.5,0.7,"irrigated",2.86492568506137e-07,127.316307477113
0.5,0.8,"control",1.69775008459681e-07,122.574617171044
0.5,0.8,"control",1.59956638065682e-07,125.817760455222
0.5,0.8,"control",1.55445429970375e-07,127.316307477113
0.5,0.8,"drought",1.69076103984551e-08,122.574617171044
0.5,0.8,"drought",1.59298125702117e-08,125.817760455222
0.5,0.8,"drought",1.54805475058956e-08,127.316307477113
0.5,0.8,"irrigated",1.03268883565976e-06,122.574617171044
0.5,0.8,"irrigated",9.72965973607895e-07,125.817760455222
0.5,0.8,"irrigated",9.45525306486051e-07,127.316307477113
0.5,0.9,"control",5.60354472926824e-07,122.574617171044
0.5,0.9,"control",5.27948244135876e-07,125.817760455222
0.5,0.9,"control",5.1305868142907e-07,127.316307477113
0.5,0.9,"drought",6.48188969643464e-08,122.574617171044
0.5,0.9,"drought",6.10703023855016e-08,125.817760455222
0.5,0.9,"drought",5.93479498337628e-08,127.316307477113
0.5,0.9,"irrigated",3.14251895465734e-06,122.574617171044
0.5,0.9,"irrigated",2.96077957727317e-06,125.817760455222
0.5,0.9,"irrigated",2.87727638291188e-06,127.316307477113
0.5,1,"control",1.70529906192232e-06,122.574617171044
0.5,1,"control",1.60667878809993e-06,125.817760455222
0.5,1,"control",1.56136611809709e-06,127.316307477113
0.5,1,"drought",2.29123517916461e-07,122.574617171044
0.5,1,"drought",2.15872888588104e-07,125.817760455222
0.5,1,"drought",2.09784672123022e-07,127.316307477113
0.5,1,"irrigated",8.81728660827146e-06,122.574617171044
0.5,1,"irrigated",8.3073618627007e-06,125.817760455222
0.5,1,"irrigated",8.07306841594247e-06,127.316307477113
0.5,1.1,"control",4.78505453051518e-06,122.574617171044
